energy_ev,total_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-4.98549275,4.03149534,2.34247408,3.07561140,0.00202198,0.11902863,0.99841829,0.00149989
-4.97948974,3.90849808,2.28135371,2.98133667,0.00197511,0.11758452,0.97016269,0.00141982
-4.97348674,3.77397333,2.21217306,2.87827451,0.00192447,0.11557073,0.93915139,0.00133854
-4.96748374,3.62909915,2.13541524,2.76738402,0.00187153,0.11299578,0.90557747,0.00125685
-4.96148074,3.47524939,2.05172906,2.64976803,0.00181797,0.10988251,0.86968589,0.00117554
-4.95547774,3.31396512,1.96191221,2.52665051,0.00176554,0.10626730,0.83176833,0.00109540
-4.94947474,3.14692182,1.86689025,2.39935100,0.00171613,0.10219893,0.79215700,0.00101717
-4.94347174,2.97589313,1.76769204,2.26925644,0.00167164,0.09773704,0.75121756,0.00094152
-4.93746873,2.80271186,1.66542250,2.13779108,0.00163395,0.09295024,0.70934118,0.00086911
-4.93146573,2.62922960,1.56123373,2.00638530,0.00160487,0.08791413,0.66693615,0.00080049
-4.92546273,2.45727574,1.45629559,1.87644411,0.00158607,0.08270903,0.62441905,0.00073617
-4.91945973,2.28861736,1.35176672,1.74931640,0.00157903,0.07741783,0.58220581,0.00067657
-4.91345673,2.12492122,1.24876701,1.62626572,0.00158499,0.07212376,0.54070301,0.00062204
-4.90745373,1.96771891,1.14835258,1.50844372,0.00160488,0.06690840,0.50029944,0.00057282
-4.90145073,1.81837641,1.05149379,1.39686696,0.00163929,0.06184976,0.46135852,0.00052911
-4.89544772,1.67806895,0.95905713,1.29239792,0.00168843,0.05702069,0.42421142,0.00049098
-4.88944472,1.54776193,0.87179118,1.19573081,0.00175210,0.05248750,0.38915144,0.00045847
-4.88344172,1.42819844,0.79031698,1.10738261,0.00182969,0.04830890,0.35642948,0.00043150
-4.87743872,1.31989348,0.71512272,1.02768947,0.00192015,0.04453516,0.32625096,0.00040994
-4.87143572,1.22313518,0.64656256,0.95680867,0.00202204,0.04120765,0.29877398,0.00039359
-4.86543272,1.13799240,0.58485926,0.89472583,0.00213352,0.03835847,0.27410894,0.00038218
-4.85942971,1.06432849,0.53011009,0.84126701,0.00225241,0.03601042,0.25231931,0.00037541
-4.85342671,1.00182031,0.48229549,0.79611520,0.00237624,0.03417709,0.23342362,0.00037291
-4.84742371,0.94998181,0.44128984,0.75883049,0.00250232,0.03286306,0.21739839,0.00037429
-4.84142071,0.90819101,0.40687366,0.72887309,0.00262783,0.03206430,0.20418186,0.00037914
-4.83541771,0.87571941,0.37874674,0.70562839,0.00274987,0.03176854,0.19367832,0.00038700
-4.82941471,0.85176273,0.35654155,0.68843308,0.00286559,0.03195578,0.18576286,0.00039746
-4.82341171,0.83547190,0.33983653,0.67660140,0.00297230,0.03259880,0.18028624,0.00041006
-4.81740870,0.82598318,0.32816888,0.66945073,0.00306750,0.03366376,0.17707993,0.00042438
-4.81140570,0.82244671,0.32104646,0.66632550,0.00314902,0.03511082,0.17596092,0.00044003
-4.80540270,0.82405238,0.31795889,0.66661887,0.00321512,0.03689485,0.17673638,0.00045663
-4.79939970,0.83005257,0.31838745,0.66979140,0.00326448,0.03896616,0.17920794,0.00047385
-4.79339670,0.83978111,0.32181410,0.67538624,0.00329634,0.04127143,0.18317567,0.00049139
-4.78739370,0.85266809,0.32772936,0.68304041,0.00331048,0.04375461,0.18844160,0.00050903
-4.78139070,0.86825033,0.33563951,0.69249199,0.00330724,0.04635805,0.19481292,0.00052656
-4.77538769,0.88617733,0.34507289,0.70358305,0.00328754,0.04902368,0.20210466,0.00054388
-4.76938469,0.90621278,0.35558567,0.71625837,0.00325282,0.05169425,0.21014219,0.00056089
-4.76338169,0.92823181,0.36676709,0.73056002,0.00320502,0.05431474,0.21876315,0.00057758
-4.75737869,0.95221424,0.37824428,0.74661825,0.00314647,0.05683375,0.22781923,0.00059399
-4.75137569,0.97823403,0.38968666,0.76463889,0.00307985,0.05920491,0.23717761,0.00061020
-4.74537269,1.00644570,0.40080992,0.78488779,0.00300809,0.06138821,0.24672202,0.00062633
-4.73936968,1.03706777,0.41137959,0.80767286,0.00293422,0.06335130,0.25635362,0.00064253
-4.73336668,1.07036424,0.42121401,0.83332437,0.00286129,0.06507054,0.26599154,0.00065898
-4.72736368,1.10662431,0.43018657,0.86217408,0.00279228,0.06653191,0.27557306,0.00067588
-4.72136068,1.14614128,0.43822716,0.89453390,0.00272993,0.06773157,0.28505359,0.00069343
-4.71535768,1.18919109,0.44532257,0.93067498,0.00267669,0.06867620,0.29440612,0.00071180
-4.70935468,1.23601134,0.45151576,0.97080766,0.00263464,0.06938289,0.30362053,0.00073116
-4.70335168,1.28678134,0.45690377,1.01506324,0.00260534,0.06987875,0.31270231,0.00075163
-4.69734867,1.34160392,0.46163431,1.06347808,0.00258987,0.07020011,0.32167110,0.00077330
-4.69134567,1.40048970,0.46590080,1.11598076,0.00258873,0.07039140,0.33055876,0.00079620
-4.68534267,1.46334431,0.46993604,1.17238268,0.00260186,0.07050364,0.33940713,0.00082029
-4.67933967,1.52995908,0.47400442,1.23237275,0.00262861,0.07059271,0.34826555,0.00084546
-4.67333667,1.60000572,0.47839286,1.29551628,0.00266781,0.07071739,0.35718809,0.00087156
-4.66733367,1.67303516,0.48340070,1.36125843,0.00271780,0.07093721,0.36623057,0.00089834
-4.66133067,1.74848088,0.48932869,1.42893217,0.00277647,0.07131026,0.37544752,0.00092551
-4.65532766,1.82566649,0.49646748,1.49777055,0.00284139,0.07189098,0.38488912,0.00095272
-4.64932466,1.90381777,0.50508590,1.56692322,0.00290987,0.07272803,0.39459812,0.00097956
-4.64332166,1.98207854,0.51541952,1.63547649,0.00297909,0.07386232,0.40460695,0.00100561
-4.63731866,2.05953010,0.52765972,1.70247645,0.00304619,0.07532533,0.41493511,0.00103043
-4.63131566,2.13521365,0.54194396,1.76695450,0.00310836,0.07713765,0.42558687,0.00105359
-4.62531266,2.20815491,0.55834748,1.82795426,0.00316302,0.07930794,0.43654939,0.00107468
-4.61930965,2.27739019,0.57687688,1.88455907,0.00320784,0.08183231,0.44779144,0.00109333
-4.61330665,2.34199314,0.59746607,1.93591917,0.00324089,0.08469413,0.45926279,0.00110924
-4.60730365,2.40110117,0.61997473,1.98127743,0.00326071,0.08786425,0.47089421,0.00112220
-4.60130065,2.45394085,0.64418963,2.01999297,0.00326635,0.09130181,0.48259841,0.00113207
-4.59529765,2.49985128,0.66982886,2.05156160,0.00325745,0.09495533,0.49427168,0.00113886
-4.58929465,2.53830488,0.69654906,2.07563250,0.00323426,0.09876438,0.50579652,0.00114266
-4.58329165,2.56892473,0.72395545,2.09202046,0.00319764,0.10266147,0.51704495,0.00114370
-4.57728864,2.59149809,0.75161445,2.10071331,0.00314906,0.10657438,0.52788272,0.00114235
-4.57128564,2.60598542,0.77906850,2.10187421,0.00309059,0.11042857,0.53817404,0.00113908
-4.56528264,2.61252474,0.80585252,2.09583873,0.00302484,0.11414982,0.54778690,0.00113449
-4.55927964,2.61143111,0.83151143,2.08310672,0.00295488,0.11766686,0.55659856,0.00112926
-4.55327664,2.60319098,0.85561790,2.06432931,0.00288422,0.12091394,0.56450123,0.00112417
-4.54727364,2.58845172,0.87778971,2.04029136,0.00281666,0.12383321,0.57140734,0.00112007
-4.54127064,2.56800628,0.89770572,2.01188997,0.00275627,0.12637684,0.57725445,0.00111782
-4.53526763,2.54277358,0.91511988,1.98010951,0.00270720,0.12850873,0.58200928,0.00111832
-4.52926463,2.51377480,0.92987242,1.94599428,0.00267365,0.13020592,0.58567077,0.00112245
-4.52326163,2.48210658,0.94189777,1.91061936,0.00265974,0.13145930,0.58827182,0.00113104
-4.51725863,2.44891154,0.95122876,1.87506075,0.00266939,0.13227403,0.58987976,0.00114485
-4.51125563,2.41534731,0.95799685,1.84036570,0.00270622,0.13266927,0.59059524,0.00116454
-4.50525263,2.38255505,0.96242844,1.80752430,0.00277346,0.13267748,0.59054981,0.00119065
-4.49924962,2.35162842,0.96483748,1.77744332,0.00287386,0.13234332,0.58990213,0.00122357
-4.49324662,2.32358449,0.96561471,1.75092310,0.00300963,0.13172205,0.58883304,0.00126352
-4.48724362,2.29933752,0.96521434,1.72863861,0.00318235,0.13087774,0.58753986,0.00131055
-4.48124062,2.27967687,0.96413868,1.71112522,0.00339291,0.12988126,0.58623010,0.00136452
-4.47523762,2.26525008,0.96292174,1.69876985,0.00364154,0.12880819,0.58511510,0.00142511
-4.46923462,2.25655190,0.96211266,1.69180792,0.00392775,0.12773672,0.58440384,0.00149182
-4.46323162,2.25391987,0.96225979,1.69032624,0.00425036,0.12674568,0.58429737,0.00156398
-4.45722861,2.25753676,0.96389610,1.69427173,0.00460755,0.12591281,0.58498410,0.00164075
