energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-4.48124062,3.15941980,0.12488097,0.00000000,1.20117632,2.26281389,0.62374061,0.00000000
-4.47523762,3.03950163,0.11599411,0.00000000,1.13611999,2.18119403,0.60360276,0.00000000
-4.46923462,2.91853772,0.10724296,0.00000000,1.07086900,2.09926221,0.58289993,0.00000000
-4.46323162,2.79763657,0.09872250,0.00000000,1.00622820,2.01765254,0.56183042,0.00000000
-4.45722861,2.67775642,0.09051408,0.00000000,0.94291329,1.93690016,0.54056853,0.00000000
-4.45122561,2.55969560,0.08268442,0.00000000,0.88154421,1.85743588,0.51926389,0.00000000
-4.44522261,2.44409258,0.07528530,0.00000000,0.82264351,1.77958748,0.49804260,0.00000000
-4.43921961,2.33143538,0.06835391,0.00000000,0.76663956,1.70358698,0.47700988,0.00000000
-4.43321661,2.22207888,0.06191360,0.00000000,0.71387372,1.62958351,0.45625404,0.00000000
-4.42721361,2.11626873,0.05597518,0.00000000,0.66461092,1.55766040,0.43585140,0.00000000
-4.42121061,2.01416997,0.05053851,0.00000000,0.61905258,1.48785551,0.41587187,0.00000000
-4.41520760,1.91589843,0.04559436,0.00000000,0.57735110,1.42018342,0.39638467,0.00000000
-4.40920460,1.82155305,0.04112631,0.00000000,0.53962476,1.35465813,0.37746398,0.00000000
-4.40320160,1.73124707,0.03711281,0.00000000,0.50597241,1.29131501,0.35919407,0.00000000
-4.39719860,1.64513657,0.03352907,0.00000000,0.47648687,1.23023082,0.34167368,0.00000000
-4.39119560,1.56344475,0.03034887,0.00000000,0.45126660,1.17154078,0.32501941,0.00000000
-4.38519260,1.48648086,0.02754617,0.00000000,0.43042487,1.11545180,0.30936785,0.00000000
-4.37918959,1.41465293,0.02509648,0.00000000,0.41409620,1.06225137,0.29487649,0.00000000
-4.37318659,1.34847375,0.02297797,0.00000000,0.40243976,1.01231167,0.28172328,0.00000000
-4.36718359,1.28855991,0.02117233,0.00000000,0.39563964,0.96608881,0.27010477,0.00000000
-4.36118059,1.23562411,0.01966533,0.00000000,0.39390199,0.92411714,0.26023303,0.00000000
-4.35517759,1.19046089,0.01844712,0.00000000,0.39744931,0.88699901,0.25233137,0.00000000
-4.34917459,1.15392662,0.01751231,0.00000000,0.40651201,0.85539031,0.24662898,0.00000000
-4.34317159,1.12691429,0.01685984,0.00000000,0.42131774,0.82998233,0.24335464,0.00000000
-4.33716858,1.11032410,0.01649256,0.00000000,0.44207881,0.81148057,0.24272969,0.00000000
-4.33116558,1.10503092,0.01641678,0.00000000,0.46897831,0.80058115,0.24496051,0.00000000
-4.32516258,1.11184949,0.01664157,0.00000000,0.50215538,0.79794567,0.25023058,0.00000000
-4.31915958,1.13149872,0.01717795,0.00000000,0.54169029,0.80417527,0.25869247,0.00000000
