energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
3.41870935,0.92546870,-1.93072926,0.00000002,-0.04434332,0.49670501,-0.63217311,0.69777557,-1.04262337,0.20566376,-0.60495828,0.00000497,-0.03780199,0.00000084,-0.01153930,0.10653508,-0.27805934
3.42471236,0.90959585,-1.91581503,0.00000003,-0.04291562,0.48819179,-0.62557640,0.68580384,-1.02957805,0.20213882,-0.59886244,0.00000353,-0.03856131,0.00000058,-0.01194989,0.10471583,-0.28005765
3.43071536,0.88761544,-1.89265352,0.00000003,-0.04132932,0.47639943,-0.61613659,0.66922596,-1.01184980,0.19725641,-0.59019129,0.00000256,-0.03921265,0.00000040,-0.01235120,0.10219375,-0.28083473
3.43671836,0.85998394,-1.86144341,0.00000004,-0.03960187,0.46157313,-0.60395398,0.64838671,-0.98963343,0.19111796,-0.57902432,0.00000197,-0.03974345,0.00000027,-0.01273580,0.09902102,-0.28036255
3.44272136,0.82726487,-1.82251423,0.00000006,-0.03775238,0.44401551,-0.58917529,0.62371142,-0.96319990,0.18384867,-0.56548208,0.00000167,-0.04014157,0.00000018,-0.01309568,0.09526217,-0.27863442
3.44872436,0.79010958,-1.77631597,0.00000009,-0.03580136,0.42407622,-0.57198910,0.59569154,-0.93288828,0.17559329,-0.54972256,0.00000165,-0.04039575,0.00000012,-0.01342245,0.09099197,-0.27566429
3.45472736,0.74923562,-1.72340546,0.00000013,-0.03377032,0.40214045,-0.55262017,0.56486831,-0.89909580,0.16651124,-0.53193655,0.00000191,-0.04049600,0.00000008,-0.01370766,0.08629282,-0.27148552
3.46073037,0.70540375,-1.66443033,0.00000019,-0.03168147,0.37861653,-0.53132293,0.53181547,-0.86226652,0.15677158,-0.51234227,0.00000248,-0.04043396,0.00000006,-0.01394310,0.08125220,-0.26614922
3.46673337,0.65939456,-1.60011106,0.00000028,-0.02955723,0.35392342,-0.50837427,0.49712163,-0.82287893,0.14654777,-0.49117933,0.00000347,-0.04020332,0.00000004,-0.01412110,0.07595990,-0.25972233
3.47273637,0.61198569,-1.53122217,0.00000042,-0.02741983,0.32847846,-0.48406612,0.46137310,-0.78143324,0.13601259,-0.46870252,0.00000502,-0.03980011,0.00000003,-0.01423484,0.07050541,-0.25228557
3.47873937,0.56393060,-1.45857305,0.00000061,-0.02529088,0.30268598,-0.45869803,0.42513785,-0.73843864,0.12533349,-0.44517545,0.00000734,-0.03922298,0.00000003,-0.01427859,0.06497551,-0.24393112
3.48474237,0.51593961,-1.38298931,0.00000090,-0.02319091,0.27692714,-0.43257004,0.38895128,-0.69440124,0.11466829,-0.42086447,0.00001075,-0.03847339,0.00000003,-0.01424801,0.05945205,-0.23476042
3.49074537,0.46866386,-1.30529510,0.00000131,-0.02113900,0.25155127,-0.40597605,0.35330404,-0.64981291,0.10416167,-0.39603289,0.00001569,-0.03755574,0.00000003,-0.01414029,0.05401008,-0.22488190
3.49674837,0.42268260,-1.22629699,0.00000191,-0.01915244,0.22686904,-0.37919797,0.31863250,-0.60514144,0.09394231,-0.37093582,0.00002278,-0.03647735,0.00000004,-0.01395429,0.04871645,-0.21440882
3.50275138,0.37849412,-1.14676980,0.00000275,-0.01724638,0.20314760,-0.35250068,0.28531184,-0.56082226,0.08412088,-0.34581566,0.00003286,-0.03524839,0.00000005,-0.01369061,0.04362870,-0.20345717
3.50875438,0.33651024,-1.06744444,0.00000394,-0.01543371,0.18060754,-0.32612798,0.25365188,-0.51725187,0.07478881,-0.32089834,0.00004706,-0.03388172,0.00000007,-0.01335163,0.03879444,-0.19214376
3.51475738,0.29705431,-0.98899810,0.00000560,-0.01372483,0.15942184,-0.30029949,0.22389554,-0.47478292,0.06601783,-0.29639035,0.00006693,-0.03239261,0.00000010,-0.01294135,0.03425117,-0.18058438
3.52076038,0.26036249,-0.91204661,0.00000790,-0.01212761,0.13971645,-0.27520853,0.19621975,-0.43372114,0.05786023,-0.27247656,0.00009452,-0.03079837,0.00000014,-0.01246537,0.03002636,-0.16889211
3.52676338,0.22658784,-0.83713905,0.00001108,-0.01064745,0.12157244,-0.25102094,0.17073845,-0.39432379,0.05034976,-0.24931880,0.00013252,-0.02911797,0.00000020,-0.01193063,0.02613797,-0.15717581
3.53276638,0.19580666,-0.76475431,0.00001542,-0.00928732,0.10502938,-0.22787468,0.14750730,-0.35679959,0.04350303,-0.22705512,0.00018448,-0.02737150,0.00000027,-0.01134522,0.02259521,-0.14553870
3.53876938,0.16802683,-0.69529948,0.00002131,-0.00804790,0.09008965,-0.20588022,0.12652985,-0.32130993,0.03732134,-0.20579972,0.00025495,-0.02557975,0.00000038,-0.01071807,0.01939945,-0.13407716
3.54477239,0.14319720,-0.62910992,0.00002923,-0.00692785,0.07672346,-0.18512150,0.10776451,-0.28797112,0.03179273,-0.18564329,0.00034982,-0.02376361,0.00000052,-0.01005873,0.01654539,-0.12287957
3.55077539,0.12121787,-0.56645060,0.00003982,-0.00592402,0.06487416,-0.16565739,0.09113214,-0.25685743,0.02689421,-0.16665399,0.00047655,-0.02194360,0.00000071,-0.00937701,0.01402222,-0.11202545
3.55677839,0.10195065,-0.50751867,0.00005386,-0.00503170,0.05446380,-0.14752353,0.07652377,-0.22800478,0.02259412,-0.14887856,0.00064452,-0.02013939,0.00000095,-0.00868272,0.01181487,-0.10158466
3.56278139,0.08522928,-0.45244696,0.00007232,-0.00424498,0.04539841,-0.13073443,0.06380812,-0.20141478,0.01885428,-0.13234391,0.00086544,-0.01836934,0.00000128,-0.00798538,0.00990522,-0.09161690
3.56878439,0.07086922,-0.40130823,0.00009641,-0.00355697,0.03757310,-0.11528573,0.05283872,-0.17705903,0.01563218,-0.11705878,0.00115374,-0.01665013,0.00000171,-0.00729398,0.00827325,-0.08217132
3.57478739,0.05867646,-0.35412005,0.00012760,-0.00296016,0.03087660,-0.10115653,0.04346039,-0.15488343,0.01288286,-0.10301557,0.00152704,-0.01499648,0.00000226,-0.00661678,0.00689811,-0.07328637
3.58079040,0.04845544,-0.31085006,0.00016768,-0.00244660,0.02519536,-0.08831181,0.03551492,-0.13481246,0.01056063,-0.09019230,0.00200660,-0.01342088,0.00000297,-0.00596110,0.00575904,-0.06498991
3.58679340,0.04001578,-0.27142159,0.00021875,-0.00200824,0.02041692,-0.07670470,0.02884589,-0.11675331,0.00862051,-0.07855453,0.00261783,-0.01193350,0.00000388,-0.00533323,0.00483624,-0.05729946
3.59279640,0.03317777,-0.23571952,0.00028334,-0.00163703,0.01643270,-0.06627874,0.02330257,-0.10059971,0.00701941,-0.06805730,0.00339072,-0.01054210,0.00000502,-0.00473836,0.00411145,-0.05022272
3.59879940,0.02777674,-0.20359617,0.00036436,-0.00132521,0.01314021,-0.05697001,0.01874302,-0.08623555,0.00571708,-0.05864711,0.00436026,-0.00925210,0.00000646,-0.00418051,0.00356859,-0.04375823
3.60480240,0.02366625,-0.17487721,0.00046517,-0.00106534,0.01044461,-0.04870914,0.01503627,-0.07353819,0.00467671,-0.05026370,0.00556676,-0.00806661,0.00000824,-0.00366255,0.00319406,-0.03789620
3.61080540,0.02072023,-0.14936748,0.00058962,-0.00085049,0.00825980,-0.04142314,0.01206380,-0.06238134,0.00386549,-0.04284187,0.00705607,-0.00698667,0.00001045,-0.00318628,0.00297706,-0.03261951
3.61680840,0.01883418,-0.12685665,0.00074200,-0.00067428,0.00650907,-0.03503712,0.00972041,-0.05263776,0.00325478,-0.03631314,0.00887960,-0.00601141,0.00001315,-0.00275247,0.00290968,-0.02790475
3.62281141,0.01792547,-0.10712462,0.00092706,-0.00053091,0.00512533,-0.02947577,0.00791447,-0.04418153,0.00282025,-0.03060728,0.01109414,-0.00513834,0.00001642,-0.00236099,0.00298693,-0.02372339
3.62881441,0.01793291,-0.08994652,0.00114994,-0.00041522,0.00405112,-0.02466477,0.00656781,-0.03689005,0.00254180,-0.02565375,0.01376144,-0.00436361,0.00002037,-0.00201090,0.00320666,-0.02004289
3.63481741,0.01881579,-0.07509743,0.00141617,-0.00032265,0.00323840,-0.02053199,0.00561524,-0.03064576,0.00240343,-0.02138295,0.01694744,-0.00368232,0.00002509,-0.00170063,0.00356934,-0.01682789
3.64082041,0.02055220,-0.06235660,0.00173152,-0.00024924,0.00264813,-0.01700853,0.00500382,-0.02533756,0.00239303,-0.01772742,0.02072118,-0.00308884,0.00003068,-0.00142805,0.00407778,-0.01404129
3.64682341,0.02313708,-0.05151125,0.00210188,-0.00019158,0.00224988,-0.01402967,0.00469202,-0.02086206,0.00250201,-0.01462273,0.02515328,-0.00257711,0.00003724,-0.00119067,0.00473675,-0.01164530
