energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-2.41620810,1.11379435,0.18022179,0.04461772,0.00107365,0.21491740,0.02947718,0.70562073
-2.41020510,1.10514999,0.17602192,0.04446516,0.00105652,0.21415331,0.03078021,0.69612009
-2.40420210,1.09747983,0.17259914,0.04435055,0.00107991,0.21350922,0.03206965,0.68689873
-2.39819910,1.09062924,0.16983264,0.04424862,0.00114150,0.21282923,0.03332334,0.67814563
-2.39219610,1.08445698,0.16760513,0.04413493,0.00123981,0.21196681,0.03452075,0.67005186
-2.38619310,1.07883571,0.16580408,0.04398635,0.00137401,0.21078808,0.03564353,0.66280482
-2.38019010,1.07365291,0.16432304,0.04378156,0.00154373,0.20917496,0.03667597,0.65658289
-2.37418709,1.06881206,0.16306279,0.04350147,0.00174886,0.20702789,0.03760538,0.65155065
-2.36818409,1.06423393,0.16193250,0.04312976,0.00198938,0.20426819,0.03842233,0.64785485
-2.36218109,1.05985774,0.16085072,0.04265320,0.00226514,0.20083973,0.03912077,0.64562102
-2.35617809,1.05564196,0.15974621,0.04206202,0.00257577,0.19671000,0.03969801,0.64495077
-2.35017509,1.05156454,0.15855854,0.04135016,0.00292042,0.19187036,0.04015450,0.64591986
-2.34417209,1.04762243,0.15723842,0.04051538,0.00329768,0.18633557,0.04049359,0.64857676
-2.33816908,1.04383024,0.15574780,0.03955927,0.00370546,0.18014253,0.04072100,0.65294191
-2.33216608,1.04021804,0.15405963,0.03848721,0.00414086,0.17334831,0.04084434,0.65900736
-2.32616308,1.03682843,0.15215733,0.03730810,0.00460017,0.16602758,0.04087250,0.66673707
-2.32016008,1.03371297,0.15003412,0.03603405,0.00507876,0.15826954,0.04081501,0.67606755
-2.31415708,1.03092822,0.14769205,0.03468000,0.00557117,0.15017461,0.04068144,0.68690905
-2.30815408,1.02853171,0.14514092,0.03326319,0.00607111,0.14185084,0.04048087,0.69914722
-2.30215108,1.02657814,0.14239720,0.03180269,0.00657157,0.13341046,0.04022138,0.71264527
-2.29614807,1.02511601,0.13948292,0.03031877,0.00706497,0.12496654,0.03990975,0.72724664
-2.29014507,1.02418518,0.13642464,0.02883240,0.00754330,0.11663005,0.03955126,0.74277812
-2.28414207,1.02381536,0.13325262,0.02736472,0.00799834,0.10850733,0.03914965,0.75905341
-2.27813907,1.02402572,0.13000021,0.02593651,0.00842187,0.10069816,0.03870724,0.77587715
-2.27213607,1.02482582,0.12670351,0.02456783,0.00880592,0.09329440,0.03822521,0.79304907
-2.26613307,1.02621761,0.12340129,0.02327764,0.00914305,0.08637929,0.03770398,0.81036847
-2.26013007,1.02819847,0.12013529,0.02208354,0.00942654,0.08002730,0.03714377,0.82763857
-2.25412706,1.03076510,0.11695073,0.02100162,0.00965066,0.07430460,0.03654510,0.84467082
-2.24812406,1.03391792,0.11389716,0.02004636,0.00981089,0.06926988,0.03590946,0.86128883
-2.24212106,1.03766570,0.11102950,0.01923062,0.00990404,0.06497561,0.03523983,0.87733192
-2.23611806,1.04203012,0.10840920,0.01856569,0.00992842,0.06146950,0.03454122,0.89265807
-2.23011506,1.04704981,0.10610553,0.01806141,0.00988390,0.05879598,0.03382110,0.90714617
-2.22411206,1.05278376,0.10419687,0.01772630,0.00977198,0.05699778,0.03308969,0.92069762
-2.21810905,1.05931367,0.10277182,0.01756771,0.00959568,0.05611720,0.03236009,0.93323712
-2.21210605,1.06674513,0.10193023,0.01759203,0.00935955,0.05619723,0.03164826,0.94471273
-2.20610305,1.07520745,0.10178384,0.01780476,0.00906947,0.05728225,0.03097281,0.95509524
-2.20010005,1.08485208,0.10245658,0.01821070,0.00873253,0.05941829,0.03035460,0.96437695
-2.19409705,1.09584962,0.10408438,0.01881397,0.00835679,0.06265289,0.02981626,0.97256985
-2.18809405,1.10838541,0.10681434,0.01961805,0.00795108,0.06703442,0.02938144,0.97970337
-2.18209105,1.12265384,0.11080335,0.02062578,0.00752471,0.07261087,0.02907407,0.98582178
-2.17608804,1.13885154,0.11621594,0.02183921,0.00708725,0.07942832,0.02891752,0.99098127
