energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
4.25912956,2.16050601,0.41743237,0.00000000,0.35392338,0.00000000,2.82782709,1.21646676
4.26513257,2.17595665,0.41964174,0.00000000,0.35778276,0.00000000,2.82782692,1.22747972
4.27113557,2.18536180,0.42086770,0.00000000,0.36061024,0.00000000,2.81835622,1.23424797
4.27713857,2.18936701,0.42128471,0.00000000,0.36241582,0.00000000,2.80081353,1.23697767
4.28314157,2.18879712,0.42110190,0.00000000,0.36323712,0.00000000,2.77684824,1.23598198
4.28914457,2.18463766,0.42055774,0.00000000,0.36313862,0.00000000,2.74831763,1.23167454
4.29514757,2.17801031,0.41991347,0.00000000,0.36221006,0.00000000,2.71723550,1.22455949
4.30115058,2.17014241,0.41944533,0.00000000,0.36056388,0.00000000,2.68571360,1.21521816
4.30715358,2.16233106,0.41943579,0.00000000,0.35833187,0.00000000,2.65589748,1.20429261
4.31315658,2.15590253,0.42016383,0.00000000,0.35566080,0.00000000,2.62989846,1.19246626
4.31915958,2.15216797,0.42189475,0.00000000,0.35270737,0.00000000,2.60972373,1.18044210
4.32516258,2.15237671,0.42486955,0.00000000,0.34963236,0.00000000,2.59720706,1.16891916
4.33116558,2.15766864,0.42929445,0.00000000,0.34659437,0.00000000,2.59394213,1.15856786
4.33716858,2.16902751,0.43533083,0.00000000,0.34374325,0.00000000,2.60122125,1.15000523
4.34317159,2.18723700,0.44308605,0.00000000,0.34121357,0.00000000,2.61998160,1.14377084
4.34917459,2.21284147,0.45260565,0.00000000,0.33911830,0.00000000,2.65076155,1.14030454
4.35517759,2.24611352,0.46386727,0.00000000,0.33754323,0.00000000,2.69366892,1.13992703
4.36118059,2.28703001,0.47677671,0.00000000,0.33654219,0.00000000,2.74836303,1.14282409
4.36718359,2.33525809,0.49116653,0.00000000,0.33613357,0.00000000,2.81405192,1.14903548
4.37318659,2.39015259,0.50679736,0.00000000,0.33629817,0.00000000,2.88950536,1.15844913
4.37918959,2.45076532,0.52336203,0.00000000,0.33697874,0.00000000,2.97308395,1.17080109
4.38519260,2.51586655,0.54049267,0.00000000,0.33808117,0.00000000,3.06278378,1.18568156
4.39119560,2.58397821,0.55777042,0.00000000,0.33947741,0.00000000,3.15629531,1.20254684
4.39719860,2.65341795,0.57473771,0.00000000,0.34101002,0.00000000,3.25107476,1.22073691
4.40320160,2.72235217,0.59091248,0.00000000,0.34249817,0.00000000,3.34442523,1.23949807
4.40920460,2.78885620,0.60580401,0.00000000,0.34374481,0.00000000,3.43358469,1.25800964
4.41520760,2.85097899,0.61892951,0.00000000,0.34454477,0.00000000,3.51581709,1.27541369
4.42121061,2.90680938,0.62983092,0.00000000,0.34469326,0.00000000,3.58850306,1.29084639
