energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-0.77738869,2.51329176,-1.14239371,0.31224252,-0.11005719,1.42644243,-0.35669842,0.01546657,-0.00192936,0.06550887,-0.04107035,0.47422199,-0.77096124,0.51661512,-0.44852851,0.02087392,-0.00443480,0.21992315,-0.08240800
-0.77138569,2.62266190,-1.18460603,0.33364037,-0.11373482,1.46596693,-0.36570324,0.01636423,-0.00200208,0.06967270,-0.04250493,0.51341536,-0.79984040,0.55591921,-0.46997005,0.02038821,-0.00452446,0.22419093,-0.08500462
-0.76538269,2.73934869,-1.22237185,0.35589289,-0.11698143,1.50763717,-0.37320215,0.01745755,-0.00207053,0.07450332,-0.04375325,0.55564820,-0.82457248,0.59792907,-0.49015329,0.02004160,-0.00459318,0.22822611,-0.08717033
-0.75937969,2.86272736,-1.25555102,0.37885676,-0.11979711,1.55116211,-0.37925730,0.01873004,-0.00213565,0.07998557,-0.04480842,0.60073353,-0.84479809,0.64248447,-0.50897786,0.01983343,-0.00464180,0.23205554,-0.08888669
-0.75337669,2.99201790,-1.28416129,0.40236220,-0.12219744,1.59621547,-0.38399248,0.02016254,-0.00219885,0.08609085,-0.04567011,0.64840996,-0.86026083,0.68936440,-0.52639387,0.01975981,-0.00467188,0.23571444,-0.09014768
-0.74737369,3.12627510,-1.30838386,0.42621296,-0.12421334,1.64243053,-0.38759302,0.02173325,-0.00226200,0.09277644,-0.04634479,0.69833953,-0.87081834,0.73828453,-0.54240501,0.01981364,-0.00468569,0.23924342,-0.09096012
-0.74137069,3.26438424,-1.32856330,0.45018733,-0.12589041,1.68939668,-0.39030361,0.02341782,-0.00232746,0.09998504,-0.04684572,0.75010787,-0.87644972,0.78889660,-0.55706974,0.01998468,-0.00468622,0.24268521,-0.09134353
-0.73536768,3.40506349,-1.34520165,0.47404029,-0.12728751,1.73665803,-0.39242423,0.02518953,-0.00239805,0.10764476,-0.04719278,0.80322706,-0.87725884,0.84079016,-0.57050037,0.02025982,-0.00467711,0.24608140,-0.09132963
-0.72936468,3.54687403,-1.35894663,0.49750670,-0.12847495,1.78371497,-0.39430415,0.02701965,-0.00247700,0.11566943,-0.04741199,0.85714124,-0.87347325,0.89349686,-0.58285990,0.02062332,-0.00466256,0.24946912,-0.09096135
-0.72336168,3.68823844,-1.37057441,0.52030579,-0.12953206,1.83002871,-0.39633405,0.02887783,-0.00256793,0.12395943,-0.04753484,0.91123504,-0.86543876,0.94649735,-0.59435687,0.02105729,-0.00464728,0.25287819,-0.09029140
