energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
3.89294647,2.32129272,1.92682388,0.02608033,0.79604916,0.00000265,0.06882663,0.39692784
3.89894947,2.25878062,1.88913177,0.02538362,0.78316192,0.00000296,0.06630818,0.38356863
3.90495248,2.20865803,1.86182843,0.02484093,0.77410935,0.00000331,0.06421418,0.37241012
3.91095548,2.17099329,1.84539813,0.02445004,0.76891930,0.00000369,0.06255448,0.36347320
3.91695848,2.14557692,1.84010004,0.02420580,0.76750867,0.00000411,0.06133085,0.35673242
3.92296148,2.13194078,1.84597405,0.02410041,0.76969009,0.00000456,0.06053731,0.35211958
3.92896448,2.12938447,1.86285186,0.02412376,0.77518162,0.00000504,0.06016069,0.34952847
3.93496748,2.13700728,1.89037219,0.02426375,0.78361924,0.00000556,0.06018135,0.34882038
3.94097049,2.15374411,1.92799867,0.02450674,0.79457109,0.00000612,0.06057396,0.34983023
3.94697349,2.17840343,1.97503934,0.02483798,0.80755308,0.00000670,0.06130841,0.35237286
3.95297649,2.20970563,2.03066647,0.02524202,0.82204504,0.00000732,0.06235065,0.35624926
3.95897949,2.24632009,2.09393596,0.02570309,0.83750679,0.00000797,0.06366361,0.36125246
3.96498249,2.28689966,2.16380536,0.02620551,0.85339348,0.00000864,0.06520799,0.36717290
3.97098549,2.33011153,2.23915048,0.02673394,0.86916997,0.00000934,0.06694301,0.37380304
3.97698849,2.37466358,2.31878023,0.02727373,0.88432346,0.00001006,0.06882708,0.38094119
3.98299150,2.41932611,2.40145016,0.02781104,0.89837458,0.00001079,0.07081834,0.38839444
3.98899450,2.46294870,2.48587508,0.02833307,0.91088643,0.00001153,0.07287523,0.39598088
3.99499750,2.50447257,2.57074146,0.02882811,0.92147180,0.00001228,0.07495682,0.40353094
4.00100050,2.54293907,2.65472043,0.02928564,0.92979845,0.00001302,0.07702324,0.41088823
4.00700350,2.57749481,2.73648210,0.02969635,0.93559280,0.00001375,0.07903601,0.41790982
