energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.53176588,1.04713858,0.00129626,0.07398737,0.42398149,0.63485395,0.34280416,0.00000000,0.25775997,0.01740493
-5.52576288,1.02725754,0.00129707,0.07355226,0.41362403,0.62645002,0.33543094,0.00000000,0.24816468,0.01685826
-5.51975988,1.01377735,0.00132453,0.07364280,0.40581236,0.62166996,0.32982051,0.00000000,0.24041447,0.01645607
-5.51375688,1.00631378,0.00137948,0.07423191,0.40045064,0.62025246,0.32588342,0.00000000,0.23441543,0.01619011
-5.50775388,1.00436047,0.00146300,0.07527727,0.39740519,0.62186739,0.32349779,0.00000000,0.23003979,0.01604912
-5.50175088,1.00730405,0.00157642,0.07672289,0.39651040,0.62612381,0.32251333,0.00000000,0.22713074,0.01601924
-5.49574787,1.01444288,0.00172140,0.07850124,0.39757552,0.63258017,0.32275627,0.00000000,0.22550792,0.01608448
-5.48974487,1.02500879,0.00189993,0.08053567,0.40039214,0.64075665,0.32403506,0.00000000,0.22497344,0.01622724
-5.48374187,1.03819107,0.00211430,0.08274315,0.40474201,0.65014901,0.32614663,0.00000000,0.22531824,0.01642894
-5.47773887,1.05316193,0.00236711,0.08503715,0.41040493,0.66024365,0.32888305,0.00000000,0.22632855,0.01667055
-5.47173587,1.06910238,0.00266123,0.08733062,0.41716644,0.67053323,0.33203823,0.00000000,0.22779229,0.01693319
-5.46573287,1.08522764,0.00299967,0.08953891,0.42482484,0.68053218,0.33541458,0.00000000,0.22950519,0.01719870
-5.45972986,1.10081084,0.00338555,0.09158252,0.43319731,0.68979155,0.33882912,0.00000000,0.23127643,0.01745019
-5.45372686,1.11520418,0.00382193,0.09338957,0.44212472,0.69791242,0.34211900,0.00000000,0.23293355,0.01767245
-5.44772386,1.12785652,0.00431163,0.09489795,0.45147489,0.70455736,0.34514596,0.00000000,0.23432653,0.01785239
-5.44172086,1.13832656,0.00485707,0.09605696,0.46114405,0.70945927,0.34779959,0.00000000,0.23533094,0.01797932
-5.43571786,1.14629104,0.00546008,0.09682846,0.47105645,0.71242725,0.34999931,0.00000000,0.23584986,0.01804515
-5.42971486,1.15154754,0.00612163,0.09718753,0.48116194,0.71334918,0.35169471,0.00000000,0.23581482,0.01804447
-5.42371186,1.15401186,0.00684164,0.09712249,0.49143178,0.71219086,0.35286452,0.00000000,0.23518547,0.01797460
-5.41770885,1.15371004,0.00761875,0.09663443,0.50185275,0.70899169,0.35351408,0.00000000,0.23394823,0.01783542
-5.41170585,1.15076560,0.00845013,0.09573625,0.51241999,0.70385735,0.35367147,0.00000000,0.23211397,0.01762920
-5.40570285,1.14538279,0.00933131,0.09445122,0.52312893,0.69694960,0.35338264,0.00000000,0.22971484,0.01736033
-5.39969985,1.13782669,0.01025605,0.09281128,0.53396689,0.68847400,0.35270567,0.00000000,0.22680056,0.01703493
-5.39369685,1.12840153,0.01121629,0.09085498,0.54490482,0.67866619,0.35170471,0.00000000,0.22343429,0.01666051
-5.38769385,1.11742843,0.01220215,0.08862543,0.55588991,0.66777739,0.35044382,0.00000000,0.21968837,0.01624552
-5.38169085,1.10522381,0.01320201,0.08616812,0.56683940,0.65606013,0.34898116,0.00000000,0.21564029,0.01579896
-5.37568784,1.09207992,0.01420267,0.08352890,0.57763639,0.64375487,0.34736392,0.00000000,0.21136891,0.01532997
-5.36968484,1.07824833,0.01518960,0.08075213,0.58812779,0.63107823,0.34562434,0.00000000,0.20695135,0.01484748
-5.36368184,1.06392763,0.01614725,0.07787907,0.59812476,0.61821357,0.34377693,0.00000000,0.20246058,0.01435989
-5.35767884,1.04925558,0.01705943,0.07494671,0.60740583,0.60530421,0.34181729,0.00000000,0.19796386,0.01387487
-5.35167584,1.03430647,0.01790982,0.07198682,0.61572254,0.59244970,0.33972239,0.00000000,0.19352208,0.01339915
-5.34567284,1.01909329,0.01868238,0.06902554,0.62280739,0.57970520,0.33745243,0.00000000,0.18918994,0.01293847
-5.33966983,1.00357463,0.01936189,0.06608326,0.62838379,0.56708380,0.33495404,0.00000000,0.18501695,0.01249756
