energy_ev,total_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
1.85792896,2.32211392,0.45538075,0.52537215,0.38085916,1.03099538,0.04575544,0.30312288,0.08757957,0.27086757
1.86393197,2.29373130,0.46486051,0.51067864,0.37662948,1.01705893,0.04882598,0.30013981,0.09014306,0.26075478
1.86993497,2.26276706,0.47406705,0.49520678,0.37160816,1.00211056,0.05185864,0.29681536,0.09270046,0.25038265
1.87593797,2.22953135,0.48286275,0.47912037,0.36584860,0.98631666,0.05480416,0.29320724,0.09522265,0.23985204
1.88194097,2.19425901,0.49108972,0.46257691,0.35939712,0.96980271,0.05761144,0.28936023,0.09767329,0.22925950
1.88794397,2.15709848,0.49857217,0.44572226,0.35229180,0.95264824,0.06022884,0.28530410,0.10000957,0.21869405
1.89394697,2.11810782,0.50512041,0.42868629,0.34456235,0.93488529,0.06260562,0.28105267,0.10218338,0.20823450
1.89994997,2.07725787,0.51053601,0.41158006,0.33623088,0.91650043,0.06469355,0.27660387,0.10414282,0.19794768
1.90595298,2.03444243,0.51461831,0.39449438,0.32731358,0.89744004,0.06644829,0.27194105,0.10583406,0.18788742
1.91195598,1.98949434,0.51717176,0.37749976,0.31782310,0.87761850,0.06783098,0.26703516,0.10720327,0.17809432
1.91795898,1.94220656,0.51801371,0.36064770,0.30777127,0.85692877,0.06880943,0.26184777,0.10819885,0.16859635
1.92396198,1.89235654,0.51698250,0.34397304,0.29717221,0.83525450,0.06935930,0.25633472,0.10877347,0.15941008
1.92996498,1.83973230,0.51394515,0.32749724,0.28604530,0.81248304,0.06946496,0.25045012,0.10888618,0.15054238
1.93596798,1.78415866,0.50880442,0.31123206,0.27441793,0.78851843,0.06912002,0.24415045,0.10850414,0.14199265
1.94197099,1.72552168,0.50150477,0.29518367,0.26232781,0.76329374,0.06832763,0.23739849,0.10760420,0.13375509
1.94797399,1.66379020,0.49203701,0.27935661,0.24982461,0.73678188,0.06710036,0.23016696,0.10617402,0.12582116
1.95397699,1.59903302,0.48044123,0.26375743,0.23697090,0.70900464,0.06545980,0.22244149,0.10421283,0.11818188
1.95997999,1.53143106,0.46680801,0.24839794,0.22384230,0.68003921,0.06343581,0.21422290,0.10173162,0.11083001
1.96598299,1.46128384,0.45127782,0.23329763,0.21052684,0.65002220,0.06106557,0.20552871,0.09875302,0.10376180
1.97198599,1.38901024,0.43403860,0.21848540,0.19712359,0.61915093,0.05839234,0.19639370,0.09531061,0.09697848
1.97798899,1.31514379,0.41532171,0.20400048,0.18374071,0.58768225,0.05546408,0.18686963,0.09144790,0.09048729
1.98399200,1.24032284,0.39539647,0.18989249,0.17049300,0.55592882,0.05233194,0.17702415,0.08721688,0.08430208
1.98999500,1.16527651,0.37456349,0.17622082,0.15749915,0.52425347,0.04904878,0.16693898,0.08267642,0.07844356
1.99599800,1.09080732,0.35314725,0.16305339,0.14487883,0.49306180,0.04566763,0.15670755,0.07789031,0.07293905
2.00200100,1.01777135,0.33148807,0.15046485,0.13274979,0.46279351,0.04224030,0.14643210,0.07292539,0.06782209
2.00800400,0.94705709,0.30993396,0.13853449,0.12122510,0.43391287,0.03881609,0.13622062,0.06784949,0.06313155
2.01400700,0.87956381,0.28883254,0.12734389,0.11041072,0.40689865,0.03544069,0.12618358,0.06272957,0.05891069
2.02001001,0.81618030,0.26852338,0.11697450,0.10040332,0.38223394,0.03215532,0.11643078,0.05762991,0.05520597
2.02601301,0.75776460,0.24933089,0.10750521,0.09128860,0.36039586,0.02899599,0.10706825,0.05261062,0.05206569
2.03201601,0.70512523,0.23155791,0.09901008,0.08313995,0.34184567,0.02599312,0.09819555,0.04772626,0.04953857
2.03801901,0.65900412,0.21548021,0.09155618,0.07601755,0.32701900,0.02317130,0.08990334,0.04302489,0.04767228
2.04402201,0.62006148,0.20134176,0.08520171,0.06996780,0.31631651,0.02054924,0.08227141,0.03854733,0.04651186
2.05002501,0.58886253,0.18935086,0.07999424,0.06502310,0.31009488,0.01814000,0.07536714,0.03432681,0.04609810
2.05602801,0.56586597,0.17967711,0.07596931,0.06120175,0.30865800,0.01595126,0.06924434,0.03038879,0.04646595
2.06203102,0.55141409,0.17244903,0.07314911,0.05850814,0.31224852,0.01398578,0.06394261,0.02675118,0.04764287
2.06803402,0.54572443,0.16775241,0.07154148,0.05693293,0.32103975,0.01224192,0.05948705,0.02342471,0.04964717
2.07403702,0.54888271,0.16562917,0.07113903,0.05645333,0.33512781,0.01071423,0.05588828,0.02041349,0.05248648
2.08004002,0.56083729,0.16607685,0.07191850,0.05703342,0.35452447,0.00939408,0.05314281,0.01771583,0.05615620
2.08604302,0.58139508,0.16904855,0.07384028,0.05862442,0.37915076,0.00827020,0.05123367,0.01532495,0.06063813
2.09204602,0.61021921,0.17445343,0.07684822,0.06116503,0.40883165,0.00732936,0.05013125,0.01322999,0.06589936
2.09804902,0.64682876,0.18215783,0.08086964,0.06458184,0.44329230,0.00655681,0.04979435,0.01141687,0.07189130
2.10405203,0.69060098,0.19198694,0.08581571,0.06878985,0.48215628,0.00593686,0.05017134,0.00986920,0.07854922
2.11005503,0.74077649,0.20372733,0.09158215,0.07369311,0.52494611,0.00545326,0.05120151,0.00856916,0.08579211
2.11605803,0.79646783,0.21713018,0.09805036,0.07918566,0.57108669,0.00508961,0.05281659,0.00749825,0.09352311
2.12206103,0.85667185,0.23191555,0.10508905,0.08515277,0.61991194,0.00482966,0.05494228,0.00663804,0.10163043
2.12806403,0.92028607,0.24777742,0.11255624,0.09147245,0.67067475,0.00465758,0.05750000,0.00597074,0.10998902
2.13406703,0.98612925,0.26438987,0.12030188,0.09801743,0.72256051,0.00455819,0.06040865,0.00547974,0.11846266
2.14007004,1.05296586,0.28141400,0.12817087,0.10465740,0.77470403,0.00451712,0.06358652,0.00514994,0.12690681
2.14607304,1.11953411,0.29850579,0.13600648,0.11126171,0.82620958,0.00452096,0.06695316,0.00496813,0.13517195
2.15207604,1.18457687,0.31532445,0.14365417,0.11770229,0.87617347,0.00455735,0.07043131,0.00492307,0.14310730
2.15807904,1.24687457,0.33154122,0.15096554,0.12385678,0.92370858,0.00461510,0.07394874,0.00500565,0.15056502
2.16408204,1.30527875,0.34684818,0.15780242,0.12961179,0.96796978,0.00468424,0.07743998,0.00520882,0.15740448
2.17008504,1.35874515,0.36096682,0.16404086,0.13486608,1.00817938,0.00475606,0.08084788,0.00552750,0.16349659
2.17608804,1.40636463,0.37365596,0.16957479,0.13953357,1.04365130,0.00482319,0.08412487,0.00595838,0.16872792
2.18209105,1.44739068,0.38471854,0.17431932,0.14354600,1.07381302,0.00487952,0.08723396,0.00649969,0.17300452
2.18809405,1.48126194,0.39400719,0.17821339,0.14685510,1.09822403,0.00492031,0.09014931,0.00715082,0.17625513
2.19409705,1.50761853,0.40142798,0.18122163,0.14943415,1.11658988,0.00494210,0.09285637,0.00791195,0.17843368
2.20010005,1.52631134,0.40694227,0.18333541,0.15127878,1.12877108,0.00494269,0.09535155,0.00878361,0.17952098
2.20610305,1.53740336,0.41056651,0.18457285,0.15240699,1.13478620,0.00492105,0.09764150,0.00976625,0.17952546
2.21210605,1.54116306,0.41236990,0.18497793,0.15285830,1.13480900,0.00487731,0.09974177,0.01085970,0.17848287
2.21810905,1.53804973,0.41246994,0.18461855,0.15269208,1.12915949,0.00481256,0.10167525,0.01206272,0.17645501
