energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-5.38769385,2.23704824,0.01269935,0.02051278,0.52949234,0.02778699,1.30685450,0.37352880,0.13210695
-5.38169085,2.26869204,0.01242452,0.02136273,0.53973058,0.02822232,1.32532435,0.37497501,0.13488111
-5.37568784,2.28878045,0.01208267,0.02212010,0.54735303,0.02848882,1.33703935,0.37452020,0.13696843
-5.36968484,2.29676443,0.01167896,0.02277302,0.55217952,0.02857934,1.34167474,0.37212799,0.13832518
-5.36368184,2.29230474,0.01121959,0.02331105,0.55407618,0.02849015,1.33902880,0.36779564,0.13892013
-5.35767884,2.27528608,0.01071166,0.02372541,0.55296047,0.02822111,1.32903133,0.36155513,0.13873561
-5.35167584,2.24582399,0.01016296,0.02400924,0.54880460,0.02777571,1.31174789,0.35347305,0.13776811
-5.34567284,2.20426408,0.00958176,0.02415779,0.54163702,0.02716099,1.28737944,0.34364938,0.13602848
-5.33966983,2.15117358,0.00897658,0.02416847,0.53154224,0.02638731,1.25625751,0.33221508,0.13354163
-5.33366683,2.08732581,0.00835600,0.02404102,0.51865859,0.02546807,1.21883507,0.31932872,0.13034578
-5.32766383,2.01367797,0.00772840,0.02377746,0.50317439,0.02441926,1.17567353,0.30517217,0.12649136
-5.32166083,1.93134359,0.00710178,0.02338203,0.48532249,0.02325895,1.12742654,0.28994562,0.12203945
-5.31565783,1.84156062,0.00648360,0.02286113,0.46537347,0.02200677,1.07482112,0.27386213,0.11706008
-5.30965483,1.74565666,0.00588060,0.02222312,0.44362789,0.02068330,1.01863721,0.25714192,0.11163017
-5.30365183,1.64501283,0.00529871,0.02147810,0.42040785,0.01930948,0.95968627,0.24000665,0.10583145
-5.29764882,1.54102753,0.00474296,0.02063769,0.39604821,0.01790606,0.89878992,0.22267394,0.09974826
-5.29164582,1.43508172,0.00421743,0.01971471,0.37088783,0.01649301,0.83675938,0.20535225,0.09346547
-5.28564282,1.32850672,0.00372525,0.01872287,0.34526121,0.01508909,0.77437647,0.18823640,0.08706640
-5.27963982,1.22255564,0.00326859,0.01767646,0.31949071,0.01371146,0.71237677,0.17150378,0.08063105
-5.27363682,1.11837927,0.00284876,0.01658999,0.29387969,0.01237530,0.65143533,0.15531141,0.07423440
-5.26763382,1.01700695,0.00246623,0.01547789,0.26870676,0.01109366,0.59215543,0.13979379,0.06794514
-5.26163082,0.91933261,0.00212072,0.01435420,0.24422116,0.00987727,0.53506039,0.12506174,0.06182456
-5.25562781,0.82610616,0.00181135,0.01323228,0.22063946,0.00873450,0.48058854,0.11120196,0.05592583
-5.24962481,0.73793000,0.00153668,0.01212457,0.19814355,0.00767143,0.42909120,0.09827746,0.05029353
-5.24362181,0.65526023,0.00129485,0.01104240,0.17687986,0.00669192,0.38083349,0.08632860,0.04496350
-5.23761881,0.57841202,0.00108370,0.00999579,0.15695973,0.00579778,0.33599759,0.07537478,0.03996293
-5.23161581,0.50756868,0.00090085,0.00899339,0.13846081,0.00498899,0.29468812,0.06541657,0.03531073
-5.22561281,0.44279342,0.00074378,0.00804238,0.12142937,0.00426394,0.25693924,0.05643811,0.03101801
-5.21960980,0.38404342,0.00060995,0.00714847,0.10588332,0.00361969,0.22272295,0.04840979,0.02708881
-5.21360680,0.33118515,0.00049684,0.00631594,0.09181573,0.00305224,0.19195824,0.04129105,0.02352093
-5.20760380,0.28401060,0.00040200,0.00554768,0.07919885,0.00255679,0.16452064,0.03503306,0.02030677
-5.20160080,0.24225352,0.00032313,0.00484536,0.06798820,0.00212802,0.14025192,0.02958144,0.01743433
-5.19559780,0.20560535,0.00025806,0.00420949,0.05812683,0.00176026,0.11896941,0.02487876,0.01488808
-5.18959480,0.17373033,0.00020484,0.00363965,0.04954953,0.00144776,0.10047499,0.02086680,0.01264993
-5.18359180,0.14627943,0.00016168,0.00313464,0.04218682,0.00118484,0.08456326,0.01748865,0.01070011
-5.17758879,0.12290298,0.00012700,0.00269264,0.03596870,0.00096602,0.07102893,0.01469045,0.00901797
-5.17158579,0.10326166,0.00009942,0.00231147,0.03082814,0.00078618,0.05967335,0.01242295,0.00758269
-5.16558279,0.08703601,0.00007775,0.00198868,0.02670411,0.00064061,0.05031000,0.01064275,0.00637399
-5.15957979,0.07393416,0.00006096,0.00172179,0.02354425,0.00052510,0.04276912,0.00931324,0.00537264
-5.15357679,0.06369813,0.00004821,0.00150845,0.02130710,0.00043598,0.03690126,0.00840543,0.00456098
-5.14757379,0.05610844,0.00003879,0.00134653,0.01996381,0.00037012,0.03258009,0.00789836,0.00392321
-5.14157079,0.05098735,0.00003213,0.00123429,0.01949946,0.00032497,0.02970423,0.00777944,0.00344576
-5.13556778,0.04820072,0.00002777,0.00117043,0.01991383,0.00029852,0.02819836,0.00804450,0.00311744
-5.12956478,0.04765855,0.00002537,0.00115420,0.02122167,0.00028933,0.02801348,0.00869767,0.00292957
-5.12356178,0.04931427,0.00002467,0.00118538,0.02345242,0.00029645,0.02912659,0.00975103,0.00287605
-5.11755878,0.05316299,0.00002549,0.00126433,0.02664948,0.00031942,0.03153956,0.01122405,0.00295327
-5.11155578,0.05923851,0.00002770,0.00139196,0.03086885,0.00035824,0.03527740,0.01314288,0.00316008
-5.10555278,0.06760933,0.00003126,0.00156967,0.03617724,0.00041333,0.04038597,0.01553935,0.00349760
-5.09954977,0.07837369,0.00003613,0.00179926,0.04264962,0.00048547,0.04692893,0.01844977,0.00396901
-5.09354677,0.09165351,0.00004236,0.00208285,0.05036628,0.00057575,0.05498427,0.02191357,0.00457928
-5.08754377,0.10758755,0.00004999,0.00242274,0.05940928,0.00068555,0.06464014,0.02597169,0.00533483
-5.08154077,0.12632368,0.00005912,0.00282125,0.06985860,0.00081648,0.07599031,0.03066473,0.00624320
-5.07553777,0.14801048,0.00006986,0.00328059,0.08178775,0.00097028,0.08912909,0.03603104,0.00731259
-5.06953477,0.17278831,0.00008234,0.00380263,0.09525927,0.00114881,0.10414600,0.04210461,0.00855144
-5.06353177,0.20078004,0.00009673,0.00438879,0.11032000,0.00135395,0.12112014,0.04891294,0.00996794
-5.05752876,0.23208180,0.00011321,0.00503983,0.12699646,0.00158753,0.14011461,0.05647484,0.01156959
-5.05152576,0.26675391,0.00013202,0.00575568,0.14529040,0.00185128,0.16117097,0.06479844,0.01336263
-5.04552276,0.30481246,0.00015341,0.00653532,0.16517485,0.00214670,0.18430407,0.07387923,0.01535167
-5.03951976,0.34622187,0.00017769,0.00737667,0.18659074,0.00247505,0.20949754,0.08369848,0.01753918
-5.03351676,0.39088887,0.00020525,0.00827647,0.20944449,0.00283722,0.23669993,0.09422205,0.01992517
-5.02751376,0.43865823,0.00023655,0.00923030,0.23360654,0.00323370,0.26582206,0.10539954,0.02250686
-5.02151076,0.48931060,0.00027218,0.01023254,0.25891127,0.00366450,0.29673560,0.11716418,0.02527848
-5.01550775,0.54256287,0.00031287,0.01127645,0.28515821,0.00412911,0.32927310,0.12943325,0.02823119
-5.00950475,0.59807116,0.00035951,0.01235432,0.31211479,0.00462647,0.36322968,0.14210922,0.03135311
-5.00350175,0.65543663,0.00041323,0.01345757,0.33952052,0.00515496,0.39836645,0.15508158,0.03462949
-4.99749875,0.71421406,0.00047544,0.01457703,0.36709275,0.00571245,0.43441557,0.16822941,0.03804305
-4.99149575,0.77392320,0.00054784,0.01570318,0.39453369,0.00629627,0.47108708,0.18142455,0.04157442
-4.98549275,0.83406242,0.00063254,0.01682642,0.42153862,0.00690335,0.50807711,0.19453540,0.04520276
-4.97948974,0.89412443,0.00073206,0.01793747,0.44780506,0.00753028,0.54507740,0.20743108,0.04890644
-4.97348674,0.95361330,0.00084945,0.01902760,0.47304241,0.00817343,0.58178570,0.21998592,0.05266388
-4.96748374,1.01206233,0.00098828,0.02008904,0.49698189,0.00882911,0.61791662,0.23208413,0.05645438
-4.96148074,1.06905177,0.00115273,0.02111525,0.51938622,0.00949373,0.65321255,0.24362421,0.06025898
-4.95547774,1.12422568,0.00134764,0.02210118,0.54005870,0.01016397,0.68745404,0.25452325,0.06406138
-4.94947474,1.17730708,0.00157851,0.02304353,0.55885118,0.01083696,0.72046914,0.26472051,0.06784865
-4.94347174,1.22811045,0.00185150,0.02394085,0.57567067,0.01151043,0.75214124,0.27418051,0.07161191
-4.93746873,1.27655102,0.00217345,0.02479365,0.59048407,0.01218291,0.78241489,0.28289501,0.07534684
-4.93146573,1.32265000,0.00255179,0.02560437,0.60332091,0.01285383,0.81129925,0.29088418,0.07905401
-4.92546273,1.36653554,0.00299449,0.02637732,0.61427380,0.01352360,0.83886885,0.29819646,0.08273888
-4.91945973,1.40843897,0.00350991,0.02711842,0.62349654,0.01419370,0.86526153,0.30490748,0.08641171
-4.91345673,1.44868637,0.00410667,0.02783501,0.63119994,0.01486662,0.89067354,0.31111759,0.09008708
-4.90745373,1.48768570,0.00479338,0.02853546,0.63764534,0.01554586,0.91535185,0.31694859,0.09378323
-4.90145073,1.52590987,0.00557844,0.02922877,0.64313625,0.01623574,0.93958405,0.32253926,0.09752119
-4.89544772,1.56387650,0.00646973,0.02992410,0.64800826,0.01694125,0.96368608,0.32804031,0.10132369
-4.88944472,1.60212505,0.00747424,0.03063036,0.65261763,0.01766780,0.98798851,0.33360867,0.10521390
-4.88344172,1.64119256,0.00859774,0.03135564,0.65732911,0.01842096,1.01282174,0.33940140,0.10921417
-4.87743872,1.68158881,0.00984436,0.03210682,0.66250337,0.01920607,1.03850095,0.34556969,0.11334467
-4.87143572,1.72377217,0.01121622,0.03288911,0.66848457,0.02002797,1.06531141,0.35225282,0.11762208
