energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
0.60330165,1.49710818,0.18150214,0.00000000,0.00550808,0.06376376,0.36825253,1.21882273
0.60930465,1.42563884,0.16725281,0.00000000,0.00493774,0.05961593,0.33740183,1.17296815
0.61530765,1.35552231,0.15341831,0.00000000,0.00441298,0.05570865,0.30815871,1.12728596
0.62131066,1.28742676,0.14017555,0.00000000,0.00393620,0.05207838,0.28077150,1.08222160
0.62731366,1.22191018,0.12768192,0.00000000,0.00350923,0.04875716,0.25544281,1.03814918
0.63331666,1.15942104,0.11607420,0.00000000,0.00313338,0.04577279,0.23233141,0.99537164
0.63931966,1.10030409,0.10546808,0.00000000,0.00280950,0.04314914,0.21155535,0.95412491
0.64532266,1.04481050,0.09595841,0.00000000,0.00253807,0.04090655,0.19319607,0.91458553
0.65132566,0.99311136,0.08761988,0.00000000,0.00231929,0.03906228,0.17730325,0.87688087
0.65732866,0.94531344,0.08050806,0.00000000,0.00215311,0.03763107,0.16389996,0.84110123
0.66333167,0.90147596,0.07466071,0.00000000,0.00203933,0.03662549,0.15298783,0.80731276
0.66933467,0.86162717,0.07009913,0.00000000,0.00197763,0.03605635,0.14455202,0.77557022
0.67533767,0.82577984,0.06682950,0.00000000,0.00196763,0.03593294,0.13856560,0.74592887
0.68134067,0.79394445,0.06484416,0.00000000,0.00200889,0.03626308,0.13499329,0.71845444
0.68734367,0.76613967,0.06412259,0.00000000,0.00210095,0.03705309,0.13379434,0.69323083
0.69334667,0.74239948,0.06463229,0.00000000,0.00224328,0.03830759,0.13492451,0.67036499
0.69934967,0.72277677,0.06632937,0.00000000,0.00243535,0.04002906,0.13833723,0.64998890
0.70535268,0.70734347,0.06915899,0.00000000,0.00267649,0.04221743,0.14398375,0.63225852
0.71135568,0.69618751,0.07305560,0.00000000,0.00296596,0.04486947,0.15181273,0.61735003
0.71735868,0.68940698,0.07794318,0.00000000,0.00330285,0.04797816,0.16176908,0.60545381
0.72336168,0.68710223,0.08373545,0.00000000,0.00368607,0.05153214,0.17379236,0.59676643
0.72936468,0.68936646,0.09033623,0.00000000,0.00411428,0.05551510,0.18781490,0.59148154
0.73536768,0.69627570,0.09763994,0.00000000,0.00458587,0.05990539,0.20375976,0.58978005
0.74137069,0.70787877,0.10553246,0.00000000,0.00509891,0.06467562,0.22153869,0.59182043
0.74737369,0.72418792,0.11389221,0.00000000,0.00565113,0.06979260,0.24105022,0.59772948
0.75337669,0.74517076,0.12259172,0.00000000,0.00623988,0.07521732,0.26217803,0.60759431
0.75937969,0.77074379,0.13149947,0.00000000,0.00686214,0.08090521,0.28478951,0.62145570
0.76538269,0.80076797,0.14048214,0.00000000,0.00751446,0.08680657,0.30873484,0.63930331
0.77138569,0.83504629,0.14940709,0.00000000,0.00819298,0.09286713,0.33384627,0.66107267
0.77738869,0.87332354,0.15814510,0.00000000,0.00889342,0.09902882,0.35993789,0.68664416
0.78339170,0.91528798,0.16657320,0.00000000,0.00961105,0.10523063,0.38680575,0.71584381
0.78939470,0.96057491,0.17457744,0.00000000,0.01034073,0.11140948,0.41422832,0.74844576
0.79539770,1.00877169,0.18205556,0.00000000,0.01107689,0.11750120,0.44196733,0.78417623
0.80140070,1.05942408,0.18891937,0.00000000,0.01181353,0.12344147,0.46976899,0.82271859
0.80740370,1.11204350,0.19509674,0.00000000,0.01254424,0.12916673,0.49736558,0.86371951
0.81340670,1.16611499,0.20053311,0.00000000,0.01326224,0.13461503,0.52447748,0.90679567
0.81940970,1.22110562,0.20519246,0.00000000,0.01396039,0.13972678,0.55081571,0.95154092
0.82541271,1.27647314,0.20905765,0.00000000,0.01463125,0.14444547,0.57608492,0.99753376
0.83141571,1.33167473,0.21213020,0.00000000,0.01526715,0.14871827,0.59998705,1.04434475
0.83741871,1.38617567,0.21442940,0.00000000,0.01586029,0.15249659,0.62222549,1.09154391
0.84342171,1.43945794,0.21599100,0.00000000,0.01640284,0.15573659,0.64250993,1.13870794
0.84942471,1.49102854,0.21686527,0.00000000,0.01688708,0.15839965,0.66056175,1.18542706
0.85542771,1.54042746,0.21711484,0.00000000,0.01730557,0.16045284,0.67611982,1.23131154
0.86143072,1.58723519,0.21681216,0.00000000,0.01765132,0.16186938,0.68894678,1.27599766
0.86743372,1.63107969,0.21603680,0.00000000,0.01791800,0.16262912,0.69883537,1.31915315
0.87343672,1.67164240,0.21487273,0.00000000,0.01810012,0.16271899,0.70561473,1.36048181
0.87943972,1.70866339,0.21340554,0.00000000,0.01819327,0.16213346,0.70915636,1.39972741
0.88544272,1.74194516,0.21171991,0.00000000,0.01819426,0.16087497,0.70937944,1.43667644
0.89144572,1.77135504,0.20989711,0.00000000,0.01810137,0.15895430,0.70625518,1.47115993
