energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.45372686,2.96511465,-2.82247188,0.04011489,-0.03417319,0.34105717,-0.31783783,0.85678577,-0.86694605,0.30502257,-0.24664551,0.96238611,-0.94540158,0.21996804,-0.21175217,0.06291199,-0.05902698,1.38965116,-1.34633727
-5.44772386,2.90680083,-2.75701061,0.04252774,-0.03626393,0.33704851,-0.31095606,0.80461957,-0.81319995,0.31919397,-0.25663498,0.91662482,-0.90099150,0.21803681,-0.20958776,0.06449683,-0.06054849,1.35225981,-1.30926055
-5.44172086,2.85888246,-2.70325837,0.04508714,-0.03854393,0.33485139,-0.30602092,0.75606399,-0.76306191,0.33524625,-0.26873098,0.87339561,-0.85955923,0.21664155,-0.20808741,0.06620713,-0.06223946,1.31880182,-1.27670158
-5.43571786,2.82111691,-2.66110256,0.04777082,-0.04099850,0.33445597,-0.30308609,0.71132082,-0.71676694,0.35306437,-0.28291017,0.83261480,-0.82096534,0.21576416,-0.20723275,0.06801772,-0.06407555,1.28918228,-1.24854457
-5.42971486,2.79301876,-2.63017052,0.05055309,-0.04360911,0.33580768,-0.30215899,0.67050276,-0.67445803,0.37248735,-0.29910239,0.79416124,-0.78502365,0.21537096,-0.20698810,0.06990129,-0.06602977,1.26321699,-1.22457595
-5.42371186,2.77388101,-2.60984668,0.05340537,-0.04635356,0.33880974,-0.30320083,0.63363804,-0.63618980,0.39331162,-0.31719053,0.75788642,-0.75151371,0.21541352,-0.20730165,0.07182866,-0.06807276,1.24064188,-1.20449502
-5.41770885,2.76280211,-2.59929615,0.05629668,-0.04920624,0.34332712,-0.30612842,0.60067731,-0.60193482,0.41529607,-0.33701218,0.72362461,-0.72019345,0.21582995,-0.20810684,0.07376897,-0.07017304,1.22112385,-1.18792628
-5.41170585,2.75871761,-2.59749348,0.05919421,-0.05213850,0.34919177,-0.31081734,0.57150232,-0.57159198,0.43816841,-0.35836279,0.69120239,-0.69081139,0.21654644,-0.20932413,0.07568992,-0.07229726,1.20427273,-1.17443294
-5.40570285,2.76043492,-2.60325536,0.06206404,-0.05511917,0.35620884,-0.31710655,0.54593578,-0.54499639,0.46163264,-0.38100031,0.66044716,-0.66311795,0.21747895,-0.21086296,0.07755806,-0.07441055,1.18965384,-1.16353086
-5.39969985,2.76666972,-2.61527584,0.06487178,-0.05811502,0.36416347,-0.32480392,0.52375202,-0.52193024,0.48537714,-0.40465113,0.63119433,-0.63687513,0.21853521,-0.21262377,0.07933911,-0.07647682,1.17680062,-1.15470266
