energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
0.91545773,0.98553672,0.00069502,0.05414543,0.53170092,0.03060169,0.01451194,0.05078482,0.05796323,0.60219374
0.92146073,0.97181843,0.00066979,0.05373936,0.52023462,0.03054787,0.01525275,0.05056790,0.05733920,0.59283768
0.92746373,0.95563481,0.00064135,0.05324078,0.50703314,0.03045213,0.01604811,0.05027786,0.05660019,0.58188485
0.93346673,0.93774403,0.00061038,0.05269213,0.49253304,0.03033470,0.01690195,0.04995242,0.05579409,0.56980697
0.93946973,0.91892253,0.00057760,0.05213669,0.47718891,0.03021552,0.01781649,0.04962966,0.05497036,0.55708912
0.94547274,0.89994044,0.00054379,0.05161726,0.46145998,0.03011349,0.01879196,0.04934675,0.05417867,0.54421455
0.95147574,0.88153870,0.00050971,0.05117496,0.44579743,0.03004583,0.01982638,0.04913887,0.05346761,0.53165056
0.95747874,0.86440874,0.00047616,0.05084812,0.43063291,0.03002753,0.02091544,0.04903825,0.05288353,0.51983584
0.96348174,0.84917550,0.00044392,0.05067139,0.41636866,0.03007089,0.02205250,0.04907335,0.05246957,0.50916978
0.96948474,0.83638425,0.00041375,0.05067502,0.40336951,0.03018528,0.02322873,0.04926832,0.05226489,0.50000400
0.97548774,0.82649152,0.00038638,0.05088436,0.39195695,0.03037697,0.02443324,0.04964261,0.05230406,0.49263635
0.98149075,0.81985994,0.00036253,0.05131952,0.38240514,0.03064919,0.02565347,0.05021082,0.05261673,0.48730731
0.98749375,0.81675696,0.00034287,0.05199527,0.37493899,0.03100223,0.02687555,0.05098272,0.05322731,0.48419856
0.99349675,0.81735663,0.00032804,0.05292104,0.36973372,0.03143372,0.02808479,0.05196343,0.05415496,0.48343355
0.99949975,0.82174402,0.00031865,0.05410107,0.36691595,0.03193900,0.02926615,0.05315368,0.05541355,0.48507961
1.00550275,0.82992139,0.00031530,0.05553455,0.36656563,0.03251144,0.03040479,0.05455019,0.05701170,0.48915118
1.01150575,0.84181537,0.00031853,0.05721588,0.36871868,0.03314293,0.03148653,0.05614604,0.05895280,0.49561363
1.01750875,0.85728434,0.00032889,0.05913489,0.37336974,0.03382427,0.03249834,0.05793104,0.06123506,0.50438736
1.02351176,0.87612542,0.00034691,0.06127697,0.38047492,0.03454548,0.03342870,0.05989199,0.06385139,0.51535177
1.02951476,0.89808054,0.00037309,0.06362325,0.38995410,0.03529618,0.03426789,0.06201296,0.06678930,0.52834865
1.03551776,0.92284131,0.00040794,0.06615065,0.40169280,0.03606575,0.03500820,0.06427544,0.07003069,0.54318515
1.04152076,0.95005257,0.00045193,0.06883188,0.41554343,0.03684355,0.03564397,0.06665836,0.07355155,0.55963601
1.04752376,0.97931490,0.00050552,0.07163552,0.43132608,0.03761890,0.03617158,0.06913812,0.07732168,0.57744524
1.05352676,1.01018616,0.00056913,0.07452597,0.44882901,0.03838116,0.03658933,0.07168854,0.08130446,0.59632752
1.05952976,1.04218280,0.00064315,0.07746360,0.46780890,0.03911961,0.03689716,0.07428080,0.08545666,0.61596947
1.06553277,1.07478140,0.00072791,0.08040489,0.48799145,0.03982338,0.03709644,0.07688347,0.08972839,0.63603125
1.07153577,1.10742107,0.00082365,0.08330278,0.50907234,0.04048139,0.03718960,0.07946251,0.09406330,0.65614883
1.07753877,1.13950740,0.00093051,0.08610716,0.53071912,0.04108221,0.03717978,0.08198152,0.09839898,0.67593719
1.08354177,1.17041836,0.00104852,0.08876560,0.55257407,0.04161410,0.03707055,0.08440202,0.10266774,0.69499481
1.08954477,1.19951263,0.00117754,0.09122428,0.57425841,0.04206499,0.03686558,0.08668399,0.10679761,0.71290970
1.09554777,1.22614040,0.00131726,0.09342912,0.59537793,0.04242265,0.03656839,0.08878653,0.11071373,0.72926681
1.10155078,1.24965670,0.00146718,0.09532712,0.61552992,0.04267484,0.03618226,0.09066874,0.11434003,0.74365703
1.10755378,1.26943698,0.00162654,0.09686782,0.63431152,0.04280962,0.03571007,0.09229069,0.11760114,0.75568733
1.11355678,1.28489424,0.00179437,0.09800489,0.65132904,0.04281571,0.03515434,0.09361455,0.12042454,0.76499185
1.11955978,1.29549727,0.00196943,0.09869766,0.66620805,0.04268289,0.03451731,0.09460579,0.12274274,0.77124346
1.12556278,1.30078894,0.00215022,0.09891271,0.67860387,0.04240248,0.03380103,0.09523436,0.12449551,0.77416514
1.13156578,1.30040373,0.00233496,0.09862517,0.68821189,0.04196778,0.03300761,0.09547585,0.12563207,0.77354082
1.13756878,1.29408353,0.00252167,0.09781992,0.69477734,0.04137450,0.03213942,0.09531251,0.12611292,0.76922486
1.14357179,1.28169073,0.00270810,0.09649245,0.69810400,0.04062116,0.03119928,0.09473413,0.12591153,0.76114986
1.14957479,1.26321796,0.00289184,0.09464937,0.69806139,0.03970940,0.03019073,0.09373870,0.12501553,0.74933213
1.15557779,1.23879378,0.00307035,0.09230855,0.69459024,0.03864418,0.02911819,0.09233283,0.12342750,0.73387463
1.16158079,1.20868402,0.00324099,0.08949887,0.68770572,0.03743385,0.02798708,0.09053187,0.12116521,0.71496717
1.16758379,1.17328845,0.00340114,0.08625955,0.67749852,0.03609016,0.02680397,0.08835978,0.11826137,0.69288363
1.17358679,1.13313320,0.00354820,0.08263917,0.66413353,0.03462805,0.02557654,0.08584874,0.11476290,0.66797659
1.17958979,1.08885884,0.00367976,0.07869425,0.64784639,0.03306538,0.02431356,0.08303842,0.11072964,0.64066932
1.18559280,1.04120505,0.00379360,0.07448772,0.62893784,0.03142256,0.02302478,0.07997519,0.10623272,0.61144565
1.19159580,0.99099230,0.00388781,0.07008710,0.60776635,0.02972202,0.02172078,0.07671099,0.10135255,0.58083811
1.19759880,0.93910144,0.00396087,0.06556260,0.58473916,0.02798771,0.02041274,0.07330218,0.09617661,0.54941481
1.20360180,0.88645197,0.00401168,0.06098521,0.56030216,0.02624446,0.01911224,0.06980823,0.09079698,0.51776570
1.20960480,0.83397991,0.00403964,0.05642487,0.53492907,0.02451740,0.01783095,0.06629042,0.08530793,0.48648853
1.21560780,0.78261591,0.00404466,0.05194869,0.50911006,0.02283135,0.01658040,0.06281050,0.07980351,0.45617508
1.22161081,0.73326432,0.00402721,0.04761944,0.48334036,0.02121023,0.01537170,0.05942942,0.07437524,0.42739814
1.22761381,0.68678375,0.00398828,0.04349423,0.45810902,0.01967654,0.01421529,0.05620608,0.06910997,0.40069929
1.23361681,0.64396945,0.00392940,0.03962341,0.43388819,0.01825087,0.01312076,0.05319620,0.06408811,0.37657800
1.23961981,0.60553783,0.00385253,0.03604987,0.41112296,0.01695153,0.01209661,0.05045122,0.05938197,0.35548185
1.24562281,0.57211312,0.00376008,0.03280842,0.39022207,0.01579418,0.01115012,0.04801736,0.05505453,0.33779827
1.25162581,0.54421627,0.00365477,0.02992561,0.37154945,0.01479158,0.01028723,0.04593475,0.05115846,0.32384745
1.25762881,0.52225598,0.00353957,0.02741964,0.35541680,0.01395342,0.00951243,0.04423662,0.04773546,0.31387661
1.26363182,0.50652178,0.00341757,0.02530057,0.34207717,0.01328615,0.00882876,0.04294865,0.04481586,0.30805544
1.26963482,0.49717894,0.00329191,0.02357062,0.33171967,0.01279295,0.00823774,0.04208840,0.04241846,0.30647267
1.27563782,0.49426539,0.00316566,0.02222462,0.32446524,0.01247371,0.00773938,0.04166479,0.04055066,0.30913375
1.28164082,0.49769029,0.00304168,0.02125061,0.32036378,0.01232505,0.00733223,0.04167779,0.03920873,0.31595968
1.28764382,0.50723453,0.00292259,0.02063042,0.31939239,0.01234045,0.00701344,0.04211815,0.03837824,0.32678695
1.29364682,0.52255325,0.00281062,0.02034033,0.32145517,0.01251030,0.00677879,0.04296739,0.03803474,0.34136880
1.29964982,0.54318029,0.00270761,0.02035183,0.32638440,0.01282219,0.00662282,0.04419784,0.03814446,0.35937783
1.30565283,0.56853506,0.00261489,0.02063226,0.33394333,0.01326100,0.00653893,0.04577298,0.03866524,0.38041022
1.31165583,0.59793183,0.00253331,0.02114558,0.34383061,0.01380929,0.00651950,0.04764793,0.03954751,0.40399162
1.31765883,0.63059158,0.00246320,0.02185310,0.35568645,0.01444753,0.00655605,0.04977022,0.04073545,0.42958485
1.32366183,0.66565653,0.00240439,0.02271425,0.36910046,0.01515452,0.00663938,0.05208077,0.04216819,0.45659957
1.32966483,0.70220732,0.00235623,0.02368731,0.38362101,0.01590781,0.00675977,0.05451510,0.04378115,0.48440377
1.33566783,0.73928262,0.00231767,0.02473023,0.39876620,0.01668412,0.00690718,0.05700478,0.04550749,0.51233704
1.34167084,0.77590080,0.00228728,0.02580138,0.41403593,0.01745988,0.00707145,0.05947907,0.04727959,0.53972538
1.34767384,0.81108333,0.00226337,0.02686036,0.42892495,0.01821176,0.00724251,0.06186667,0.04903057,0.56589724
1.35367684,0.84387907,0.00224404,0.02786879,0.44293644,0.01891719,0.00741061,0.06409764,0.05069587,0.59020031
1.35967984,0.87338879,0.00222728,0.02879104,0.45559566,0.01955493,0.00756652,0.06610525,0.05221471,0.61201846
1.36568284,0.89878902,0.00221106,0.02959495,0.46646322,0.02010559,0.00770178,0.06782790,0.05353158,0.63078833
1.37168584,0.91935427,0.00219341,0.03025247,0.47514743,0.02055210,0.00780882,0.06921083,0.05459751,0.64601481
1.37768884,0.93447679,0.00217251,0.03074020,0.48131527,0.02088016,0.00788119,0.07020772,0.05537123,0.65728481
