energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-4.94347174,4.85171531,0.05457440,0.15795160,1.25959483,2.97058586,1.52738779,0.00000000
-4.93746873,4.64145781,0.05209994,0.14794612,1.18569445,2.89339852,1.42597612,0.00000000
-4.93146573,4.45107024,0.04977420,0.13874158,1.11695544,2.82731982,1.33137400,0.00000000
-4.92546273,4.28121754,0.04761162,0.13037538,1.05368714,2.77248305,1.24399111,0.00000000
-4.91945973,4.13190974,0.04562027,0.12286062,0.99603933,2.72861089,1.16404127,0.00000000
-4.91345673,4.00253017,0.04380196,0.11618723,0.94400707,2.69503370,1.09154989,0.00000000
-4.90745373,3.89188481,0.04215256,0.11032385,0.89744049,2.67072230,1.02636681,0.00000000
-4.90145073,3.79827079,0.04066247,0.10522024,0.85605923,2.65433422,0.96818411,0.00000000
-4.89544772,3.71956158,0.03931732,0.10081016,0.81947062,2.64427182,0.91655809,0.00000000
-4.88944472,3.65330548,0.03809883,0.09701472,0.78719114,2.63874995,0.87093444,0.00000000
-4.88344172,3.59683332,0.03698574,0.09374587,0.75866995,2.63587045,0.83067566,0.00000000
-4.87743872,3.54737103,0.03595482,0.09091005,0.73331372,2.63370023,0.79508963,0.00000000
-4.87143572,3.50215218,0.03498199,0.08841182,0.71051153,2.63034964,0.76345813,0.00000000
-4.86543272,3.45852603,0.03404330,0.08615726,0.68965903,2.62404763,0.73506428,0.00000000
-4.85942971,3.41405640,0.03311593,0.08405721,0.67018073,2.61321041,0.70921782,0.00000000
-4.85342671,3.36660742,0.03217911,0.08203001,0.65154961,2.59650053,0.68527743,0.00000000
-4.84742371,3.31441275,0.03121482,0.08000384,0.63330346,2.57287385,0.66266929,0.00000000
-4.84142071,3.25612578,0.03020838,0.07791853,0.61505732,2.54161260,0.64090133,0.00000000
-4.83541771,3.19084933,0.02914891,0.07572679,0.59651170,2.50234309,0.61957295,0.00000000
-4.82941471,3.11814429,0.02802951,0.07339487,0.57745658,2.45503795,0.59837996,0.00000000
-4.82341171,3.03801780,0.02684728,0.07090264,0.55777119,2.40000309,0.57711513,0.00000000
-4.81740870,2.95089269,0.02560324,0.06824328,0.53741999,2.33785075,0.55566438,0.00000000
-4.81140570,2.85756055,0.02430197,0.06542234,0.51644525,2.26946049,0.53399944,0.00000000
-4.80540270,2.75912193,0.02295120,0.06245657,0.49495687,2.19593061,0.51216742,0.00000000
-4.79939970,2.65691732,0.02156127,0.05937244,0.47312027,2.11852308,0.49027832,0.00000000
-4.79339670,2.55245326,0.02014454,0.05620443,0.45114304,2.03860506,0.46849104,0.00000000
-4.78739370,2.44732775,0.01871471,0.05299335,0.42926120,1.95759036,0.44699909,0.00000000
-4.78139070,2.34315909,0.01728619,0.04978457,0.40772583,1.87688407,0.42601654,0.00000000
-4.77538769,2.24152189,0.01587349,0.04662645,0.38679083,1.79783310,0.40576513,0.00000000
-4.76938469,2.14389334,0.01449064,0.04356888,0.36670234,1.72168512,0.38646318,0.00000000
-4.76338169,2.05161208,0.01315070,0.04066210,0.34769030,1.64955771,0.36831663,0.00000000
-4.75737869,1.96585122,0.01186536,0.03795578,0.32996246,1.58241882,0.35151275,0.00000000
-4.75137569,1.88760609,0.01064464,0.03549839,0.31370092,1.52107895,0.33621654,0.00000000
-4.74537269,1.81769622,0.00949670,0.03333680,0.29906128,1.46619475,0.32256979,0.00000000
-4.73936968,1.75678055,0.00842773,0.03151623,0.28617406,1.41828299,0.31069258,0.00000000
-4.73336668,1.70538355,0.00744193,0.03008025,0.27514817,1.37774325,0.30068702,0.00000000
-4.72736368,1.66392987,0.00654163,0.02907107,0.26607595,1.34488727,0.29264243,0.00000000
-4.72136068,1.63278406,0.00572737,0.02852983,0.25903920,1.31997234,0.28664179,0.00000000
-4.71535768,1.61229222,0.00499814,0.02849682,0.25411571,1.30323601,0.28276843,0.00000000
-4.70935468,1.60282183,0.00435160,0.02901172,0.25138554,1.29492949,0.28111258,0.00000000
-4.70335168,1.60479649,0.00378431,0.03011359,0.25093668,1.29534679,0.28177697,0.00000000
-4.69734867,1.61872244,0.00329199,0.03184069,0.25286925,1.30484745,0.28488102,0.00000000
-4.69134567,1.64520436,0.00286976,0.03422996,0.25729807,1.32387068,0.29056292,0.00000000
-4.68534267,1.68494844,0.00251238,0.03731619,0.26435309,1.35293942,0.29897948,0.00000000
-4.67933967,1.73875157,0.00221442,0.04113091,0.27417742,1.39265354,0.31030323,0.00000000
-4.67333667,1.80747642,0.00197046,0.04570092,0.28692304,1.44367177,0.32471684,0.00000000
-4.66733367,1.89201284,0.00177518,0.05104654,0.30274401,1.50668299,0.34240493,0.00000000
-4.66133067,1.99322708,0.00162352,0.05717964,0.32178760,1.58236790,0.36354341,0.00000000
-4.65532766,2.11190113,0.00151068,0.06410157,0.34418356,1.67135288,0.38828686,0.00000000
-4.64932466,2.24866504,0.00143217,0.07180102,0.37003205,1.77415837,0.41675445,0.00000000
-4.64332166,2.40392586,0.00138387,0.08025205,0.39939086,1.89114464,0.44901516,0.00000000
-4.63731866,2.57779729,0.00136193,0.08941221,0.43226245,2.02245780,0.48507294,0.00000000
-4.63131566,2.77003408,0.00136284,0.09922121,0.46858173,2.16797970,0.52485279,0.00000000
-4.62531266,2.97997561,0.00138330,0.10959992,0.50820518,2.32728461,0.56818859,0.00000000
-4.61930965,3.20650258,0.00142024,0.12045008,0.55090206,2.49960606,0.61481345,0.00000000
-4.61330665,3.44801045,0.00147077,0.13165468,0.59634841,2.68381638,0.66435347,0.00000000
-4.60730365,3.70240256,0.00153213,0.14307912,0.64412440,2.87842132,0.71632536,0.00000000
-4.60130065,3.96710499,0.00160166,0.15457317,0.69371541,3.08157117,0.77013869,0.00000000
-4.59529765,4.23910420,0.00167679,0.16597375,0.74451717,3.29108924,0.82510274,0.00000000
-4.58929465,4.51500748,0.00175505,0.17710841,0.79584497,3.50451768,0.88043826,0.00000000
-4.58329165,4.79112479,0.00183402,0.18779950,0.84694697,3.71917934,0.93529382,0.00000000
-4.57728864,5.06356962,0.00191142,0.19786881,0.89702105,3.93225421,0.98876635,0.00000000
-4.57128564,5.32837533,0.00198506,0.20714263,0.94523490,4.14086722,1.03992524,0.00000000
-4.56528264,5.58162219,0.00205296,0.21545687,0.99074855,4.34218416,1.08783901,0.00000000
-4.55927964,5.81956990,0.00211330,0.22266215,1.03273841,4.53351142,1.13160360,0.00000000
-4.55327664,6.03878961,0.00216453,0.22862860,1.07042201,4.71239506,1.17037105,0.00000000
-4.54727364,6.23628911,0.00220541,0.23325011,1.10308231,4.87671439,1.20337722,0.00000000
-4.54127064,6.40962510,0.00223502,0.23644796,1.13009052,5.02476532,1.22996749,0.00000000
-4.53526763,6.55699691,0.00225287,0.23817345,1.15092645,5.15532905,1.24961903,0.00000000
-4.52926463,6.67731631,0.00225887,0.23840962,1.16519557,5.26772221,1.26195874,0.00000000
-4.52326163,6.77024969,0.00225343,0.23717180,1.17264186,5.36182533,1.26677596,0.00000000
-4.51725863,6.83622967,0.00223744,0.23450713,1.17315600,5.43808749,1.26402927,0.00000000
-4.51125563,6.87643489,0.00221233,0.23049285,1.16677854,5.49750619,1.25384720,0.00000000
-4.50525263,6.89273831,0.00218008,0.22523367,1.15369781,5.54158262,1.23652269,0.00000000
-4.49924962,6.88762583,0.00214321,0.21885819,1.13424294,5.57225392,1.21250160,0.00000000
-4.49324662,6.86408873,0.00210482,0.21151462,1.10887212,5.59180505,1.18236591,0.00000000
-4.48724362,6.82549477,0.00206858,0.20336587,1.07815683,5.60276432,1.14681241,0.00000000
-4.48124062,6.77544400,0.00203875,0.19458445,1.04276273,5.60778725,1.10662782,0.00000000
-4.47523762,6.71761605,0.00202014,0.18534716,1.00342812,5.60953448,1.06266164,0.00000000
-4.46923462,6.65561642,0.00201817,0.17582996,0.96094098,5.61054960,1.01579793,0.00000000
-4.46323162,6.59282926,0.00203883,0.16620316,0.91611561,5.61314318,0.96692732,0.00000000
-4.45722861,6.53228375,0.00208873,0.15662711,0.86976968,5.61928885,0.91692034,0.00000000
-4.45122561,6.47654076,0.00217501,0.14724864,0.82270291,5.63053681,0.86660335,0.00000000
-4.44522261,6.42760508,0.00230544,0.13819809,0.77567786,5.64794948,0.81673780,0.00000000
-4.43921961,6.38686755,0.00248834,0.12958740,0.72940365,5.67206245,0.76800361,0.00000000
-4.43321661,6.35507930,0.00273256,0.12150888,0.68452295,5.70287312,0.72098710,0.00000000
-4.42721361,6.33235920,0.00304748,0.11403495,0.64160260,5.73985737,0.67617357,0.00000000
-4.42121061,6.31823318,0.00344289,0.10721856,0.60112776,5.78201358,0.63394461,0.00000000
-4.41520760,6.31170291,0.00392894,0.10109436,0.56349963,5.82793135,0.59457973,0.00000000
-4.40920460,6.31133941,0.00451601,0.09568047,0.52903628,5.87588133,0.55826191,0.00000000
-4.40320160,6.31539600,0.00521455,0.09098058,0.49797627,5.92392108,0.52508630,0.00000000
-4.39719860,6.32193397,0.00603487,0.08698646,0.47048445,5.97001101,0.49507139,0.00000000
-4.39119560,6.32895376,0.00698693,0.08368054,0.44665930,6.01213425,0.46817183,0.00000000
-4.38519260,6.33452431,0.00808004,0.08103849,0.42654132,6.04841348,0.44429195,0.00000000
-4.37918959,6.33690331,0.00932254,0.07903170,0.41012166,6.07721860,0.42329936,0.00000000
-4.37318659,6.33464209,0.01072144,0.07762952,0.39735056,6.09725925,0.40503770,0.00000000
-4.36718359,6.32666937,0.01228205,0.07680111,0.38814508,6.10765724,0.38933807,0.00000000
-4.36118059,6.31235002,0.01400754,0.07651695,0.38239564,6.10799518,0.37602866,0.00000000
-4.35517759,6.29151599,0.01589856,0.07674987,0.37997134,6.09833888,0.36494223,0.00000000
-4.34917459,6.26446848,0.01795286,0.07747569,0.38072359,6.07923271,0.35592124,0.00000000
-4.34317159,6.23195203,0.02016484,0.07867333,0.38448840,6.05166854,0.34882078,0.00000000
-4.33716858,6.19510280,0.02252532,0.08032464,0.39108720,6.01703044,0.34350932,0.00000000
-4.33116558,6.15537458,0.02502121,0.08241376,0.40032652,5.97701844,0.33986757,0.00000000
-4.32516258,6.11444738,0.02763541,0.08492631,0.41199684,5.93355614,0.33778593,0.00000000
-4.31915958,6.07412430,0.03034672,0.08784837,0.42587092,5.88868712,0.33716074,0.00000000
