energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-4.78739370,1.59854282,0.53986343,0.00000000,0.45004022,0.00000000,1.42059209,0.05063336
-4.78139070,1.52854546,0.51030950,0.00000000,0.43541924,0.00000000,1.35000531,0.04850642
-4.77538769,1.45807793,0.47983380,0.00000000,0.42125795,0.00000000,1.27772917,0.04638906
-4.76938469,1.38884012,0.44902035,0.00000000,0.40802802,0.00000000,1.20530353,0.04433450
-4.76338169,1.32244323,0.41843099,0.00000000,0.39616806,0.00000000,1.13419721,0.04239329
-4.75737869,1.26036178,0.38859075,0.00000000,0.38606859,0.00000000,1.06576779,0.04061181
-4.75137569,1.20389154,0.35997550,0.00000000,0.37805877,0.00000000,1.00122690,0.03903083
-4.74537269,1.15411508,0.33300185,0.00000000,0.37239538,0.00000000,0.94161209,0.03768441
-4.73936968,1.11187564,0.30801966,0.00000000,0.36925438,0.00000000,0.88776585,0.03659902
-4.73336668,1.07776000,0.28530726,0.00000000,0.36872539,0.00000000,0.84032199,0.03579296
-4.72736368,1.05209054,0.26506913,0.00000000,0.37080928,0.00000000,0.79969957,0.03527603
-4.72136068,1.03492651,0.24743605,0.00000000,0.37541885,0.00000000,0.76610393,0.03504955
-4.71535768,1.02607390,0.23246748,0.00000000,0.38238267,0.00000000,0.73953427,0.03510666
-4.70935468,1.02510333,0.22015568,0.00000000,0.39145186,0.00000000,0.71979727,0.03543282
-4.70335168,1.03137504,0.21043152,0.00000000,0.40230963,0.00000000,0.70652562,0.03600664
-4.69734867,1.04406989,0.20317140,0.00000000,0.41458310,0.00000000,0.69920071,0.03680085
-4.69134567,1.06222504,0.19820511,0.00000000,0.42785715,0.00000000,0.69717838,0.03778346
-4.68534267,1.08477310,0.19532418,0.00000000,0.44168967,0.00000000,0.69971677,0.03891903
-4.67933967,1.11058320,0.19429056,0.00000000,0.45562768,0.00000000,0.70600526,0.04017003
-4.67333667,1.13850268,0.19484533,0.00000000,0.46922372,0.00000000,0.71519362,0.04149825
-4.66733367,1.16739795,0.19671716,0.00000000,0.48205194,0.00000000,0.72642040,0.04286612
-4.66133067,1.19619315,0.19963049,0.00000000,0.49372313,0.00000000,0.73883989,0.04423807
-4.65532766,1.22390537,0.20331316,0.00000000,0.50389827,0.00000000,0.75164697,0.04558168
-4.64932466,1.24967538,0.20750349,0.00000000,0.51230002,0.00000000,0.76409908,0.04686877
-4.64332166,1.27279284,0.21195659,0.00000000,0.51872160,0.00000000,0.77553516,0.04807625
-4.63731866,1.29271527,0.21644998,0.00000000,0.52303283,0.00000000,0.78539081,0.04918675
-4.63131566,1.30908032,0.22078835,0.00000000,0.52518315,0.00000000,0.79320981,0.05018907
-4.62531266,1.32171100,0.22480745,0.00000000,0.52520135,0.00000000,0.79865157,0.05107835
-4.61930965,1.33061398,0.22837705,0.00000000,0.52319223,0.00000000,0.80149464,0.05185596
-4.61330665,1.33597111,0.23140301,0.00000000,0.51933036,0.00000000,0.80163641,0.05252923
-4.60730365,1.33812478,0.23382832,0.00000000,0.51385118,0.00000000,0.79908909,0.05311084
-4.60130065,1.33755781,0.23563314,0.00000000,0.50704000,0.00000000,0.79397243,0.05361814
-4.59529765,1.33486889,0.23683391,0.00000000,0.49921942,0.00000000,0.78650344,0.05407216
-4.58929465,1.33074460,0.23748146,0.00000000,0.49073567,0.00000000,0.77698370,0.05449665
-4.58329165,1.32592933,0.23765811,0.00000000,0.48194463,0.00000000,0.76578474,0.05491685
-4.57728864,1.32119424,0.23747399,0.00000000,0.47319820,0.00000000,0.75333206,0.05535843
-4.57128564,1.31730656,0.23706252,0.00000000,0.46483140,0.00000000,0.74008836,0.05584629
-4.56528264,1.31500050,0.23657513,0.00000000,0.45715102,0.00000000,0.72653665,0.05640346
-4.55927964,1.31495061,0.23617555,0.00000000,0.45042609,0.00000000,0.71316364,0.05705016
-4.55327664,1.31774871,0.23603358,0.00000000,0.44488050,0.00000000,0.70044400,0.05780292
-4.54727364,1.32388495,0.23631870,0.00000000,0.44068811,0.00000000,0.68882602,0.05867391
-4.54127064,1.33373351,0.23719360,0.00000000,0.43797025,0.00000000,0.67871888,0.05967048
-4.53526763,1.34754318,0.23880793,0.00000000,0.43679569,0.00000000,0.67048191,0.06079481
-4.52926463,1.36543286,0.24129237,0.00000000,0.43718284,0.00000000,0.66441611,0.06204390
-4.52326163,1.38739189,0.24475327,0.00000000,0.43910391,0.00000000,0.66075795,0.06340963
-4.51725863,1.41328464,0.24926814,0.00000000,0.44249071,0.00000000,0.65967559,0.06487908
-4.51125563,1.44285918,0.25488195,0.00000000,0.44724166,0.00000000,0.66126748,0.06643498
-4.50525263,1.47575922,0.26160466,0.00000000,0.45322949,0.00000000,0.66556320,0.06805634
-4.49924962,1.51153874,0.26940983,0.00000000,0.46030941,0.00000000,0.67252655,0.06971912
-4.49324662,1.54967869,0.27823465,0.00000000,0.46832713,0.00000000,0.68206048,0.07139704
-4.48724362,1.58960510,0.28798117,0.00000000,0.47712637,0.00000000,0.69401388,0.07306246
-4.48124062,1.63070786,0.29851897,0.00000000,0.48655576,0.00000000,0.70818973,0.07468718
-4.47523762,1.67235980,0.30968900,0.00000000,0.49647465,0.00000000,0.72435450,0.07624338
-4.46923462,1.71393532,0.32130861,0.00000000,0.50675778,0.00000000,0.74224837,0.07770440
