energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-1.94797399,17.27036641,0.04345502,0.15824773,0.57174576,11.23770074,1.47831029,3.66600690,0.26213139,1.84283484
-1.94197099,16.94883232,0.04421480,0.15585537,0.57178529,10.97664034,1.46179659,3.61514940,0.26306694,1.82858398
-1.93596798,16.61017540,0.04491416,0.15327959,0.57219818,10.70025847,1.44459381,3.56631152,0.26348152,1.81136136
-1.92996498,16.25817370,0.04553489,0.15057985,0.57310426,10.41206839,1.42689583,3.51937526,0.26338471,1.79153098
-1.92396198,15.89651678,0.04606029,0.14781442,0.57459792,10.11553831,1.40888148,3.47418717,0.26278631,1.76944592
-1.91795898,15.52872033,0.04647571,0.14503915,0.57674393,9.81402708,1.39071357,3.43054530,0.26169652,1.74544013
-1.91195598,15.15805558,0.04676898,0.14230631,0.57957466,9.51072680,1.37253920,3.38819186,0.26012610,1.71982267
-1.90595298,14.78749420,0.04693084,0.13966366,0.58308898,9.20861286,1.35449092,3.34681140,0.25808675,1.69287437
-1.89994997,14.41966849,0.04695513,0.13715373,0.58725262,8.91040171,1.33668857,3.30603428,0.25559138,1.66484686
-1.89394697,14.05684605,0.04683905,0.13481325,0.59200013,8.61851644,1.31924126,3.26544487,0.25265445,1.63596378
-1.88794397,13.70091795,0.04658313,0.13267288,0.59723828,8.33506004,1.30224953,3.22459386,0.24929219,1.60642382
-1.88194097,13.35339897,0.04619118,0.13075700,0.60285070,8.06179635,1.28580708,3.18301359,0.24552279,1.57640526
-1.87593797,13.01543853,0.04567010,0.12908386,0.60870362,7.80013832,1.27000233,3.14023582,0.24136644,1.54607169
-1.86993497,12.68784101,0.04502959,0.12766576,0.61465240,7.55114378,1.25491950,3.09581068,0.23684528,1.51557845
-1.86393197,12.37109407,0.04428182,0.12650956,0.62054863,7.31551837,1.24063933,3.04932605,0.23198331,1.48507944
-1.85792896,12.06540392,0.04344096,0.12561717,0.62624747,7.09362579,1.22723966,3.00042641,0.22680615,1.45473403
-1.85192596,11.77073635,0.04252277,0.12498638,0.63161491,6.88550531,1.21479578,2.94883047,0.22134084,1.42471363
-1.84592296,11.48686252,0.04154418,0.12461164,0.63653480,6.69089628,1.20338094,2.89434662,0.21561555,1.39520763
-1.83991996,11.21340823,0.04052280,0.12448503,0.64091513,6.50926950,1.19306701,2.83688589,0.20965937,1.36642857
-1.83391696,10.94990565,0.03947658,0.12459723,0.64469347,6.33986474,1.18392543,2.77647161,0.20350214,1.33861606
-1.82791396,10.69584574,0.03842344,0.12493852,0.64784130,6.18173381,1.17602846,2.71324557,0.19717431,1.31203935
-1.82191096,10.45072982,0.03738098,0.12549973,0.65036691,6.03378784,1.16945070,2.64747022,0.19070689,1.28699834
-1.81590795,10.21411842,0.03636628,0.12627309,0.65231686,5.89484749,1.16427066,2.57952682,0.18413148,1.26382269
-1.80990495,9.98567499,0.03539573,0.12725294,0.65377573,5.76369423,1.16057220,2.50990932,0.17748036,1.24286899
-1.80390195,9.76520271,0.03448487,0.12843625,0.65486423,5.63912082,1.15844557,2.43921418,0.17078651,1.22451573
-1.79789895,9.55267178,0.03364835,0.12982287,0.65573557,5.51997884,1.15798763,2.36812603,0.16408379,1.20915610
-1.79189595,9.34823563,0.03289984,0.13141549,0.65657020,5.40522129,1.15930109,2.29739975,0.15740695,1.19718856
-1.78589295,9.15223424,0.03225195,0.13321936,0.65756905,5.29393816,1.16249230,2.22783909,0.15079157,1.18900531
-1.77988994,8.96518370,0.03171618,0.13524160,0.65894554,5.18538359,1.16766763,2.16027266,0.14427400,1.18497881
-1.77388694,8.78775174,0.03130276,0.13749027,0.66091646,5.07899298,1.17492809,2.09552780,0.13789099,1.18544686
-1.76788394,8.62071959,0.03102055,0.13997316,0.66369242,4.97438970,1.18436251,2.03440326,0.13167934,1.19069650
-1.76188094,8.46493191,0.03087681,0.14269638,0.66746783,4.87138096,1.19603930,1.97764164,0.12567528,1.20094756
-1.75587794,8.32123680,0.03087702,0.14566278,0.67241126,4.76994347,1.20999731,1.92590256,0.11991377,1.21633650
-1.74987494,8.19041922,0.03102459,0.14887034,0.67865642,4.67019990,1.22623615,1.87973771,0.11442767,1.23690138
-1.74387194,8.07313152,0.03132059,0.15231065,0.68629427,4.57238787,1.24470679,1.83956878,0.10924685,1.26256880
-1.73786893,7.96982539,0.03176351,0.15596749,0.69536676,4.47682353,1.26530299,1.80566947,0.10439726,1.29314386
-1.73186593,7.88068964,0.03234900,0.15981575,0.70586259,4.38386219,1.28785440,1.77815223,0.09990002,1.32830380
-1.72586293,7.80559824,0.03306970,0.16382069,0.71771523,4.29385868,1.31212198,1.75696086,0.09577071,1.36759620
-1.71985993,7.74407260,0.03391510,0.16793763,0.73080352,4.20712997,1.33779637,1.74186918,0.09201865,1.41044220
-1.71385693,7.69526133,0.03487155,0.17211226,0.74495490,4.12392262,1.36449979,1.73248637,0.08864654,1.45614523
-1.70785393,7.65793989,0.03592235,0.17628136,0.75995119,4.04438702,1.39179154,1.72826880,0.08565027,1.50390515
-1.70185093,7.63053127,0.03704799,0.18037421,0.77553682,3.96856008,1.41917741,1.72853809,0.08301902,1.55283779
-1.69584792,7.61114761,0.03822648,0.18431437,0.79142911,3.89635740,1.44612252,1.73250484,0.08073570,1.60199921
-1.68984492,7.59765122,0.03943385,0.18802209,0.80733017,3.82757514,1.47206748,1.73929703,0.07877762,1.65041390
-1.68384192,7.58773234,0.04064475,0.19141688,0.82293978,3.76190130,1.49644678,1.74799194,0.07711746,1.69710587
-1.67783892,7.57899963,0.04183314,0.19442040,0.83796878,3.69893534,1.51870892,1.75765020,0.07572450,1.74113123
-1.67183592,7.56907853,0.04297306,0.19695943,0.85215192,3.63821455,1.53833688,1.76735038,0.07456596,1.78161074
-1.66583292,7.55571206,0.04403939,0.19896871,0.86525987,3.57924513,1.55486807,1.77622257,0.07360851,1.81776098
-1.65982991,7.53685830,0.04500867,0.20039357,0.87710940,3.52153562,1.56791251,1.78347939,0.07281980,1.84892227
-1.65382691,7.51077885,0.04585983,0.20119216,0.88757124,3.46463013,1.57716815,1.78844289,0.07216992,1.87458226
-1.64782391,7.47611323,0.04657485,0.20133717,0.89657531,3.40813914,1.58243251,1.79056621,0.07163282,1.89439369
