energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
3.79689845,1.23705735,-1.61639779,0.66878212,-0.84565900,0.03039400,-0.04309854,0.19640767,-0.24670628,0.14087438,-0.17552766,0.10006895,-0.14276722,0.00000000,-0.00000000
3.80290145,1.14713263,-1.54470028,0.62397709,-0.81354255,0.02802533,-0.04091847,0.18330790,-0.23757929,0.13187607,-0.16951168,0.09122695,-0.13417850,0.00000000,-0.00000000
3.80890445,1.05743490,-1.46631084,0.57856962,-0.77733647,0.02570635,-0.03859243,0.16995557,-0.22721449,0.12266559,-0.16257376,0.08271444,-0.12524744,0.00000000,-0.00000000
3.81490745,0.96936583,-1.38268804,0.53331966,-0.73774253,0.02347340,-0.03616330,0.15656466,-0.21581143,0.11340300,-0.15485266,0.07464541,-0.11612901,0.00000000,-0.00000000
3.82091046,0.88424365,-1.29534150,0.48895562,-0.69551006,0.02136051,-0.03367441,0.14333810,-0.20358327,0.10424305,-0.14649929,0.06712164,-0.10697407,0.00000000,-0.00000000
3.82691346,0.80328970,-1.20579510,0.44616393,-0.65141613,0.01939932,-0.03116868,0.13046422,-0.19075073,0.09533255,-0.13767252,0.06023300,-0.09792637,0.00000000,-0.00000000
3.83291646,0.72762125,-1.11555325,0.40558170,-0.60624648,0.01761911,-0.02868783,0.11811407,-0.17753628,0.08680840,-0.12853508,0.05405830,-0.08912018,0.00000000,-0.00000000
3.83891946,0.65825043,-1.02607186,0.36779273,-0.56077817,0.01604697,-0.02627181,0.10643968,-0.16415873,0.07879626,-0.11924965,0.04866661,-0.08067868,0.00000000,-0.00000000
3.84492246,0.59608844,-0.93873466,0.33332649,-0.51576442,0.01470818,-0.02395832,0.09557330,-0.15082835,0.07140988,-0.10997538,0.04411897,-0.07271298,0.00000000,-0.00000000
3.85092546,0.54195414,-0.85483579,0.30265973,-0.47192236,0.01362653,-0.02178259,0.08562743,-0.13774283,0.06475105,-0.10086493,0.04047030,-0.06532197,0.00000000,-0.00000000
3.85692846,0.49658592,-0.77556878,0.27622039,-0.42992381,0.01282478,-0.01977736,0.07669557,-0.12508407,0.05890998,-0.09206210,0.03777131,-0.05859275,0.00000000,-0.00000000
3.86293147,0.46065534,-0.70202177,0.25439300,-0.39038934,0.01232508,-0.01797293,0.06885362,-0.11301588,0.05396610,-0.08370011,0.03607038,-0.05260167,0.00000000,-0.00000000
