energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-3.14857429,2.48985383,-3.75308962,0.62502138,-1.29837984,1.92085737,-2.33415738,0.20703253,-0.35162816,0.00117620,-0.00197842,1.31316425,-2.22945154,0.00000000,-0.00000000
-3.14257129,2.45166097,-3.71347195,0.62664230,-1.27367714,1.88749067,-2.32028872,0.19573763,-0.34729409,0.00114166,-0.00198227,1.30616021,-2.20042526,0.00000000,-0.00000000
-3.13656828,2.40713348,-3.66745239,0.62631640,-1.24617506,1.84905222,-2.30358896,0.18415306,-0.34200453,0.00110431,-0.00197717,1.29522051,-2.16855515,0.00000000,-0.00000000
-3.13056528,2.35659263,-3.61537413,0.62392124,-1.21610944,1.80581864,-2.28411999,0.17243563,-0.33590362,0.00106469,-0.00196332,1.28028855,-2.13392125,0.00000000,-0.00000000
-3.12456228,2.30045157,-3.55760848,0.61938623,-1.18373235,1.75813337,-2.26194126,0.16074518,-0.32913743,0.00102335,-0.00194105,1.26137731,-2.09660706,0.00000000,-0.00000000
-3.11855928,2.23920249,-3.49456043,0.61269433,-1.14931106,1.70639712,-2.23711908,0.14924082,-0.32185025,0.00098084,-0.00191085,1.23856768,-2.05670915,0.00000000,-0.00000000
-3.11255628,2.17340344,-3.42667470,0.60388268,-1.11312731,1.65105799,-2.20973635,0.13807765,-0.31418147,0.00093767,-0.00187329,1.21200543,-2.01434693,0.00000000,-0.00000000
-3.10655328,2.10366520,-3.35444187,0.59304165,-1.07547659,1.59260132,-2.17990240,0.12740383,-0.30626314,0.00089434,-0.00182910,1.18189685,-1.96967196,0.00000000,-0.00000000
-3.10055028,2.03063863,-3.27840397,0.58031272,-1.03666748,1.53153986,-2.14776219,0.11735833,-0.29821817,0.00085130,-0.00177905,1.14850328,-1.92287620,0.00000000,-0.00000000
-3.09454727,1.95500270,-3.19915897,0.56588485,-0.99702075,1.46840426,-2.11350446,0.10806908,-0.29015930,0.00080895,-0.00172403,1.11213455,-1.87419882,0.00000000,-0.00000000
-3.08854427,1.87745361,-3.11736382,0.54998977,-0.95686818,1.40373429,-2.07736834,0.09965186,-0.28218868,0.00076764,-0.00166497,1.07314171,-1.82393098,0.00000000,-0.00000000
-3.08254127,1.79869513,-3.03373559,0.53289610,-0.91655101,1.33807090,-2.03964805,0.09220952,-0.27439812,0.00072764,-0.00160285,1.03190915,-1.77241855,0.00000000,-0.00000000
-3.07653827,1.71943025,-2.94905041,0.51490261,-0.87641788,1.27194935,-2.00069545,0.08583176,-0.26686979,0.00068922,-0.00153866,0.98884653,-1.72006230,0.00000000,-0.00000000
-3.07053527,1.64035427,-2.86414007,0.49633081,-0.83682239,1.20589350,-1.96092031,0.08059525,-0.25967735,0.00065257,-0.00147344,0.94438062,-1.66731583,0.00000000,-0.00000000
-3.06453227,1.56214923,-2.77988617,0.47751713,-0.79812006,1.14041119,-1.92078811,0.07656391,-0.25288729,0.00061784,-0.00140819,0.89894746,-1.61468094,0.00000000,-0.00000000
-3.05852926,1.48547953,-2.69721175,0.45880482,-0.76066501,1.07599092,-1.88081549,0.07378947,-0.24656049,0.00058517,-0.00134390,0.85298488,-1.56270089,0.00000000,-0.00000000
-3.05252626,1.41098855,-2.61707054,0.44053594,-0.72480617,1.01309945,-1.84156320,0.07231193,-0.24075363,0.00055469,-0.00128154,0.80692569,-1.51195156,0.00000000,-0.00000000
-3.04652326,1.33929602,-2.54043379,0.42304358,-0.69088327,0.95218044,-1.80362699,0.07216007,-0.23552068,0.00052649,-0.00122201,0.76119162,-1.46303082,0.00000000,-0.00000000
-3.04052026,1.27099582,-2.46827504,0.40664442,-0.65922266,0.89365365,-1.76762616,0.07335175,-0.23091391,0.00050069,-0.00116618,0.71618795,-1.41654648,0.00000000,-0.00000000
-3.03451726,1.20665389,-2.40155283,0.39163193,-0.63013305,0.83791474,-1.73419040,0.07589410,-0.22698481,0.00047741,-0.00111480,0.67229900,-1.37310301,0.00000000,-0.00000000
-3.02851426,1.14680589,-2.34119180,0.37827022,-0.60390124,0.78533520,-1.70394482,0.07978343,-0.22378442,0.00045678,-0.00106860,0.62988435,-1.33328752,0.00000000,-0.00000000
-3.02251126,1.09195440,-2.28806230,0.36678865,-0.58078790,0.73626221,-1.67749367,0.08500495,-0.22136325,0.00043896,-0.00102816,0.58927569,-1.29765521,0.00000000,-0.00000000
-3.01650825,1.04256540,-2.24295909,0.35737738,-0.56102351,0.69101824,-1.65540303,0.09153239,-0.21977076,0.00042413,-0.00099398,0.55077427,-1.26671473,0.00000000,-0.00000000
-3.01050525,0.99906382,-2.20657942,0.35018378,-0.54480449,0.64990009,-1.63818282,0.09932733,-0.21905428,0.00041248,-0.00096646,0.51464875,-1.24091373,0.00000000,-0.00000000
-3.00450225,0.96182826,-2.17950100,0.34530976,-0.53228939,0.61317730,-1.62626866,0.10833861,-0.21925747,0.00040423,-0.00094585,0.48113342,-1.22062504,0.00000000,-0.00000000
-2.99849925,0.93118472,-2.16216065,0.34281014,-0.52359542,0.58108977,-1.62000415,0.11850172,-0.22041836,0.00039960,-0.00093228,0.45042663,-1.20613370,0.00000000,-0.00000000
-2.99249625,0.90739969,-2.15483410,0.34269202,-0.51879515,0.55384463,-1.61962402,0.12973827,-0.22256700,0.00039881,-0.00092575,0.42268948,-1.19762537,0.00000000,-0.00000000
-2.98649325,0.89067268,-2.15761776,0.34491505,-0.51791335,0.53161240,-1.62523896,0.14195570,-0.22572295,0.00040207,-0.00092612,0.39804455,-1.19517629,0.00000000,-0.00000000
-2.98049025,0.88112868,-2.17041338,0.34939284,-0.52092426,0.51452256,-1.63682270,0.15504732,-0.22989249,0.00040957,-0.00093309,0.37657483,-1.19874537,0.00000000,-0.00000000
-2.97448724,0.87881085,-2.19291627,0.35599521,-0.52774910,0.50265883,-1.65420203,0.16889270,-0.23506604,0.00042147,-0.00094626,0.35832287,-1.20816860,0.00000000,-0.00000000
-2.96848424,0.88367397,-2.22460798,0.36455155,-0.53825401,0.49605430,-1.67705047,0.18335848,-0.24121552,0.00043788,-0.00096504,0.34329010,-1.22315615,0.00000000,-0.00000000
-2.96248124,0.89557906,-2.26475423,0.37485496,-0.55224859,0.49468687,-1.70488612,0.19829973,-0.24829223,0.00045883,-0.00098875,0.33143654,-1.24329254,0.00000000,-0.00000000
-2.95647824,0.91428978,-2.31240862,0.38666734,-0.56948508,0.49847523,-1.73707421,0.21356176,-0.25622512,0.00048429,-0.00101658,0.32268095,-1.26804003,0.00000000,-0.00000000
-2.95047524,0.93947087,-2.36642280,0.39972523,-0.58965846,0.50727581,-1.77283464,0.22898246,-0.26491969,0.00051415,-0.00104760,0.31690155,-1.29674542,0.00000000,-0.00000000
-2.94447224,0.97068911,-2.42546322,0.41374624,-0.61240756,0.52088101,-1.81125475,0.24439503,-0.27425772,0.00054821,-0.00108082,0.31393735,-1.32865036,0.00000000,-0.00000000
-2.93846923,1.00741715,-2.48803454,0.42843613,-0.63731749,0.53901893,-1.85130723,0.25963122,-0.28409778,0.00058616,-0.00111517,0.31359027,-1.36290514,0.00000000,-0.00000000
-2.93246623,1.04904018,-2.55250953,0.44349611,-0.66392338,0.56135499,-1.89187284,0.27452478,-0.29427671,0.00062761,-0.00114956,0.31562807,-1.39858574,0.00000000,-0.00000000
-2.92646323,1.09486561,-2.61716480,0.45863037,-0.69171576,0.58749545,-1.93176751,0.28891513,-0.30461209,0.00067206,-0.00118289,0.31978805,-1.43471386,0.00000000,-0.00000000
-2.92046023,1.14413563,-2.68022154,0.47355354,-0.72014752,0.61699290,-1.96977304,0.30265118,-0.31490556,0.00071895,-0.00121405,0.32578169,-1.47027954,0.00000000,-0.00000000
-2.91445723,1.19604232,-2.73989016,0.48799786,-0.74864260,0.64935379,-2.00467036,0.31559498,-0.32494701,0.00076762,-0.00124203,0.33329988,-1.50426566,0.00000000,-0.00000000
-2.90845423,1.24974493,-2.79441727,0.50171986,-0.77660617,0.68404769,-2.03527435,0.32762526,-0.33451957,0.00081737,-0.00126586,0.34201900,-1.53567372,0.00000000,-0.00000000
