energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-4.63731866,7.56542372,0.07877928,0.19557020,0.40591848,4.55624091,4.23335058,2.73394087,0.00000000
-4.63131566,7.53707321,0.07875452,0.19760887,0.39172158,4.55073621,4.22877633,2.71800472,0.00000000
-4.62531266,7.48076942,0.07832594,0.19869831,0.37650985,4.52609124,4.21006979,2.69061882,0.00000000
-4.61930965,7.39750399,0.07750396,0.19878725,0.36045470,4.48239558,4.17794245,2.65202189,0.00000000
-4.61330665,7.28878482,0.07630630,0.19784713,0.34372827,4.42008068,4.13338409,2.60265776,0.00000000
-4.60730365,7.15659205,0.07475750,0.19587261,0.32650116,4.33990731,4.07763155,2.54316311,0.00000000
-4.60130065,7.00332022,0.07288814,0.19288161,0.30894049,4.24294490,4.01212885,2.47435058,0.00000000
-4.59529765,6.83170845,0.07073390,0.18891447,0.29120803,4.13054328,3.93848003,2.39718765,0.00000000
-4.58929465,6.64476113,0.06833451,0.18403266,0.27345865,4.00429792,3.85839669,2.31277205,0.00000000
-4.58329165,6.44566231,0.06573252,0.17831672,0.25583882,3.86600959,3.77364232,2.22230459,0.00000000
-4.57728864,6.23768701,0.06297211,0.17186380,0.23848535,3.71763996,3.68597591,2.12706020,0.00000000
-4.57128564,6.02411305,0.06009784,0.16478479,0.22152425,3.56126462,3.59709736,2.02835824,0.00000000
-4.56528264,5.80813710,0.05715349,0.15720107,0.20506985,3.39902502,3.50859734,1.92753304,0.00000000
-4.55927964,5.59279816,0.05418094,0.14924119,0.18922401,3.23308118,3.42191372,1.82590569,0.00000000
-4.55327664,5.38091158,0.05121927,0.14103745,0.17407561,3.06556640,3.33829683,1.72475777,0.00000000
-4.54727364,5.17501598,0.04830396,0.13272255,0.15970021,2.89854572,3.25878488,1.62530803,0.00000000
-4.54127064,4.97733474,0.04546634,0.12442647,0.14615997,2.73397902,3.18419071,1.52869229,0.00000000
-4.53526763,4.78975294,0.04273318,0.11627353,0.13350379,2.57368988,3.11510000,1.43594728,0.00000000
-4.52926463,4.61380978,0.04012650,0.10837988,0.12176761,2.41934067,3.05188082,1.34799826,0.00000000
-4.52326163,4.45070556,0.03766363,0.10085133,0.11097508,2.27241423,2.99470334,1.26565072,0.00000000
