energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-4.79939970,1.52933243,0.08301764,0.18229764,0.00078443,0.02374227,0.26046880,1.14782135,0.25395298,0.00000000
-4.79339670,1.57000280,0.08744973,0.18596216,0.00082698,0.02507480,0.27012230,1.17689738,0.26053906,0.00000000
-4.78739370,1.60525673,0.09189220,0.18894034,0.00086657,0.02638655,0.27912513,1.20164075,0.26629414,0.00000000
-4.78139070,1.63495421,0.09635354,0.19127685,0.00090252,0.02767357,0.28745206,1.22186358,0.27123972,0.00000000
-4.77538769,1.65907760,0.10084585,0.19303608,0.00093422,0.02893329,0.29509316,1.23746867,0.27541538,0.00000000
-4.76938469,1.67772395,0.10538405,0.19429972,0.00096108,0.03016465,0.30205337,1.24844549,0.27887628,0.00000000
-4.76338169,1.69109330,0.10998477,0.19516361,0.00098261,0.03136806,0.30835168,1.25486340,0.28169011,0.00000000
-4.75737869,1.69947371,0.11466509,0.19573400,0.00099837,0.03254534,0.31402010,1.25686246,0.28393370,0.00000000
-4.75137569,1.70322397,0.11944109,0.19612342,0.00100805,0.03369965,0.31910235,1.25464264,0.28568954,0.00000000
-4.74537269,1.70275474,0.12432632,0.19644632,0.00101143,0.03483520,0.32365255,1.24845182,0.28704234,0.00000000
-4.73936968,1.69850931,0.12933029,0.19681470,0.00100840,0.03595707,0.32773384,1.23857342,0.28807581,0.00000000
-4.73336668,1.69094474,0.13445696,0.19733391,0.00099900,0.03707087,0.33141699,1.22531422,0.28886992,0.00000000
-4.72736368,1.68051432,0.13970342,0.19809877,0.00098336,0.03818237,0.33477909,1.20899281,0.28949855,0.00000000
-4.72136068,1.66765206,0.14505879,0.19919027,0.00096174,0.03929720,0.33790232,1.18992945,0.29002785,0.00000000
-4.71535768,1.65275974,0.15050339,0.20067285,0.00093452,0.04042041,0.34087269,1.16843731,0.29051509,0.00000000
-4.70935468,1.63619699,0.15600826,0.20259239,0.00090218,0.04155617,0.34377880,1.14481564,0.29100823,0.00000000
-4.70335168,1.61827446,0.16153517,0.20497507,0.00086528,0.04270741,0.34671062,1.11934484,0.29154592,0.00000000
-4.69734867,1.59925029,0.16703698,0.20782696,0.00082444,0.04387559,0.34975809,1.09228337,0.29215796,0.00000000
-4.69134567,1.57932945,0.17245849,0.21113435,0.00078035,0.04506050,0.35300965,1.06386652,0.29286610,0.00000000
-4.68534267,1.55866592,0.17773778,0.21486489,0.00073373,0.04626016,0.35655051,1.03430673,0.29368498,0.00000000
-4.67933967,1.53736716,0.18280788,0.21896928,0.00068530,0.04747080,0.36046087,1.00379513,0.29462312,0.00000000
-4.67333667,1.51550033,0.18759892,0.22338353,0.00063580,0.04868697,0.36481385,0.97250416,0.29568389,0.00000000
-4.66733367,1.49309995,0.19204048,0.22803156,0.00058592,0.04990176,0.36967348,0.94059074,0.29686627,0.00000000
-4.66133067,1.47017624,0.19606425,0.23282822,0.00053632,0.05110711,0.37509255,0.90819978,0.29816542,0.00000000
-4.65532766,1.44672392,0.19960676,0.23768230,0.00048760,0.05229422,0.38111075,0.87546773,0.29957303,0.00000000
-4.64932466,1.42273087,0.20261216,0.24249976,0.00044030,0.05345410,0.38775305,0.84252584,0.30107740,0.00000000
-4.64332166,1.39818644,0.20503495,0.24718680,0.00039488,0.05457811,0.39502863,0.80950313,0.30266351,0.00000000
