energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-4.82341171,3.20983253,0.09179456,0.05508558,1.04502934,0.81944715,0.05303710,1.53489665,0.35612750,0.23574845
-4.81740870,3.27053723,0.09439670,0.05806070,1.06497215,0.83044133,0.05400459,1.56012480,0.36962436,0.24019631
-4.81140570,3.32250147,0.09672882,0.06091392,1.08152305,0.83937460,0.05484457,1.58146445,0.38226078,0.24397716
-4.80540270,3.36419544,0.09876279,0.06359179,1.09418306,0.84588669,0.05553682,1.59817748,0.39378421,0.24699920
-4.79939970,3.39429377,0.10047921,0.06604279,1.10252978,0.84966525,0.05606517,1.60961394,0.40396090,0.24918839
-4.79339670,3.41172792,0.10186811,0.06821903,1.10623417,0.85045885,0.05641812,1.61523848,0.41258379,0.25049144
-4.78739370,3.41572822,0.10292936,0.07007777,1.10507365,0.84808740,0.05658920,1.61465207,0.41947950,0.25087799
-4.78139070,3.40585346,0.10367254,0.07158284,1.09894089,0.84244957,0.05657718,1.60760788,0.42451410,0.25034176
-4.77538769,3.38200662,0.10411638,0.07270577,1.08784787,0.83352678,0.05638601,1.59402070,0.42759738,0.24890059
-4.76938469,3.34443590,0.10428780,0.07342675,1.07192501,0.82138355,0.05602452,1.57396928,0.42868529,0.24659551
-4.76338169,3.29372119,0.10422045,0.07373514,1.05141546,0.80616438,0.05550595,1.54769175,0.42778066,0.24348865
-4.75737869,3.23074671,0.10395301,0.07362969,1.02666494,0.78808717,0.05484719,1.51557435,0.42493187,0.23966036
-4.75137569,3.15666144,0.10352712,0.07311840,0.99810755,0.76743370,0.05406799,1.47813420,0.42022984,0.23520538
-4.74537269,3.07282943,0.10298526,0.07221800,0.96624847,0.74453766,0.05318991,1.43599694,0.41380329,0.23022862
-4.73936968,2.98077260,0.10236845,0.07095314,0.93164434,0.71977088,0.05223534,1.38987071,0.40581259,0.22484042
-4.73336668,2.88210913,0.10171414,0.06935525,0.89488234,0.69352845,0.05122638,1.34051760,0.39644266,0.21915180
-4.72736368,2.77849047,0.10105422,0.06746125,0.85655899,0.66621356,0.05018385,1.28872418,0.38589501,0.21326975
-4.72136068,2.67154014,0.10041329,0.06531205,0.81725970,0.63822278,0.04912637,1.23527256,0.37437966,0.20729297
-4.71535768,2.56279723,0.09980738,0.06295100,0.77754000,0.60993242,0.04806958,1.18091328,0.36210706,0.20130817
-4.70935468,2.45366720,0.09924312,0.06042237,0.73790917,0.58168668,0.04702552,1.12634138,0.34928067,0.19538708
-4.70335168,2.34538197,0.09871735,0.05776984,0.69881699,0.55378801,0.04600224,1.07217653,0.33609028,0.18958436
