energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.05752876,4.94173349,0.00416614,1.25428337,4.43228979,1.61355421,0.01576264,1.57528515,0.83762554,0.55155920
-5.05152576,4.95603033,0.00434191,1.26557539,4.46067713,1.61424279,0.01596055,1.57413939,0.85174395,0.54807693
-5.04552276,4.97137763,0.00452714,1.27617908,4.48409040,1.61531258,0.01616916,1.57484119,0.86709994,0.54508082
-5.03951976,4.98669884,0.00471919,1.28575386,4.50168211,1.61644920,0.01638024,1.57710511,0.88334240,0.54249967
-5.03351676,5.00070589,0.00491492,1.29392945,4.51253127,1.61727284,0.01658501,1.58053300,0.90005964,0.54022838
-5.02751376,5.01193715,0.00511074,1.30031512,4.51566549,1.61734984,0.01677434,1.58462772,0.91678947,0.53813253
-5.02151076,5.01880514,0.00530268,1.30451067,4.51008818,1.61620698,0.01693906,1.58881171,0.93303177,0.53605439
-5.01550775,5.01965225,0.00548651,1.30611876,4.49481010,1.61334838,0.01707017,1.59244958,0.94826331,0.53382007
-5.00950475,5.01281265,0.00565787,1.30475819,4.46888430,1.60827422,0.01715914,1.59487370,0.96195421,0.53124753
-5.00350175,4.99667769,0.00581238,1.30007765,4.43144330,1.60050067,0.01719819,1.59541179,0.97358553,0.52815499
-4.99749875,4.96976230,0.00594578,1.29176956,4.38173680,1.58958018,0.01718057,1.59341526,0.98266727,0.52436951
-4.99149575,4.93076926,0.00605412,1.27958312,4.31916857,1.57512129,0.01710079,1.58828692,0.98875602,0.51973512
-4.98549275,4.87864848,0.00613385,1.26333628,4.24333052,1.55680699,0.01695484,1.57950692,0.99147144,0.51412035
-4.97948974,4.81264826,0.00618194,1.24292578,4.15403233,1.53441077,0.01674039,1.56665551,0.99051094,0.50742453
-4.97348674,4.73235616,0.00619606,1.21833486,4.05132498,1.50780947,0.01645685,1.54943176,0.98566163,0.49958289
-4.96748374,4.63772701,0.00617459,1.18963808,3.93551678,1.47699235,0.01610549,1.52766715,0.97680913,0.49056980
-4.96148074,4.52909667,0.00611673,1.15700303,3.80718073,1.44206558,0.01568942,1.50133345,0.96394263,0.48040040
-4.95547774,4.40718049,0.00602250,1.12068858,3.66715254,1.40325218,0.01521352,1.47054455,0.94715603,0.46913018
-4.94947474,4.27305631,0.00589278,1.08103974,3.51651906,1.36088693,0.01468436,1.43555212,0.92664490,0.45685285
-4.94347174,4.12813257,0.00572924,1.03847926,3.35659730,1.31540663,0.01411002,1.39673533,0.90269948,0.44369635
-4.93746873,3.97410294,0.00553432,0.99349613,3.18890472,1.26733607,0.01349987,1.35458526,0.87569407,0.42981738
-4.93146573,3.81288951,0.00531111,0.94663166,3.01512211,1.21727022,0.01286434,1.30968476,0.84607306,0.41539471
-4.92546273,3.64657723,0.00506327,0.89846359,2.83705031,1.16585364,0.01221462,1.26268481,0.81433460,0.40062151
-4.91945973,3.47734268,0.00479489,0.84958892,2.65656303,1.11375794,0.01156240,1.21427862,0.78101238,0.38569729
-4.91345673,3.30738060,0.00451037,0.80060634,2.47555742,1.06165844,0.01091960,1.16517475,0.74665666,0.37081969
-4.90745373,3.13883158,0.00421427,0.75209886,2.29590484,1.01021114,0.01029800,1.11607063,0.71181516,0.35617660
-4.90145073,2.97371428,0.00391117,0.70461758,2.11940376,0.96003111,0.00970906,1.06762764,0.67701498,0.34193909
-4.89544772,2.81386518,0.00360557,0.65866716,1.94773677,0.91167322,0.00916362,1.02044901,0.64274607,0.32825526
-4.88944472,2.66088835,0.00330173,0.61469362,1.78243325,0.86561618,0.00867168,0.97506140,0.60944719,0.31524555
-4.88344172,2.51611724,0.00300358,0.57307492,1.62483922,0.82225038,0.00824221,0.93190088,0.57749468,0.30299946
-4.87743872,2.38058959,0.00271469,0.53411463,1.47609504,0.78187017,0.00788300,0.89130372,0.54719457,0.29157396
-4.87143572,2.25503607,0.00243811,0.49803873,1.33712152,0.74467059,0.00760050,0.85350224,0.51877815,0.28099346
-4.86543272,2.13988222,0.00217643,0.46499568,1.20861447,0.71074856,0.00739976,0.81862536,0.49240090,0.27125132
-4.85942971,2.03526285,0.00193169,0.43505933,1.09104723,0.68010827,0.00728433,0.78670370,0.46814472,0.26231273
-4.85342671,1.94104734,0.00170544,0.40823456,0.98468044,0.65267021,0.00725622,0.75767848,0.44602307,0.25411868
-4.84742371,1.85687369,0.00149869,0.38446509,0.88957805,0.62828322,0.00731589,0.73141347,0.42598850,0.24659085
-4.84142071,1.78218915,0.00131202,0.36364287,0.80562818,0.60673871,0.00746222,0.70770913,0.40794204,0.23963692
-4.83541771,1.71629481,0.00114556,0.34561871,0.73256762,0.58778629,0.00769256,0.68631798,0.39174384,0.23315615
-4.82941471,1.65839156,0.00099909,0.33021329,0.67000826,0.57114984,0.00800275,0.66696038,0.37722440,0.22704489
-4.82341171,1.60762525,0.00087206,0.31722815,0.61746440,0.55654325,0.00838716,0.64933976,0.36419580,0.22120166
-4.81740870,1.56312868,0.00076368,0.30645614,0.57437930,0.54368500,0.00883881,0.63315664,0.35246241,0.21553160
-4.81140570,1.52405876,0.00067296,0.29769081,0.54015016,0.53231099,0.00934941,0.61812094,0.34183050,0.20995021
-4.80540270,1.48962753,0.00059877,0.29073435,0.51415033,0.52218505,0.00990951,0.60396203,0.33211652,0.20438615
-4.79939970,1.45912613,0.00053990,0.28540405,0.49574833,0.51310686,0.01050866,0.59043648,0.32315373,0.19878304
-4.79339670,1.43194126,0.00049508,0.28153676,0.48432298,0.50491700,0.01113552,0.57733323,0.31479702,0.19310039
-4.78739370,1.40756425,0.00046303,0.27899161,0.47927466,0.49749918,0.01177813,0.56447661,0.30692593,0.18731362
-4.78139070,1.38559308,0.00044248,0.27765092,0.48003251,0.49077971,0.01242410,0.55172707,0.29944592,0.18141330
-4.77538769,1.36572823,0.00043222,0.27741935,0.48605788,0.48472453,0.01306084,0.53898032,0.29228806,0.17540384
-4.76938469,1.34776320,0.00043107,0.27822161,0.49684446,0.47933410,0.01367583,0.52616499,0.28540740,0.16930160
-4.76338169,1.33157094,0.00043791,0.27999895,0.51191535,0.47463652,0.01425691,0.51323937,0.27878019,0.16313285
-4.75737869,1.31708752,0.00045168,0.28270469,0.53081804,0.47067958,0.01479252,0.50018764,0.27240036,0.15693156
-4.75137569,1.30429414,0.00047139,0.28629920,0.55311767,0.46752195,0.01527201,0.48701594,0.26627549,0.15073720
-4.74537269,1.29319879,0.00049609,0.29074447,0.57838933,0.46522422,0.01568585,0.47374859,0.26042260,0.14459282
-4.73936968,1.28381867,0.00052488,0.29599894,0.60621033,0.46384018,0.01602584,0.46042477,0.25486398,0.13854326
-4.73336668,1.27616421,0.00055691,0.30201247,0.63615277,0.46340878,0.01628536,0.44709577,0.24962339,0.13263389
-4.72736368,1.27022558,0.00059134,0.30872210,0.66777730,0.46394709,0.01645945,0.43382300,0.24472266,0.12690959
-4.72136068,1.26596222,0.00062739,0.31604858,0.70062850,0.46544474,0.01654492,0.42067671,0.24017902,0.12141421
-4.71535768,1.26329582,0.00066426,0.32389408,0.73423237,0.46785981,0.01654040,0.40773537,0.23600304,0.11619043
-4.70935468,1.26210685,0.00070120,0.33214092,0.76809612,0.47111655,0.01644630,0.39508573,0.23219748,0.11127986
-4.70335168,1.26223485,0.00073746,0.34065180,0.80171071,0.47510495,0.01626474,0.38282330,0.22875679,0.10672360
-4.69734867,1.26348215,0.00077233,0.34927113,0.83455586,0.47968201,0.01599944,0.37105320,0.22566739,0.10256283
-4.69134567,1.26562076,0.00080511,0.35782779,0.86610767,0.48467493,0.01565554,0.35989108,0.22290863,0.09883960
-4.68534267,1.26840204,0.00083515,0.36613889,0.89584844,0.48988577,0.01523938,0.34946413,0.22045429,0.09559772
-4.67933967,1.27156846,0.00086183,0.37401468,0.92327837,0.49509758,0.01475831,0.33991166,0.21827449,0.09288347
-4.67333667,1.27486687,0.00088459,0.38126410,0.94792854,0.50008159,0.01422041,0.33138554,0.21633793,0.09074627
-4.66733367,1.27806242,0.00090294,0.38770102,0.96937455,0.50460529,0.01363426,0.32404984,0.21461423,0.08923909
-4.66133067,1.28095239,0.00091647,0.39315057,0.98725018,0.50844084,0.01300870,0.31807988,0.21307631,0.08841853
-4.65532766,1.28337896,0.00092486,0.39745551,1.00126016,0.51137364,0.01235258,0.31366048,0.21170253,0.08834462
