energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-1.53376688,4.48737812,0.34788604,0.00000000,1.13592974,2.00952231,0.12497190,2.26696594
-1.52776388,4.49034384,0.34898704,0.00000000,1.12634274,1.98874502,0.11637722,2.29736793
-1.52176088,4.48053119,0.34906448,0.00000000,1.11435806,1.96338766,0.10780664,2.31950067
-1.51575788,4.45751181,0.34808183,0.00000000,1.09997973,1.93349705,0.09937179,2.33285240
-1.50975488,4.42093173,0.34600801,0.00000000,1.08320480,1.89912721,0.09117202,2.33699393
-1.50375188,4.37054722,0.34282089,0.00000000,1.06403346,1.86035059,0.08329317,2.33159954
-1.49774887,4.30626320,0.33851096,0.00000000,1.04248043,1.81727165,0.07580708,2.31646748
-1.49174587,4.22817152,0.33308488,0.00000000,1.01858687,1.77004143,0.06877166,2.29153897
-1.48574287,4.13658655,0.32656881,0.00000000,0.99243184,1.71887212,0.06223151,2.25691455
-1.47973987,4.03207558,0.31901107,0.00000000,0.96414258,1.66405017,0.05621892,2.21286689
-1.47373687,3.91548169,0.31048423,0.00000000,0.93390288,1.60594703,0.05075528,2.15984917
-1.46773387,3.78793733,0.30108616,0.00000000,0.90195882,1.54502642,0.04585262,2.09849830
-1.46173087,3.65086731,0.29094014,0.00000000,0.86862156,1.48184756,0.04151533,2.02963271
-1.45572786,3.50598044,0.28019399,0.00000000,0.83426684,1.41706377,0.03774186,1.95424455
-1.44972486,3.35525008,0.26901804,0.00000000,0.79933116,1.35141648,0.03452632,1.87348628
-1.44372186,3.20088390,0.25760226,0.00000000,0.76430489,1.28572473,0.03185996,1.78865238
-1.43771886,3.04528436,0.24615255,0.00000000,0.72972244,1.22087055,0.02973247,1.70115651
-1.43171586,2.89100137,0.23488634,0.00000000,0.69615018,1.15778110,0.02813298,1.61250519
-1.42571286,2.74067922,0.22402779,0.00000000,0.66417261,1.09740816,0.02705084,1.52426879
-1.41970985,2.59700009,0.21380276,0.00000000,0.63437741,1.04070610,0.02647617,1.43805101
-1.41370685,2.46262616,0.20443373,0.00000000,0.60734025,0.98860936,0.02640014,1.35545775
-1.40770385,2.34014275,0.19613497,0.00000000,0.58360981,0.94201024,0.02681505,1.27806641
-1.40170085,2.23200420,0.18910812,0.00000000,0.56369390,0.90173815,0.02771422,1.20739629
-1.39569785,2.14048419,0.18353821,0.00000000,0.54804704,0.86854088,0.02909178,1.14488103
-1.38969485,2.06763173,0.17959046,0.00000000,0.53706002,0.84306867,0.03094233,1.09184325
-1.38369185,2.01523362,0.17740770,0.00000000,0.53105179,0.82586130,0.03326052,1.04947192
-1.37768884,1.98478360,0.17710856,0.00000000,0.53026379,0.81733869,0.03604064,1.01880251
-1.37168584,1.97745847,0.17878636,0.00000000,0.53485675,0.81779475,0.03927622,1.00069978
-1.36568284,1.99410063,0.18250861,0.00000000,0.54490989,0.82739460,0.04295962,0.99584334
-1.35967984,2.03520652,0.18831710,0.00000000,0.56042236,0.84617462,0.04708164,1.00471545
-1.35367684,2.10092038,0.19622835,0.00000000,0.58131649,0.87404522,0.05163127,1.02759119
-1.34767384,2.19103249,0.20623438,0.00000000,0.60744257,0.91079556,0.05659536,1.06453064
-1.34167084,2.30498122,0.21830358,0.00000000,0.63858472,0.95609995,0.06195841,1.11537315
-1.33566783,2.44185835,0.23238168,0.00000000,0.67446739,1.00952535,0.06770234,1.17973366
-1.32966483,2.60041727,0.24839254,0.00000000,0.71476215,1.07053950,0.07380631,1.25700134
-1.32366183,2.77908395,0.26623886,0.00000000,0.75909427,1.13851937,0.08024652,1.34634079
-1.31765883,2.97597068,0.28580267,0.00000000,0.80704891,1.21275956,0.08699601,1.44669639
-1.31165583,3.18889293,0.30694559,0.00000000,0.85817661,1.29248056,0.09402444,1.55679999
-1.30565283,3.41538970,0.32950894,0.00000000,0.91199796,1.37683674,0.10129784,1.67518286
-1.29964982,3.65274806,0.35331385,0.00000000,0.96800749,1.46492419,0.10877844,1.80019197
-1.29364682,3.89803225,0.37816123,0.00000000,1.02567664,1.55578841,0.11642443,1.93001126
-1.28764382,4.14811807,0.40383208,0.00000000,1.08445631,1.64843221,0.12418977,2.06268794
-1.28164082,4.39973277,0.43008802,0.00000000,1.14377884,1.74182400,0.13202412,2.19616391
-1.27563782,4.64950072,0.45667231,0.00000000,1.20306004,1.83490677,0.13987282,2.32831188
-1.26963482,4.89399454,0.48331153,0.00000000,1.26170144,1.92660801,0.14767708,2.45697585
-1.26363182,5.12979148,0.50971797,0.00000000,1.31909315,2.01585086,0.15537425,2.58001481
-1.25762881,5.35353396,0.53559289,0.00000000,1.37461762,2.10156660,0.16289844,2.69534890
-1.25162581,5.56199317,0.56063073,0.00000000,1.42765464,2.18270856,0.17018129,2.80100633
-1.24562281,5.75213434,0.58452407,0.00000000,1.47758780,2.25826745,0.17715302,2.89516982
-1.23961981,5.92118170,0.60696959,0.00000000,1.52381233,2.32728788,0.18374378,2.97622088
