energy_ev,total_up,Ge_p_up,Ge_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-5.45972986,1.91843559,0.37621617,0.00000000,1.23478866,0.36026025,0.12955206,0.52617465
-5.45372686,2.14554943,0.41955742,0.00000000,1.37426688,0.40281522,0.14500745,0.58623282
-5.44772386,2.38689732,0.46562770,0.00000000,1.52172884,0.44809336,0.16131184,0.64949968
-5.44172086,2.64043318,0.51404336,0.00000000,1.67572397,0.49570746,0.17831292,0.71532098
-5.43571786,2.90367443,0.56434516,0.00000000,1.83452821,0.54518461,0.19583239,0.78292254
-5.42971486,3.17372554,0.61600295,0.00000000,1.99616545,0.59597050,0.21366827,0.85142053
-5.42371186,3.44731834,0.66842317,0.00000000,2.15843990,0.64743705,0.23159841,0.91983676
-5.41770885,3.72086901,0.72095911,0.00000000,2.31897898,0.69889328,0.24938512,0.98711889
-5.41170585,3.99055088,0.77292370,0.00000000,2.47528595,0.74959944,0.26678082,1.05216497
-5.40570285,4.25238106,0.82360452,0.00000000,2.62480082,0.79878375,0.28353449,1.11385176
-5.39969985,4.50231840,0.87228053,0.00000000,2.76496747,0.84566161,0.29939870,1.17106577
-5.39369685,4.73636930,0.91823996,0.00000000,2.89330472,0.88945627,0.31413687,1.22273590
-5.38769385,4.95069739,0.96079874,0.00000000,3.00747850,0.92942051,0.32753057,1.26786637
-5.38169085,5.14173277,0.99931859,0.00000000,3.10537224,0.96485819,0.33938628,1.30556855
-5.37568784,5.30627616,1.03322426,0.00000000,3.18515233,0.99514499,0.34954146,1.33509022
-5.36968484,5.44159367,1.06201904,0.00000000,3.24532596,1.01974734,0.35786964,1.35584097
-5.36368184,5.54549795,1.08529791,0.00000000,3.28478861,1.03823875,0.36428402,1.36741248
-5.35767884,5.61641215,1.10275800,0.00000000,3.30285914,1.05031279,0.36873970,1.36959280
-5.35167584,5.65341404,1.11420563,0.00000000,3.29930078,1.05579221,0.37123422,1.36237376
-5.34567284,5.65625840,1.11955993,0.00000000,3.27432726,1.05463372,0.37180636,1.34595137
-5.33966983,5.62537685,1.11885293,0.00000000,3.22859372,1.04692832,0.37053347,1.32071893
-5.33366683,5.56185549,1.11222602,0.00000000,3.16317314,1.03289719,0.36752726,1.28725347
-5.32766383,5.46739169,1.09992334,0.00000000,3.07951928,1.01288338,0.36292836,1.24629590
-5.32166083,5.34423231,1.08228216,0.00000000,2.97941813,0.98733970,0.35690007,1.19872606
-5.31565783,5.19509644,1.05972100,0.00000000,2.86493012,0.95681341,0.34962144,1.14553374
-5.30965483,5.02308641,1.03272600,0.00000000,2.73832582,0.92192859,0.34128016,1.08778699
-5.30365183,4.83159121,1.00183608,0.00000000,2.60201786,0.88336667,0.33206572,1.02659926
-5.29764882,4.62418640,0.96762769,0.00000000,2.45849213,0.84184636,0.32216295,0.96309669
-5.29164582,4.40453472,0.93069965,0.00000000,2.31024082,0.79810346,0.31174647,0.89838687
-5.28564282,4.17629124,0.89165860,0.00000000,2.15969985,0.75287157,0.30097617,0.83353037
-5.27963982,3.94301612,0.85110567,0.00000000,2.00919276,0.70686422,0.28999383,0.76951580
-5.27363682,3.70809782,0.80962451,0.00000000,1.86088253,0.66075907,0.27892113,0.70723937
-5.26763382,3.47468850,0.76777113,0.00000000,1.71673252,0.61518454,0.26785884,0.64748912
-5.26163082,3.24565267,0.72606546,0.00000000,1.57847686,0.57070908,0.25688725,0.59093422
-5.25562781,3.02352953,0.68498484,0.00000000,1.44760049,0.52783330,0.24606756,0.53811905
-5.24962481,2.81050854,0.64495914,0.00000000,1.32532819,0.48698481,0.23544415,0.48946195
-5.24362181,2.60841728,0.60636759,0.00000000,1.21262197,0.44851560,0.22504737,0.44525787
-5.23761881,2.41872028,0.56953687,0.00000000,1.11018550,0.41270183,0.21489666,0.40568456
-5.23161581,2.24252694,0.53474035,0.00000000,1.01847451,0.37974555,0.20500370,0.37081131
-5.22561281,2.08060688,0.50219825,0.00000000,0.93771174,0.34977802,0.19537539,0.34060969
-5.21960980,1.93341065,0.47207840,0.00000000,0.86790502,0.32286433,0.18601646,0.31496545
-5.21360680,1.80109429,0.44449752,0.00000000,0.80886757,0.29900886,0.17693151,0.29369093
-5.20760380,1.68354599,0.41952277,0.00000000,0.76023915,0.27816131,0.16812647,0.27653747
-5.20160080,1.58041377,0.39717362,0.00000000,0.72150757,0.26022299,0.15960942,0.26320725
