energy_ev,total_up,As_p_up,As_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-2.12806403,2.90628618,2.07756383,0.00000000,3.94873179,1.31628332,0.50579524,0.00000000
-2.12206103,3.00574295,2.15230910,0.00000000,4.10317996,1.37246382,0.52253867,0.00000000
-2.11605803,3.10450508,2.22646912,0.00000000,4.25887805,1.42837756,0.53873374,0.00000000
-2.11005503,3.20147711,2.29938871,0.00000000,4.41440826,1.48351174,0.55409214,0.00000000
-2.10405203,3.29553461,2.37039304,0.00000000,4.56828262,1.53732543,0.56832828,0.00000000
-2.09804902,3.38553699,2.43879020,0.00000000,4.71895465,1.58925336,0.58116649,0.00000000
-2.09204602,3.47034147,2.50387498,0.00000000,4.86483389,1.63871127,0.59234816,0.00000000
-2.08604302,3.54881883,2.56493439,0.00000000,5.00430420,1.68510317,0.60163848,0.00000000
-2.08004002,3.61987114,2.62125558,0.00000000,5.13574628,1.72783068,0.60883270,0.00000000
-2.07403702,3.68245181,2.67213640,0.00000000,5.25756492,1.76630465,0.61376191,0.00000000
-2.06803402,3.73558780,2.71689859,0.00000000,5.36822067,1.79995871,0.61629803,0.00000000
-2.06203102,3.77840367,2.75490370,0.00000000,5.46626542,1.82826468,0.61635796,0.00000000
-2.05602801,3.81014682,2.78557090,0.00000000,5.55038095,1.85074905,0.61390695,0.00000000
-2.05002501,3.83021294,2.80839635,0.00000000,5.61941878,1.86701009,0.60896081,0.00000000
-2.04402201,3.83817061,2.82297285,0.00000000,5.67243978,1.87673453,0.60158717,0.00000000
-2.03801901,3.83378368,2.82900886,0.00000000,5.70875133,1.87971299,0.59190558,0.00000000
-2.03201601,3.81703000,2.82634571,0.00000000,5.72794000,1.87585326,0.58008648,0.00000000
-2.02601301,3.78811533,2.81497169,0.00000000,5.72989765,1.86519036,0.56634904,0.00000000
-2.02001001,3.74748107,2.79503208,0.00000000,5.71483901,1.84789280,0.55095783,0.00000000
-2.01400700,3.69580482,2.76683406,0.00000000,5.68330932,1.82426428,0.53421849,0.00000000
-2.00800400,3.63399334,2.73084602,0.00000000,5.63618064,1.79474049,0.51647232,0.00000000
-2.00200100,3.56316722,2.68769065,0.00000000,5.57463650,1.75988089,0.49808998,0.00000000
