energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
3.77288644,1.71583003,0.01611213,0.52667787,0.23533914,0.12828911,0.88884803,0.79195586,0.03847176,0.17394611
3.77888944,1.74513254,0.01527854,0.53988806,0.24884508,0.12668600,0.91068518,0.80581254,0.04089109,0.17598098
3.78489245,1.76968567,0.01456403,0.55072550,0.26293130,0.12482876,0.92955684,0.81725288,0.04336121,0.17827942
3.79089545,1.78946871,0.01398667,0.55916303,0.27763699,0.12271936,0.94551215,0.82624904,0.04585236,0.18083267
3.79689845,1.80463720,0.01356322,0.56524606,0.29301360,0.12036883,0.95869501,0.83285462,0.04833626,0.18363825
3.80290145,1.81551890,0.01330897,0.56909088,0.30912216,0.11779731,0.96933706,0.83720352,0.05078631,0.18670133
3.80890445,1.82260294,0.01323747,0.57088031,0.32602968,0.11503378,0.97774725,0.83950566,0.05317787,0.19003539
3.81490745,1.82652222,0.01336030,0.57085684,0.34380474,0.11211528,0.98429842,0.84003987,0.05548848,0.19366232
3.82091046,1.82802956,0.01368683,0.56931358,0.36251232,0.10908590,0.98941129,0.83914390,0.05769821,0.19761164
3.82691346,1.82796855,0.01422387,0.56658319,0.38220809,0.10599534,0.99353670,0.83720203,0.05978984,0.20191907
3.83291646,1.82724009,0.01497545,0.56302546,0.40293226,0.10289722,0.99713666,0.83463081,0.06174913,0.20662440
3.83891946,1.82676613,0.01594243,0.55901379,0.42470335,0.09984725,1.00066508,0.83186329,0.06356494,0.21176876
3.84492246,1.82745207,0.01712225,0.55492139,0.44751215,0.09690124,1.00454906,0.82933273,0.06522934,0.21739150
3.85092546,1.83014948,0.01850861,0.55110757,0.47131616,0.09411307,1.00917146,0.82745609,0.06673759,0.22352673
3.85692846,1.83562083,0.02009130,0.54790481,0.49603484,0.09153282,1.01485561,0.82661832,0.06808805,0.23019985
3.86293147,1.84450788,0.02185605,0.54560714,0.52154611,0.08920503,1.02185272,0.82715793,0.06928198,0.23742418
3.86893447,1.85730497,0.02378451,0.54446019,0.54768421,0.08716718,1.03033269,0.82935446,0.07032331,0.24519797
3.87493747,1.87433865,0.02585436,0.54465347,0.57423937,0.08544856,1.04037854,0.83341850,0.07121824,0.25350193
