energy_ev,total_up,total_down,Bi_p_up,Bi_p_down,Bi_d_up,Bi_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.62781391,0.88433950,-0.88433951,0.03699291,-0.03699291,0.00487016,-0.00487016,0.24031208,-0.24031208,0.33433939,-0.33433939,0.00188948,-0.00188948,0.47887362,-0.47887362
-5.62181091,0.89872780,-0.89872781,0.03787900,-0.03787901,0.00504708,-0.00504708,0.24285808,-0.24285808,0.34056085,-0.34056086,0.00211437,-0.00211437,0.48641947,-0.48641948
-5.61580790,0.91825548,-0.91825550,0.03969823,-0.03969823,0.00523586,-0.00523586,0.24742789,-0.24742790,0.34884288,-0.34884289,0.00243403,-0.00243403,0.49622692,-0.49622693
-5.60980490,0.94253731,-0.94253733,0.04250225,-0.04250225,0.00543195,-0.00543195,0.25386106,-0.25386107,0.35909923,-0.35909924,0.00285664,-0.00285664,0.50802149,-0.50802151
-5.60380190,0.97127840,-0.97127843,0.04634179,-0.04634179,0.00563123,-0.00563123,0.26203047,-0.26203048,0.37127661,-0.37127662,0.00339156,-0.00339156,0.52158301,-0.52158302
-5.59779890,1.00429405,-1.00429409,0.05126520,-0.05126520,0.00583014,-0.00583014,0.27184788,-0.27184789,0.38536213,-0.38536214,0.00404915,-0.00404915,0.53675839,-0.53675840
-5.59179590,1.04152357,-1.04152361,0.05731649,-0.05731649,0.00602573,-0.00602573,0.28326766,-0.28326767,0.40138842,-0.40138843,0.00484047,-0.00484047,0.55347143,-0.55347144
-5.58579290,1.08303709,-1.08303713,0.06453288,-0.06453288,0.00621572,-0.00621572,0.29628825,-0.29628826,0.41943600,-0.41943602,0.00577691,-0.00577691,0.57172879,-0.57172882
-5.57978989,1.12903451,-1.12903456,0.07294200,-0.07294200,0.00639855,-0.00639855,0.31095130,-0.31095132,0.43963255,-0.43963257,0.00686977,-0.00686977,0.59162185,-0.59162187
-5.57378689,1.17983599,-1.17983604,0.08255875,-0.08255876,0.00657334,-0.00657334,0.32733833,-0.32733834,0.46214877,-0.46214880,0.00812971,-0.00812971,0.61332371,-0.61332374
-5.56778389,1.23586378,-1.23586384,0.09338201,-0.09338202,0.00673988,-0.00673988,0.34556478,-0.34556480,0.48719072,-0.48719074,0.00956620,-0.00956620,0.63708155,-0.63708158
-5.56178089,1.29761570,-1.29761577,0.10539129,-0.10539130,0.00689850,-0.00689850,0.36577171,-0.36577173,0.51498868,-0.51498871,0.01118685,-0.01118685,0.66320384,-0.66320387
-5.55577789,1.36563075,-1.36563082,0.11854359,-0.11854360,0.00705005,-0.00705005,0.38811505,-0.38811507,0.54578290,-0.54578294,0.01299680,-0.01299680,0.69204305,-0.69204309
-5.54977489,1.44044808,-1.44044816,0.13277056,-0.13277057,0.00719570,-0.00719570,0.41275300,-0.41275303,0.57980645,-0.57980649,0.01499802,-0.01499802,0.72397399,-0.72397404
-5.54377189,1.52256081,-1.52256090,0.14797625,-0.14797626,0.00733688,-0.00733688,0.43983180,-0.43983183,0.61726596,-0.61726600,0.01718869,-0.01718869,0.75936876,-0.75936880
-5.53776888,1.61236663,-1.61236673,0.16403559,-0.16403560,0.00747502,-0.00747502,0.46947041,-0.46947044,0.65832101,-0.65832106,0.01956260,-0.01956261,0.79856901,-0.79856906
-5.53176588,1.71011745,-1.71011756,0.18079385,-0.18079386,0.00761153,-0.00761153,0.50174489,-0.50174493,0.70306313,-0.70306319,0.02210867,-0.02210868,0.84185695,-0.84185701
-5.52576288,1.81587064,-1.81587077,0.19806707,-0.19806708,0.00774752,-0.00774752,0.53667314,-0.53667318,0.75149540,-0.75149545,0.02481057,-0.02481057,0.88942621,-0.88942628
-5.51975988,1.92944455,-1.92944468,0.21564380,-0.21564381,0.00788377,-0.00788377,0.57420065,-0.57420069,0.80351385,-0.80351391,0.02764647,-0.02764647,0.94135419,-0.94135425
-5.51375688,2.05038077,-2.05038091,0.23328798,-0.23328799,0.00802053,-0.00802054,0.61418829,-0.61418833,0.85889184,-0.85889190,0.03058905,-0.03058906,0.99757723,-0.99757730
-5.50775388,2.17791592,-2.17791607,0.25074312,-0.25074313,0.00815752,-0.00815752,0.65640274,-0.65640278,0.91726831,-0.91726838,0.03360567,-0.03360568,1.05787029,-1.05787037
-5.50175088,2.31096491,-2.31096506,0.26773758,-0.26773759,0.00829377,-0.00829377,0.70051034,-0.70051039,0.97814109,-0.97814116,0.03665872,-0.03665872,1.12183231,-1.12183239
-5.49574787,2.44811752,-2.44811768,0.28399095,-0.28399096,0.00842770,-0.00842770,0.74607494,-0.74607499,1.04086585,-1.04086592,0.03970626,-0.03970626,1.18887848,-1.18887856
-5.48974487,2.58764958,-2.58764974,0.29922119,-0.29922120,0.00855706,-0.00855706,0.79256010,-0.79256015,1.10466134,-1.10466141,0.04270287,-0.04270287,1.25824034,-1.25824043
-5.48374187,2.72754908,-2.72754924,0.31315236,-0.31315237,0.00867903,-0.00867903,0.83933608,-0.83933613,1.16862114,-1.16862121,0.04560067,-0.04560068,1.32897423,-1.32897432
-5.47773887,2.86555718,-2.86555734,0.32552262,-0.32552263,0.00879028,-0.00879028,0.88569136,-0.88569141,1.23173178,-1.23173186,0.04835057,-0.04835058,1.39997821,-1.39997829
-5.47173587,2.99922294,-2.99922309,0.33609218,-0.33609218,0.00888711,-0.00888711,0.93084871,-0.93084876,1.29289690,-1.29289697,0.05090357,-0.05090358,1.47001718,-1.47001726
-5.46573287,3.12597014,-3.12597028,0.34465078,-0.34465079,0.00896559,-0.00896559,0.97398525,-0.97398530,1.35096661,-1.35096668,0.05321223,-0.05321223,1.53775552,-1.53775560
-5.45972986,3.24317360,-3.24317374,0.35102454,-0.35102454,0.00902171,-0.00902172,1.01425574,-1.01425579,1.40477109,-1.40477115,0.05523208,-0.05523208,1.60179601,-1.60179608
-5.45372686,3.34824205,-3.34824217,0.35508159,-0.35508160,0.00905157,-0.00905157,1.05081834,-1.05081838,1.45315696,-1.45315702,0.05692309,-0.05692309,1.66072357,-1.66072364
-5.44772386,3.43870390,-3.43870400,0.35673653,-0.35673653,0.00905153,-0.00905153,1.08286167,-1.08286170,1.49502503,-1.49502508,0.05825097,-0.05825097,1.71315201,-1.71315206
-5.44172086,3.51229219,-3.51229227,0.35595325,-0.35595325,0.00901838,-0.00901838,1.10963207,-1.10963210,1.52936767,-1.52936771,0.05918828,-0.05918828,1.75777161,-1.75777166
-5.43571786,3.56702487,-3.56702493,0.35274612,-0.35274612,0.00894951,-0.00894951,1.13045979,-1.13045981,1.55530410,-1.55530413,0.05971544,-0.05971544,1.79339557,-1.79339561
-5.42971486,3.60127662,-3.60127666,0.34717945,-0.34717945,0.00884301,-0.00884301,1.14478290,-1.14478291,1.57211206,-1.57211208,0.05982138,-0.05982137,1.81900297,-1.81900299
-5.42371186,3.61383885,-3.61383887,0.33936522,-0.33936522,0.00869779,-0.00869779,1.15216784,-1.15216784,1.57925426,-1.57925427,0.05950390,-0.05950389,1.83377633,-1.83377635
-5.41770885,3.60396516,-3.60396515,0.32945929,-0.32945928,0.00851361,-0.00851361,1.15232560,-1.15232560,1.57639839,-1.57639839,0.05876979,-0.05876979,1.83713208,-1.83713208
-5.41170585,3.57139997,-3.57139994,0.31765607,-0.31765607,0.00829115,-0.00829115,1.14512278,-1.14512278,1.56342980,-1.56342979,0.05763458,-0.05763458,1.82874226,-1.82874224
-5.40570285,3.51638924,-3.51638919,0.30418221,-0.30418221,0.00803197,-0.00803197,1.13058702,-1.13058701,1.54045618,-1.54045616,0.05612196,-0.05612195,1.80854675,-1.80854673
-5.39969985,3.43967266,-3.43967258,0.28928926,-0.28928925,0.00773848,-0.00773848,1.10890651,-1.10890649,1.50780417,-1.50780414,0.05426299,-0.05426299,1.77675537,-1.77675533
-5.39369685,3.34245808,-3.34245798,0.27324587,-0.27324586,0.00741387,-0.00741387,1.08042372,-1.08042369,1.46600800,-1.46600796,0.05209504,-0.05209504,1.73383980,-1.73383975
-5.38769385,3.22637940,-3.22637928,0.25632980,-0.25632978,0.00706200,-0.00706200,1.04562366,-1.04562363,1.41579091,-1.41579086,0.04966053,-0.04966053,1.68051605,-1.68051599
-5.38169085,3.09344016,-3.09344002,0.23882003,-0.23882002,0.00668727,-0.00668727,1.00511727,-1.00511723,1.35804015,-1.35804009,0.04700556,-0.04700556,1.61771823,-1.61771816
-5.37568784,2.94594570,-2.94594555,0.22098936,-0.22098935,0.00629447,-0.00629447,0.95962076,-0.95962071,1.29377698,-1.29377691,0.04417845,-0.04417845,1.54656518,-1.54656510
-5.36968484,2.78642708,-2.78642692,0.20309764,-0.20309763,0.00588867,-0.00588867,0.90993197,-0.90993192,1.22412291,-1.22412284,0.04122834,-0.04122833,1.46832149,-1.46832140
-5.36368184,2.61756040,-2.61756023,0.18538606,-0.18538605,0.00547502,-0.00547502,0.85690485,-0.85690479,1.15026403,-1.15026396,0.03820374,-0.03820373,1.38435504,-1.38435495
-5.35767884,2.44208509,-2.44208491,0.16807242,-0.16807241,0.00505864,-0.00505864,0.80142317,-0.80142311,1.07341472,-1.07341465,0.03515129,-0.03515129,1.29609283,-1.29609274
-5.35167584,2.26272468,-2.26272450,0.15134769,-0.15134767,0.00464445,-0.00464445,0.74437475,-0.74437469,0.99478255,-0.99478247,0.03211463,-0.03211463,1.20497718,-1.20497709
-5.34567284,2.08211325,-2.08211307,0.13537374,-0.13537373,0.00423706,-0.00423706,0.68662709,-0.68662703,0.91553560,-0.91553552,0.02913344,-0.02913344,1.11242417,-1.11242408
-5.33966983,1.90273014,-1.90272996,0.12028237,-0.12028236,0.00384068,-0.00384068,0.62900553,-0.62900547,0.83677356,-0.83677348,0.02624272,-0.02624272,1.01978589,-1.01978580
-5.33366683,1.72684525,-1.72684508,0.10617541,-0.10617540,0.00345903,-0.00345903,0.57227457,-0.57227451,0.75950335,-0.75950327,0.02347230,-0.02347230,0.92831784,-0.92831775
-5.32766383,1.55647616,-1.55647599,0.09312590,-0.09312589,0.00309528,-0.00309528,0.51712298,-0.51712292,0.68462009,-0.68462001,0.02084656,-0.02084655,0.83915246,-0.83915237
-5.32166083,1.39335801,-1.39335785,0.08118016,-0.08118015,0.00275201,-0.00275201,0.46415292,-0.46415287,0.61289369,-0.61289362,0.01838431,-0.01838431,0.75327938,-0.75327929
-5.31565783,1.23892623,-1.23892608,0.07036055,-0.07036054,0.00243123,-0.00243123,0.41387339,-0.41387334,0.54496115,-0.54496108,0.01609900,-0.01609900,0.67153265,-0.67153257
-5.30965483,1.09431158,-1.09431143,0.06066880,-0.06066880,0.00213436,-0.00213436,0.36669762,-0.36669758,0.48132422,-0.48132415,0.01399894,-0.01399894,0.59458479,-0.59458471
-5.30365183,0.96034646,-0.96034633,0.05208969,-0.05208968,0.00186228,-0.00186228,0.32294446,-0.32294441,0.42235223,-0.42235217,0.01208773,-0.01208773,0.52294716,-0.52294709
-5.29764882,0.83758117,-0.83758105,0.04459488,-0.04459488,0.00161535,-0.00161535,0.28284297,-0.28284293,0.36828917,-0.36828911,0.01036483,-0.01036483,0.45697615,-0.45697609
-5.29164582,0.72630819,-0.72630808,0.03814685,-0.03814684,0.00139351,-0.00139351,0.24653998,-0.24653994,0.31926440,-0.31926436,0.00882611,-0.00882610,0.39688402,-0.39688396
-5.28564282,0.62659263,-0.62659253,0.03270261,-0.03270261,0.00119632,-0.00119632,0.21410974,-0.21410971,0.27530615,-0.27530611,0.00746449,-0.00746448,0.34275354,-0.34275349
-5.27963982,0.53830685,-0.53830677,0.02821730,-0.02821730,0.00102304,-0.00102304,0.18556513,-0.18556511,0.23635676,-0.23635672,0.00627059,-0.00627059,0.29455541,-0.29455536
-5.27363682,0.46116731,-0.46116724,0.02464734,-0.02464734,0.00087270,-0.00087270,0.16086971,-0.16086968,0.20228902,-0.20228898,0.00523337,-0.00523337,0.25216708,-0.25216704
-5.26763382,0.39477169,-0.39477163,0.02195327,-0.02195326,0.00074415,-0.00074415,0.13994988,-0.13994986,0.17292264,-0.17292262,0.00434063,-0.00434063,0.21539234,-0.21539230
-5.26163082,0.33863484,-0.33863479,0.02010203,-0.02010203,0.00063619,-0.00063619,0.12270673,-0.12270671,0.14804023,-0.14804020,0.00357963,-0.00357963,0.18398043,-0.18398040
-5.25562781,0.29222203,-0.29222198,0.01906890,-0.01906890,0.00054756,-0.00054756,0.10902690,-0.10902689,0.12740204,-0.12740202,0.00293750,-0.00293750,0.15764408,-0.15764405
-5.24962481,0.25497850,-0.25497847,0.01883871,-0.01883871,0.00047704,-0.00047704,0.09879211,-0.09879210,0.11075926,-0.11075925,0.00240162,-0.00240162,0.13607574,-0.13607572
-5.24362181,0.22635452,-0.22635450,0.01940675,-0.01940675,0.00042349,-0.00042349,0.09188693,-0.09188692,0.09786522,-0.09786521,0.00195998,-0.00195998,0.11896157,-0.11896156
-5.23761881,0.20582535,-0.20582533,0.02077896,-0.02077897,0.00038585,-0.00038585,0.08820474,-0.08820474,0.08848449,-0.08848448,0.00160139,-0.00160138,0.10599289,-0.10599288
-5.23161581,0.19290597,-0.19290596,0.02297179,-0.02297179,0.00036324,-0.00036324,0.08765156,-0.08765156,0.08239972,-0.08239971,0.00131567,-0.00131567,0.09687488,-0.09687487
-5.22561281,0.18716061,-0.18716060,0.02601141,-0.02601141,0.00035487,-0.00035487,0.09014778,-0.09014778,0.07941616,-0.07941615,0.00109381,-0.00109381,0.09133259,-0.09133258
-5.21960980,0.18820717,-0.18820717,0.02993259,-0.02993259,0.00036016,-0.00036016,0.09562796,-0.09562797,0.07936407,-0.07936407,0.00092797,-0.00092797,0.08911432,-0.08911432
-5.21360680,0.19571713,-0.19571714,0.03477706,-0.03477707,0.00037866,-0.00037866,0.10403866,-0.10403867,0.08209917,-0.08209917,0.00081159,-0.00081159,0.08999262,-0.08999262
-5.20760380,0.20941133,-0.20941134,0.04059156,-0.04059157,0.00041007,-0.00041007,0.11533463,-0.11533464,0.08750124,-0.08750124,0.00073933,-0.00073933,0.09376318,-0.09376318
-5.20160080,0.22905245,-0.22905247,0.04742547,-0.04742548,0.00045424,-0.00045424,0.12947365,-0.12947367,0.09547140,-0.09547141,0.00070705,-0.00070705,0.10024200,-0.10024201
-5.19559780,0.25443485,-0.25443487,0.05532823,-0.05532824,0.00051111,-0.00051111,0.14641035,-0.14641037,0.10592818,-0.10592819,0.00071180,-0.00071180,0.10926129,-0.10926130
-5.18959480,0.28537261,-0.28537264,0.06434651,-0.06434652,0.00058075,-0.00058075,0.16608932,-0.16608934,0.11880279,-0.11880280,0.00075169,-0.00075169,0.12066445,-0.12066446
-5.18359180,0.32168668,-0.32168671,0.07452130,-0.07452131,0.00066325,-0.00066325,0.18843806,-0.18843808,0.13403396,-0.13403398,0.00082589,-0.00082589,0.13430066,-0.13430067
-5.17758879,0.36319177,-0.36319181,0.08588490,-0.08588491,0.00075878,-0.00075878,0.21336013,-0.21336016,0.15156268,-0.15156269,0.00093449,-0.00093449,0.15001950,-0.15001952
