energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-4.34317159,5.57408042,-5.57408855,0.07535872,-0.07535862,0.35496161,-0.35496247,1.23282558,-1.23282682,1.93787151,-1.93787644,0.10714651,-0.10714649,2.78040993,-2.78041277,0.18651808,-0.18651820,0.05280607,-0.05280612
-4.33716858,5.77819299,-5.77820138,0.07428092,-0.07428083,0.37022017,-0.37022110,1.28034372,-1.28034494,2.02689891,-2.02690403,0.10868761,-0.10868760,2.87241696,-2.87241978,0.19178608,-0.19178617,0.05458563,-0.05458568
-4.33116558,5.97892884,-5.97893731,0.07333917,-0.07333909,0.38648456,-0.38648555,1.32582196,-1.32582314,2.11691850,-2.11692373,0.11032255,-0.11032255,2.95962965,-2.95963238,0.19627376,-0.19627384,0.05636981,-0.05636987
-4.32516258,6.17202802,-6.17203641,0.07248489,-0.07248483,0.40332339,-0.40332440,1.36840586,-1.36840698,2.20622663,-2.20623189,0.11197157,-0.11197157,3.04027171,-3.04027430,0.19987086,-0.19987092,0.05811993,-0.05811999
-4.31915958,6.35357840,-6.35358654,0.07167040,-0.07167035,0.42029368,-0.42029470,1.40735841,-1.40735946,2.29318433,-2.29318952,0.11355735,-0.11355736,3.11282765,-3.11283003,0.20248746,-0.20248749,0.05980172,-0.05980177
-4.31315658,6.52009696,-6.52010470,0.07085039,-0.07085035,0.43695069,-0.43695169,1.44207441,-1.44207536,2.37625038,-2.37625543,0.11500701,-0.11500702,3.17607380,-3.17607595,0.20405633,-0.20405634,0.06138565,-0.06138571
-4.30715358,6.66859716,-6.66860435,0.06998321,-0.06998318,0.45285824,-0.45285920,1.47209064,-1.47209150,2.45401228,-2.45401710,0.11625379,-0.11625381,3.22909880,-3.22910067,0.20453454,-0.20453452,0.06284711,-0.06284716
-4.30115058,6.79664052,-6.79664704,0.06903193,-0.06903190,0.46759935,-0.46760025,1.49709165,-1.49709239,2.52521415,-2.52521867,0.11723845,-0.11723846,3.27131261,-3.27131417,0.20390426,-0.20390421,0.06416626,-0.06416631
-4.29514757,6.90237132,-6.90237707,0.06796513,-0.06796510,0.48078697,-0.48078778,1.51691089,-1.51691152,2.58878080,-2.58878494,0.11791026,-0.11791027,3.30244430,-3.30244553,0.20217290,-0.20217283,0.06532792,-0.06532797
-4.28914457,6.98453406,-6.98453896,0.06675750,-0.06675747,0.49207423,-0.49207493,1.53152748,-1.53152799,2.64383731,-2.64384102,0.11822775,-0.11822775,3.32252896,-3.32252987,0.19937235,-0.19937225,0.06632117,-0.06632121
-4.28314157,7.04247385,-7.04247783,0.06539017,-0.06539014,0.50116417,-0.50116474,1.54105882,-1.54105922,2.68972370,-2.68972693,0.11815906,-0.11815905,3.33188490,-3.33188547,0.19555758,-0.19555745,0.06713889,-0.06713892
-4.27713857,7.07612080,-7.07612383,0.06385087,-0.06385084,0.50781833,-0.50781876,1.54574954,-1.54574984,2.72600424,-2.72600695,0.11768201,-0.11768200,3.33108240,-3.33108265,0.19080455,-0.19080440,0.06777724,-0.06777727
-4.27113557,7.08595994,-7.08596200,0.06213385,-0.06213382,0.51186410,-0.51186439,1.54595748,-1.54595770,2.75247130,-2.75247346,0.11678395,-0.11678393,3.32090611,-3.32090605,0.18520761,-0.18520744,0.06823510,-0.06823513
-4.26513257,7.07298859,-7.07298969,0.06023968,-0.06023965,0.51320040,-0.51320054,1.54213741,-1.54213756,2.76914378,-2.76914538,0.11546129,-0.11546126,3.30231294,-3.30231260,0.17887644,-0.17887625,0.06851351,-0.06851353
-4.25912956,7.03866363,-7.03866379,0.05817484,-0.05817481,0.51180144,-0.51180143,1.53482326,-1.53482334,2.77626026,-2.77626130,0.11371889,-0.11371885,3.27638770,-3.27638710,0.17193268,-0.17193248,0.06861509,-0.06861511
-4.25312656,6.98484104,-6.98484032,0.05595123,-0.05595119,0.50771854,-0.50771838,1.52460969,-1.52460973,2.77426728,-2.77426777,0.11156934,-0.11156929,3.24429855,-3.24429773,0.16450648,-0.16450627,0.06854365,-0.06854367
-4.24712356,6.91371043,-6.91370891,0.05358550,-0.05358546,0.50107972,-0.50107942,1.51213374,-1.51213376,2.76380310,-2.76380306,0.10903207,-0.10903201,3.20725423,-3.20725321,0.15673291,-0.15673269,0.06830377,-0.06830378
-4.24112056,6.82772682,-6.82772457,0.05109837,-0.05109833,0.49208715,-0.49208672,1.49805721,-1.49805723,2.74567764,-2.74567712,0.10613241,-0.10613235,3.16646474,-3.16646356,0.14874852,-0.14874831,0.06790055,-0.06790055
-4.23511756,6.72954190,-6.72953904,0.04851381,-0.04851377,0.48101249,-0.48101194,1.48305025,-1.48305029,2.72084917,-2.72084822,0.10290066,-0.10290058,3.12310673,-3.12310543,0.14068816,-0.14068794,0.06733948,-0.06733947
-4.22911456,6.62193678,-6.62193341,0.04585824,-0.04585820,0.46819022,-0.46818958,1.46777661,-1.46777669,2.69039840,-2.69039708,0.09937109,-0.09937100,3.07829460,-3.07829322,0.13268193,-0.13268173,0.06662636,-0.06662635
-4.22311156,6.50775748,-6.50775374,0.04315961,-0.04315956,0.45400931,-0.45400860,1.45288067,-1.45288081,2.65550076,-2.65549913,0.09558101,-0.09558091,3.03305766,-3.03305623,0.12485269,-0.12485249,0.06576744,-0.06576743
-4.21710855,6.38985454,-6.38985056,0.04044658,-0.04044654,0.43890326,-0.43890250,1.43897643,-1.43897665,2.61739747,-2.61739560,0.09156990,-0.09156980,2.98832345,-2.98832200,0.11731378,-0.11731359,0.06476948,-0.06476946
-4.21110555,6.27102725,-6.27102316,0.03774769,-0.03774765,0.42333905,-0.42333827,1.42663828,-1.42663859,2.57736612,-2.57736409,0.08737855,-0.08737844,2.94490692,-2.94490548,0.11016732,-0.11016715,0.06364001,-0.06363999
-4.20510255,6.15397294,-6.15396887,0.03509053,-0.03509048,0.40780523,-0.40780447,1.41639337,-1.41639380,2.53669134,-2.53668924,0.08304829,-0.08304818,2.90350482,-2.90350342,0.10350285,-0.10350270,0.06238752,-0.06238750
-4.19909955,6.04124150,-6.04123759,0.03250103,-0.03250099,0.39279955,-0.39279883,1.40871548,-1.40871604,2.49663625,-2.49663414,0.07862028,-0.07862016,2.86469447,-2.86469314,0.09739644,-0.09739631,0.06102170,-0.06102167
-4.19309655,5.93519502,-5.93519138,0.03000282,-0.03000278,0.37881647,-0.37881581,1.40401988,-1.40402059,2.45841498,-2.45841295,0.07413489,-0.07413477,2.82893596,-2.82893472,0.09191015,-0.09191004,0.05955361,-0.05955358
-4.18709355,5.83797226,-5.83796903,0.02761669,-0.02761666,0.36633489,-0.36633432,1.40265907,-1.40265993,2.42316708,-2.42316520,0.06963114,-0.06963102,2.79657680,-2.79657567,0.08709191,-0.08709182,0.05799581,-0.05799577
-4.18109055,5.75145802,-5.75145530,0.02536016,-0.02536012,0.35580654,-0.35580609,1.40491910,-1.40492012,2.39193397,-2.39193231,0.06514623,-0.06514611,2.76785814,-2.76785713,0.08297565,-0.08297560,0.05636238,-0.05636234
