energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-2.03801901,5.41944007,0.00249430,0.22628977,0.22880510,0.00000000,0.82893017,4.03055545,0.01514744,1.49435782
-2.03201601,5.46846732,0.00253789,0.22728135,0.22691454,0.00000000,0.83326936,4.07016160,0.01513784,1.51136937
-2.02601301,5.49752023,0.00256505,0.22747016,0.22465354,0.00000000,0.83351436,4.09543885,0.01506544,1.52257087
-2.02001001,5.50681950,0.00257520,0.22684444,0.22205021,0.00000000,0.82967926,4.10656651,0.01492699,1.52800676
-2.01400700,5.49697320,0.00256811,0.22540531,0.21913566,0.00000000,0.82186127,4.10400065,0.01472050,1.52783916
-2.00800400,5.46895026,0.00254386,0.22316763,0.21594216,0.00000000,0.81023676,4.08845441,0.01444536,1.52233913
-2.00200100,5.42404195,0.00250291,0.22016020,0.21250174,0.00000000,0.79505495,4.06086960,0.01410243,1.51187436
-1.99599800,5.36381252,0.00244602,0.21642549,0.20884494,0.00000000,0.77662930,4.02238053,0.01369402,1.49689362
-1.98999500,5.29004112,0.00237428,0.21201867,0.20499983,0.00000000,0.75532714,3.97427149,0.01322388,1.47790887
-1.98399200,5.20465735,0.00228905,0.20700617,0.20099152,0.00000000,0.73155783,3.91792975,0.01269706,1.45547549
-1.97798899,5.10967315,0.00219190,0.20146361,0.19684178,0.00000000,0.70575997,3.85479594,0.01211987,1.43017176
-1.97198599,5.00711412,0.00208460,0.19547349,0.19256915,0.00000000,0.67838822,3.78631423,0.01149956,1.40257825
-1.96598299,4.89895318,0.00196904,0.18912242,0.18818920,0.00000000,0.64990021,3.71388437,0.01084424,1.37325828
-1.95997999,4.78704968,0.00184718,0.18249838,0.18371511,0.00000000,0.62074409,3.63881779,0.01016252,1.34274008
-1.95397699,4.67309636,0.00172101,0.17568785,0.17915832,0.00000000,0.59134717,3.56229964,0.00946333,1.31150149
-1.94797399,4.55857653,0.00159246,0.16877322,0.17452934,0.00000000,0.56210611,3.48535851,0.00875562,1.27995789
-1.94197099,4.44473301,0.00146339,0.16183036,0.16983860,0.00000000,0.53337886,3.40884481,0.00804812,1.24845373
-1.93596798,4.33254994,0.00133552,0.15492671,0.16509718,0.00000000,0.50547870,3.33341864,0.00734911,1.21725783
-1.92996498,4.22274758,0.00121041,0.14811978,0.16031749,0.00000000,0.47867034,3.25954737,0.00666624,1.18656273
-1.92396198,4.11578986,0.00108945,0.14145622,0.15551384,0.00000000,0.45316824,3.18751244,0.00600632,1.15648768
-1.91795898,4.01190349,0.00097380,0.13497146,0.15070269,0.00000000,0.42913682,3.11742468,0.00537524,1.12708503
-1.91195598,3.91110694,0.00086439,0.12868985,0.14590281,0.00000000,0.40669262,3.04924676,0.00477785,1.09834959
-1.90595298,3.81324727,0.00076196,0.12262537,0.14113511,0.00000000,0.38590782,2.98282127,0.00421797,1.07023002
-1.89994997,3.71804212,0.00066700,0.11678270,0.13642231,0.00000000,0.36681509,2.91790238,0.00369835,1.04264181
