energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-2.06203102,2.96309805,1.11176824,1.27370130,1.48704900,0.00197403,0.01423470,0.59762609
-2.05602801,2.98106600,1.12538799,1.26880664,1.50306267,0.00195800,0.01448486,0.60435753
-2.05002501,3.00523107,1.14208205,1.26808210,1.51984505,0.00194567,0.01477862,0.61304487
-2.04402201,3.03482827,1.16143568,1.27155525,1.53666582,0.00193622,0.01511287,0.62344576
-2.03801901,3.06896823,1.18304353,1.27912902,1.55280062,0.00192877,0.01548355,0.63531749
-2.03201601,3.10667156,1.20652160,1.29059012,1.56755691,0.00192242,0.01588582,0.64842418
-2.02601301,3.14690385,1.23151682,1.30562013,1.58029798,0.00191627,0.01631409,0.66254262
-2.02001001,3.18860903,1.25771333,1.32380873,1.59046364,0.00190946,0.01676217,0.67746641
-2.01400700,3.23073917,1.28483518,1.34466805,1.59758667,0.00190118,0.01722335,0.69300809
-2.00800400,3.27227950,1.31264489,1.36764755,1.60130411,0.00189074,0.01769058,0.70899915
-2.00200100,3.31226730,1.34093805,1.39214870,1.60136302,0.00187752,0.01815653,0.72528798
-1.99599800,3.34980451,1.36953433,1.41753906,1.59762065,0.00186105,0.01861373,0.74173584
-1.98999500,3.38406395,1.39826546,1.44316534,1.59003918,0.00184097,0.01905467,0.75821137
-1.98399200,3.41428990,1.42696114,1.46836538,1.57867567,0.00181704,0.01947188,0.77458395
-1.97798899,3.43979404,1.45543407,1.49247896,1.56366817,0.00178914,0.01985806,0.79071657
-1.97198599,3.45994822,1.48346535,1.51485760,1.54521905,0.00175726,0.02020616,0.80645895
-1.96598299,3.47417563,1.51079159,1.53487347,1.52357679,0.00172149,0.02050946,0.82164136
-1.95997999,3.48194209,1.53709493,1.55192772,1.49901760,0.00168201,0.02076170,0.83607000
-1.95397699,3.48274907,1.56199728,1.56545847,1.47182801,0.00163906,0.02095716,0.84952431
-1.94797399,3.47612981,1.58505937,1.57494861,1.44228971,0.00159292,0.02109079,0.86175680
-1.94197099,3.46164963,1.60578547,1.57993359,1.41066745,0.00154393,0.02115830,0.87249551
-1.93596798,3.43891086,1.62363371,1.58000927,1.37720067,0.00149244,0.02115633,0.88144927
-1.92996498,3.40756287,1.63803191,1.57483976,1.34209930,0.00143883,0.02108257,0.88831564
-1.92396198,3.36731645,1.64839836,1.56416501,1.30554374,0.00138346,0.02093585,0.89279114
-1.91795898,3.31796214,1.65416641,1.54780807,1.26768869,0.00132671,0.02071632,0.89458339
-1.91195598,3.25939100,1.65481178,1.52568145,1.22867056,0.00126896,0.02042554,0.89342438
-1.90595298,3.19161653,1.64988105,1.49779238,1.18861738,0.00121057,0.02006657,0.88908433
-1.89994997,3.11479603,1.63901959,1.46424645,1.14766059,0.00115193,0.01964407,0.88138507
-1.89394697,3.02924970,1.62199757,1.42524932,1.10594761,0.00109339,0.01916434,0.87021248
-1.88794397,2.93547587,1.59873222,1.38110612,1.06365416,0.00103532,0.01863531,0.85552693
-1.88194097,2.83416086,1.56930530,1.33221833,1.02099536,0.00097811,0.01806654,0.83737126
-1.87593797,2.72618251,1.53397449,1.27907796,0.97823482,0.00092213,0.01746917,0.81587585
-1.86993497,2.61260647,1.49317805,1.22225920,0.93569096,0.00086777,0.01685573,0.79126024
-1.86393197,2.49467504,1.44753256,1.16240745,0.89374010,0.00081543,0.01624005,0.76383140
-1.85792896,2.37378865,1.39782357,1.10022622,0.85281596,0.00076551,0.01563705,0.73397858
-1.85192596,2.25148053,1.34498977,1.03646223,0.81340563,0.00071842,0.01506245,0.70216499
-1.84592296,2.12938553,1.29010145,0.97188915,0.77604205,0.00067456,0.01453254,0.66891678
-1.83991996,2.00920428,1.23433420,0.90729069,0.74129336,0.00063433,0.01406380,0.63480983
-1.83391696,1.89266420,1.17893934,0.84344353,0.70974970,0.00059809,0.01367264,0.60045494
-1.82791396,1.78147898,1.12521232,0.78110075,0.68200796,0.00056621,0.01337499,0.56648214
-1.82191096,1.67730813,1.07446056,0.72097638,0.65865530,0.00053900,0.01318593,0.53352489
-1.81590795,1.58171818,1.02797225,0.66373143,0.64025215,0.00051674,0.01311935,0.50220457
-1.80990495,1.49614706,0.98698725,0.60996205,0.62731536,0.00049963,0.01318759,0.47311621
-1.80390195,1.42187276,0.95267125,0.56018984,0.62030235,0.00048785,0.01340108,0.44681558
-1.79789895,1.35998739,0.92609403,0.51485476,0.61959682,0.00048149,0.01376805,0.42380827
-1.79189595,1.31137722,0.90821237,0.47431049,0.62549662,0.00048055,0.01429424,0.40454087
-1.78589295,1.27670917,0.89985793,0.43882240,0.63820410,0.00048498,0.01498270,0.38939438
-1.77988994,1.25642374,0.90173004,0.40856770,0.65781947,0.00049462,0.01583361,0.37867993
-1.77388694,1.25073432,0.91439316,0.38363780,0.68433712,0.00050927,0.01684412,0.37263649
-1.76788394,1.25963226,0.93827838,0.36404242,0.71764511,0.00052861,0.01800838,0.37143063
-1.76188094,1.28289723,0.97368830,0.34971511,0.75752759,0.00055226,0.01931749,0.37515777
-1.75587794,1.32011184,1.02080428,0.34051994,0.80367003,0.00057978,0.02075963,0.38384486
-1.74987494,1.37067973,1.07969504,0.33625880,0.85566691,0.00061067,0.02232022,0.39745393
-1.74387194,1.43384606,1.15032559,0.33667928,0.91303136,0.00064437,0.02398212,0.41588629
-1.73786893,1.50871935,1.23256529,0.34148255,0.97520630,0.00068029,0.02572591,0.43898706
-1.73186593,1.59429371,1.32619431,0.35033122,1.04157654,0.00071782,0.02753026,0.46654963
-1.72586293,1.68947063,1.43090734,0.36285692,1.11148121,0.00075633,0.02937231,0.49832000
-1.71985993,1.79307937,1.54631431,0.37866756,1.18422607,0.00079519,0.03122804,0.53400066
-1.71385693,1.90389560,1.67193748,0.39735410,1.25909511,0.00083379,0.03307277,0.57325406
-1.70785393,2.02065770,1.80720517,0.41849697,1.33536109,0.00087152,0.03488157,0.61570545
-1.70185093,2.14208067,1.95144227,0.44167207,1.41229475,0.00090784,0.03662972,0.66094541
