energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-3.58679340,2.25251514,0.00341978,0.18495023,0.68215495,1.17611481,0.01663459,0.82741277
-3.58079040,2.16363990,0.00314637,0.17754038,0.65594942,1.13746865,0.01586107,0.78572535
-3.57478739,2.07441895,0.00288342,0.16950977,0.62803451,1.10001840,0.01505241,0.74322322
-3.56878439,1.98619741,0.00263276,0.16098186,0.59876759,1.06445012,0.01421667,0.70044541
-3.56278139,1.90028495,0.00239586,0.15208354,0.56852479,1.03141215,0.01336202,0.65792654
-3.55677839,1.81792163,0.00217386,0.14294206,0.53769034,1.00149732,0.01249663,0.61618371
-3.55077539,1.74024593,0.00196756,0.13368213,0.50664615,0.97522651,0.01162854,0.57570409
-3.54477239,1.66826592,0.00177743,0.12442318,0.47576176,0.95303400,0.01076556,0.53693388
-3.53876938,1.60283472,0.00160364,0.11527699,0.44538525,0.93525541,0.00991509,0.50026875
-3.53276638,1.54463113,0.00144605,0.10634563,0.41583530,0.92211845,0.00908408,0.46604612
-3.52676338,1.49414593,0.00130432,0.09771991,0.38739488,0.91373712,0.00827884,0.43453953
-3.52076038,1.45167465,0.00117785,0.08947820,0.36030658,0.91010939,0.00750498,0.40595516
-3.51475738,1.41731672,0.00106591,0.08168575,0.33476973,0.91111879,0.00676731,0.38043056
-3.50875438,1.39098127,0.00096760,0.07439454,0.31093944,0.91653967,0.00606981,0.35803567
-3.50275138,1.37239922,0.00088194,0.06764345,0.28892745,0.92604619,0.00541556,0.33877585
-3.49674837,1.36114122,0.00080789,0.06145896,0.26880448,0.93922472,0.00480677,0.32259703
-3.49074537,1.35664087,0.00074437,0.05585607,0.25060424,0.95558932,0.00424475,0.30939245
-3.48474237,1.35822227,0.00069031,0.05083961,0.23432838,0.97459969,0.00372997,0.29901098
-3.47873937,1.36513087,0.00064465,0.04640566,0.21995249,0.99568119,0.00326216,0.29126654
-3.47273637,1.37656669,0.00060639,0.04254319,0.20743249,1.01824608,0.00284029,0.28594831
-3.46673337,1.39171832,0.00057459,0.03923570,0.19671130,1.04171535,0.00246278,0.28283132
-3.46073037,1.40979681,0.00054838,0.03646287,0.18772530,1.06554029,0.00212751,0.28168707
-3.45472736,1.43006791,0.00052700,0.03420211,0.18041037,1.08922301,0.00183195,0.28229362
-3.44872436,1.45188142,0.00050975,0.03243001,0.17470718,1.11233525,0.00157330,0.28444496
-3.44272136,1.47469665,0.00049606,0.03112350,0.17056548,1.13453445,0.00134855,0.28795903
-3.43671836,1.49810263,0.00048541,0.03026092,0.16794736,1.15557667,0.00115458,0.29268431
-3.43071536,1.52183249,0.00047741,0.02982272,0.16682908,1.17532559,0.00098827,0.29850446
-3.42471236,1.54577102,0.00047173,0.02979193,0.16720172,1.19375716,0.00084655,0.30534098
-3.41870935,1.56995515,0.00046810,0.03015431,0.16907044,1.21095948,0.00072647,0.31315361
-3.41270635,1.59456698,0.00046634,0.03089833,0.17245243,1.22712784,0.00062525,0.32193859
-3.40670335,1.61991965,0.00046629,0.03201477,0.17737381,1.24255479,0.00054031,0.33172464
-3.40070035,1.64643622,0.00046786,0.03349615,0.18386544,1.25761562,0.00046930,0.34256708
-3.39469735,1.67462243,0.00047096,0.03533601,0.19195798,1.27274938,0.00041011,0.35454011
-3.38869435,1.70503434,0.00047551,0.03752796,0.20167639,1.28843644,0.00036087,0.36772780
-3.38269135,1.73824205,0.00048143,0.04006472,0.21303419,1.30517297,0.00031995,0.38221407
-3.37668834,1.77479114,0.00048866,0.04293700,0.22602766,1.32344380,0.00028594,0.39807233
-3.37068534,1.81516350,0.00049706,0.04613256,0.24063037,1.34369440,0.00025766,0.41535514
-3.36468234,1.85973933,0.00050652,0.04963515,0.25678829,1.36630347,0.00023410,0.43408459
-3.35867934,1.90876227,0.00051687,0.05342373,0.27441574,1.39155740,0.00021444,0.45424380
-3.35267634,1.96230948,0.00052789,0.05747176,0.29339240,1.41962779,0.00019798,0.47577015
-3.34667334,2.02026821,0.00053936,0.06174678,0.31356166,1.45055340,0.00018418,0.49855053
-3.34067034,2.08232040,0.00055099,0.06621017,0.33473031,1.48422745,0.00017259,0.52241904
-3.33466733,2.14793646,0.00056249,0.07081726,0.35666984,1.52039124,0.00016284,0.54715724
-3.32866433,2.21637873,0.00057353,0.07551765,0.37911926,1.55863471,0.00015463,0.57249707
-3.32266133,2.28671510,0.00058377,0.08025590,0.40178936,1.59840403,0.00014773,0.59812641
-3.31665833,2.35784242,0.00059287,0.08497245,0.42436846,1.63901646,0.00014192,0.62369698
-3.31065533,2.42851894,0.00060047,0.08960476,0.44652932,1.67968181,0.00013704,0.64883436
-3.30465233,2.49740464,0.00060627,0.09408871,0.46793705,1.71952988,0.00013293,0.67314960
-3.29864932,2.56310771,0.00060998,0.09836017,0.48825771,1.75764264,0.00012945,0.69625192
-3.29264632,2.62423523,0.00061133,0.10235655,0.50716726,1.79308985,0.00012648,0.71776203
-3.28664332,2.67944571,0.00061012,0.10601857,0.52436061,1.82496653,0.00012389,0.73732515
-3.28064032,2.72750100,0.00060622,0.10929181,0.53956021,1.85243038,0.00012157,0.75462351
-3.27463732,2.76731520,0.00059953,0.11212828,0.55252407,1.87473742,0.00011942,0.76938738
-3.26863432,2.79799813,0.00059004,0.11448776,0.56305270,1.89127419,0.00011733,0.78140428
-3.26263132,2.81889110,0.00057780,0.11633892,0.57099476,1.90158456,0.00011522,0.79052600
-3.25662831,2.82959342,0.00056293,0.11766019,0.57625120,1.90539015,0.00011299,0.79667289
-3.25062531,2.82997802,0.00054562,0.11844029,0.57877764,1.90260295,0.00011058,0.79983539
-3.24462231,2.82019549,0.00052611,0.11867842,0.57858499,1.89332958,0.00010794,0.80007273
-3.23861931,2.80066624,0.00050469,0.11838407,0.57573819,1.87786687,0.00010501,0.79750874
-3.23261631,2.77206109,0.00048170,0.11757657,0.57035323,1.85668896,0.00010178,0.79232519
-3.22661331,2.73527120,0.00045749,0.11628426,0.56259245,1.83042636,0.00009822,0.78475279
-3.22061031,2.69136880,0.00043245,0.11454333,0.55265841,1.79983821,0.00009434,0.77506041
-3.21460730,2.64156060,0.00040697,0.11239653,0.54078658,1.76577880,0.00009016,0.76354307
-3.20860430,2.58713614,0.00038145,0.10989161,0.52723713,1.72916033,0.00008570,0.75050910
-3.20260130,2.52941369,0.00035626,0.10707967,0.51228613,1.69091348,0.00008100,0.73626738
-3.19659830,2.46968612,0.00033175,0.10401349,0.49621662,1.65194782,0.00007610,0.72111492
-3.19059530,2.40916955,0.00030825,0.10074584,0.47930981,1.61311415,0.00007107,0.70532566
-3.18459230,2.34895711,0.00028604,0.09732794,0.46183681,1.57517031,0.00006595,0.68914078
-3.17858929,2.28997996,0.00026537,0.09380803,0.44405118,1.53875238,0.00006081,0.67276112
-3.17258629,2.23297733,0.00024645,0.09023016,0.42618265,1.50435245,0.00005571,0.65634185
-3.16658329,2.17847683,0.00022944,0.08663331,0.40843208,1.47230397,0.00005069,0.63998971
-3.16058029,2.12678582,0.00021448,0.08305065,0.39096797,1.44277525,0.00004582,0.62376287
-3.15457729,2.07799386,0.00020164,0.07950926,0.37392449,1.41577139,0.00004113,0.60767324
-3.14857429,2.03198594,0.00019100,0.07603003,0.35740111,1.39114421,0.00003667,0.59169113
-3.14257129,1.98846541,0.00018260,0.07262787,0.34146367,1.36860954,0.00003247,0.57575185
-3.13656828,1.94698534,0.00017646,0.06931226,0.32614688,1.34777095,0.00002855,0.55976389
-3.13056528,1.90698627,0.00017262,0.06608787,0.31145792,1.32814843,0.00002492,0.54361819
-3.12456228,1.86783844,0.00017112,0.06295547,0.29738100,1.30921062,0.00002161,0.52719790
-3.11855928,1.82888613,0.00017200,0.05991285,0.28388253,1.29040869,0.00001860,0.51038818
-3.11255628,1.78949181,0.00017535,0.05695587,0.27091668,1.27121040,0.00001590,0.49308541
-3.10655328,1.74907792,0.00018129,0.05407946,0.25843099,1.25113238,0.00001350,0.47520549
-3.10055028,1.70716419,0.00018999,0.05127855,0.24637167,1.22976927,0.00001138,0.45669060
-3.09454727,1.66339884,0.00020166,0.04854892,0.23468854,1.20681824,0.00000952,0.43751442
-3.08854427,1.61758222,0.00021657,0.04588786,0.22333921,1.18209782,0.00000792,0.41768527
-3.08254127,1.56968199,0.00023504,0.04329474,0.21229236,1.15556032,0.00000654,0.39724746
-3.07653827,1.51983938,0.00025745,0.04077131,0.20153011,1.12729724,0.00000537,0.37628054
