energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-5.20160080,1.98441580,0.44938811,1.13141803,0.02003376,0.04229239,0.56816766,0.26359580,0.41780337,0.00000000
-5.19559780,1.87251335,0.41712881,1.05432164,0.01892214,0.03851441,0.53179062,0.26353755,0.39632786,0.00000000
-5.18959480,1.76200414,0.38613836,0.97887752,0.01780957,0.03500741,0.49613879,0.26260785,0.37505025,0.00000000
-5.18359180,1.65390226,0.35676420,0.90578095,0.01670590,0.03180897,0.46157658,0.26077609,0.35415989,0.00000000
-5.17758879,1.54915718,0.32932892,0.83566403,0.01561990,0.02895404,0.42844653,0.25803055,0.33383592,0.00000000
-5.17158579,1.44865147,0.30413126,0.76909141,0.01455924,0.02647533,0.39706750,0.25438089,0.31424761,0.00000000
-5.16558279,1.35320262,0.28144813,0.70655923,0.01353052,0.02440383,0.36773388,0.24986019,0.29555532,0.00000000
-5.15957979,1.26356786,0.26153765,0.64849693,0.01253935,0.02276927,0.34071559,0.24452634,0.27791195,0.00000000
-5.15357679,1.18045102,0.24464249,0.59527131,0.01159044,0.02160066,0.31625866,0.23846276,0.26146449,0.00000000
-5.14757379,1.10451042,0.23099331,0.54719222,0.01068773,0.02092669,0.29458619,0.23177825,0.24635555,0.00000000
-5.14157079,1.03636658,0.22081190,0.50451915,0.00983455,0.02077601,0.27589918,0.22460604,0.23272471,0.00000000
-5.13556778,0.97660875,0.21431337,0.46746814,0.00903371,0.02117737,0.26037730,0.21710186,0.22070924,0.00000000
-5.12956478,0.92579932,0.21170734,0.43621816,0.00828768,0.02215948,0.24817902,0.20944126,0.21044436,0.00000000
-5.12356178,0.88447540,0.21319751,0.41091660,0.00759873,0.02375067,0.23944111,0.20181602,0.20206264,0.00000000
-5.11755878,0.85314697,0.21897974,0.39168320,0.00696903,0.02597822,0.23427738,0.19443004,0.19569260,0.00000000
-5.11155578,0.83229138,0.22923815,0.37861233,0.00640077,0.02886744,0.23277641,0.18749451,0.19145650,0.00000000
-5.10555278,0.82234411,0.24413952,0.37177313,0.00589626,0.03244047,0.23499845,0.18122284,0.18946729,0.00000000
-5.09954977,0.82368611,0.26382591,0.37120780,0.00545803,0.03671482,0.24097159,0.17582524,0.18982494,0.00000000
-5.09354677,0.83662803,0.28840591,0.37692786,0.00508892,0.04170171,0.25068719,0.17150329,0.19261210,0.00000000
-5.08754377,0.86139229,0.31794462,0.38890895,0.00479211,0.04740432,0.26409511,0.16844464,0.19788956,0.00000000
-5.08154077,0.89809364,0.35245314,0.40708417,0.00457122,0.05381588,0.28109871,0.16681787,0.20569139,0.00000000
-5.07553777,0.94671940,0.39187775,0.43133686,0.00443038,0.06091793,0.30155038,0.16676788,0.21602041,0.00000000
-5.06953477,1.00711047,0.43608980,0.46149304,0.00437424,0.06867863,0.32524763,0.16841165,0.22884388,0.00000000
-5.06353177,1.07894432,0.48487660,0.49731428,0.00440804,0.07705137,0.35193039,0.17183477,0.24408996,0.00000000
-5.05752876,1.16172118,0.53793430,0.53849165,0.00453766,0.08597372,0.38127979,0.17708859,0.26164507,0.00000000
-5.05152576,1.25475441,0.59486313,0.58464109,0.00476962,0.09536690,0.41291885,0.18418815,0.28135235,0.00000000
-5.04552276,1.35716621,0.65516584,0.63530113,0.00511107,0.10513573,0.44641518,0.19311101,0.30301161,0.00000000
-5.03951976,1.46788930,0.71824954,0.68993293,0.00556980,0.11516932,0.48128613,0.20379691,0.32638061,0.00000000
-5.03351676,1.58567517,0.78343148,0.74792334,0.00615417,0.12534232,0.51700615,0.21614828,0.35117806,0.00000000
-5.02751376,1.70910925,0.84994879,0.80859095,0.00687297,0.13551698,0.55301656,0.23003170,0.37708814,0.00000000
-5.02151076,1.83663272,0.91697214,0.87119514,0.00773533,0.14554579,0.58873735,0.24528023,0.40376661,0.00000000
-5.01550775,1.96657086,0.98362312,0.93494810,0.00875048,0.15527480,0.62358084,0.26169658,0.43084823,0.00000000
-5.00950475,2.09716699,1.04899472,0.99902931,0.00992748,0.16454740,0.65696659,0.27905708,0.45795551,0.00000000
-5.00350175,2.22662114,1.11217444,1.06260226,0.01127489,0.17320860,0.68833716,0.29711644,0.48470817,0.00000000
-4.99749875,2.35313201,1.17226899,1.12483251,0.01280039,0.18110945,0.71717400,0.31561309,0.51073336,0.00000000
-4.99149575,2.47494092,1.22842968,1.18490665,0.01451031,0.18811160,0.74301293,0.33427510,0.53567592,0.00000000
-4.98549275,2.59037588,1.27987746,1.24205121,0.01640912,0.19409173,0.76545832,0.35282651,0.55920846,0.00000000
-4.97948974,2.69789418,1.32592651,1.29555089,0.01849889,0.19894565,0.78419562,0.37099387,0.58104089,0.00000000
-4.97348674,2.79612187,1.36600526,1.34476518,0.02077879,0.20259193,0.79900139,0.38851284,0.60092877,0.00000000
-4.96748374,2.88388838,1.39967396,1.38914278,0.02324446,0.20497485,0.80975049,0.40513470,0.61868045,0.00000000
-4.96148074,2.96025508,1.42663800,1.42823332,0.02588760,0.20606660,0.81642011,0.42063248,0.63416237,0.00000000
-4.95547774,3.02453650,1.44675626,1.46169565,0.02869548,0.20586850,0.81909031,0.43480661,0.64730257,0.00000000
-4.94947474,3.07631349,1.46004423,1.48930278,0.03165061,0.20441126,0.81794111,0.44748970,0.65809206,0.00000000
-4.94347174,3.11543794,1.46667170,1.51094306,0.03473061,0.20175428,0.81324616,0.45855062,0.66658405,0.00000000
-4.93746873,3.14202885,1.46695511,1.52661785,0.03790811,0.19798397,0.80536338,0.46789726,0.67289117,0.00000000
-4.93146573,3.15646009,1.46134509,1.53643590,0.04115096,0.19321107,0.79472272,0.47547831,0.67718053,0.00000000
-4.92546273,3.15934063,1.45040951,1.54060472,0.04442261,0.18756726,0.78181178,0.48128357,0.67966717,0.00000000
-4.91945973,3.15148796,1.43481304,1.53941951,0.04768265,0.18120108,0.76715972,0.48534311,0.68060578,0.00000000
-4.91345673,3.13389593,1.41529401,1.53325032,0.05088768,0.17427325,0.75132002,0.48772496,0.68028129,0.00000000
-4.90745373,3.10769850,1.39263948,1.52252779,0.05399226,0.16695180,0.73485296,0.48853168,0.67899854,0.00000000
-4.90145073,3.07413049,1.36765961,1.50772835,0.05695010,0.15940694,0.71830817,0.48789575,0.67707139,0.00000000
-4.89544772,3.03448713,1.34116229,1.48935933,0.05971537,0.15180604,0.70220801,0.48597397,0.67481165,0.00000000
-4.88944472,2.99008349,1.31392878,1.46794441,0.06224409,0.14430880,0.68703225,0.48294112,0.67251828,0.00000000
-4.88344172,2.94221535,1.28669137,1.44400999,0.06449551,0.13706283,0.67320446,0.47898313,0.67046704,0.00000000
-4.87743872,2.89212245,1.26011348,1.41807270,0.06643350,0.13019976,0.66108058,0.47428984,0.66890104,0.00000000
-4.87143572,2.84095527,1.23477288,1.39062830,0.06802782,0.12383194,0.65093979,0.46904797,0.66802244,0.00000000
-4.86543272,2.78974604,1.21114832,1.36214200,0.06925517,0.11804992,0.64297799,0.46343419,0.66798546,0.00000000
-4.85942971,2.73938475,1.18960971,1.33304046,0.07010011,0.11292071,0.63730394,0.45760884,0.66889099,0.00000000
-4.85342671,2.69060041,1.17041213,1.30370522,0.07055555,0.10848682,0.63393810,0.45171044,0.67078297,0.00000000
-4.84742371,2.64394803,1.15369341,1.27446760,0.07062310,0.10476612,0.63281405,0.44585120,0.67364657,0.00000000
-4.84142071,2.59980132,1.13947527,1.24560502,0.07031293,0.10175251,0.63378252,0.44011375,0.67740824,0.00000000
-4.83541771,2.55835115,1.12766785,1.21733865,0.06964342,0.09941726,0.63661772,0.43454916,0.68193779,0.00000000
-4.82941471,2.51960966,1.11807725,1.18983224,0.06864034,0.09771107,0.64102587,0.42917642,0.68705219,0.00000000
-4.82341171,2.48341970,1.11041582,1.16319216,0.06733593,0.09656666,0.64665555,0.42398327,0.69252132,0.00000000
-4.81740870,2.44946926,1.10431486,1.13746869,0.06576754,0.09590183,0.65310966,0.41892846,0.69807528,0.00000000
-4.81140570,2.41731040,1.09933927,1.11265837,0.06397625,0.09562289,0.65995861,0.41394522,0.70341312,0.00000000
-4.80540270,2.38638218,1.09500377,1.08870757,0.06200526,0.09562829,0.66675433,0.40894589,0.70821280,0.00000000
-4.79939970,2.35603672,1.09079019,1.06551731,0.05989836,0.09581238,0.67304477,0.40382743,0.71214201,0.00000000
-4.79339670,2.32556778,1.08616543,1.04294903,0.05769833,0.09606909,0.67838831,0.39847760,0.71486949,0.00000000
-4.78739370,2.29424089,1.08059944,1.02083171,0.05544555,0.09629558,0.68236783,0.39278155,0.71607648,0.00000000
-4.78139070,2.26132410,1.07358287,0.99896972,0.05317676,0.09639547,0.68460383,0.38662854,0.71546793,0.00000000
-4.77538769,2.22611838,1.06464372,0.97715171,0.05092402,0.09628187,0.68476630,0.37991839,0.71278299,0.00000000
