energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.37568784,13.26811813,0.04362006,0.49008981,1.19083257,2.06041434,7.27542075,7.55168073,4.00847003,0.00000000
-5.36968484,13.29359968,0.04493485,0.47052088,1.17595470,2.05500399,7.17287218,7.62222429,3.99989140,0.00000000
-5.36368184,13.30156436,0.04606382,0.45170271,1.15890206,2.04440088,7.06170853,7.68544604,3.98465551,0.00000000
-5.35767884,13.28943362,0.04698338,0.43356472,1.13945371,2.02867678,6.94114329,7.73924385,3.96228603,0.00000000
-5.35167584,13.25492866,0.04767373,0.41603461,1.11744948,2.00796696,6.81051367,7.78163561,3.93240668,0.00000000
-5.34567284,13.19612377,0.04811925,0.39904142,1.09279775,1.98246756,6.66932515,7.81079576,3.89475670,0.00000000
-5.33966983,13.11149333,0.04830895,0.38251847,1.06548052,1.95243227,6.51728941,7.82509075,3.84920348,0.00000000
-5.33366683,12.99995135,0.04823669,0.36640600,1.03555580,1.91816845,6.35435373,7.82311276,3.79575162,0.00000000
-5.32766383,12.86088191,0.04790139,0.35065350,1.00315706,1.88003272,6.18072056,7.80371041,3.73454832,0.00000000
-5.32166083,12.69415955,0.04730698,0.33522150,0.96848983,1.83842614,5.99685661,7.76601581,3.66588438,0.00000000
-5.31565783,12.50015842,0.04646230,0.32008283,0.93182564,1.79378887,5.80349094,7.70946645,3.59019104,0.00000000
-5.30965483,12.27974952,0.04538083,0.30522325,0.89349351,1.74659440,5.60160252,7.63382131,3.50803235,0.00000000
-5.30365183,12.03428555,0.04408032,0.29064151,0.85386945,1.69734321,5.39239784,7.53916989,3.42009329,0.00000000
-5.29764882,11.76557339,0.04258223,0.27634880,0.81336440,1.64655589,5.17727977,7.42593380,3.32716402,0.00000000
-5.29164582,11.47583433,0.04091118,0.26236767,0.77241105,1.59476565,4.95780921,7.29486008,3.23012051,0.00000000
-5.28564282,11.16765322,0.03909423,0.24873050,0.73145022,1.54251018,4.73566127,7.14700631,3.12990235,0.00000000
-5.27963982,10.84391744,0.03716018,0.23547757,0.69091719,1.49032300,4.51257793,6.98371760,3.02748832,0.00000000
-5.27363682,10.50774783,0.03513878,0.22265486,0.65122874,1.43872422,4.29031930,6.80659596,2.92387063,0.00000000
-5.26763382,10.16242347,0.03306001,0.21031173,0.61277105,1.38821115,4.07061546,6.61746299,2.82002879,0.00000000
-5.26163082,9.81130305,0.03095338,0.19849846,0.57588932,1.33924869,3.85512087,6.41831711,2.71690410,0.00000000
-5.25562781,9.45774548,0.02884724,0.18726390,0.54087902,1.29226010,3.64537308,6.21128686,2.61537568,0.00000000
-5.24962481,9.10503285,0.02676823,0.17665332,0.50797944,1.24761837,3.44275741,5.99858185,2.51623911,0.00000000
-5.24362181,8.75629846,0.02474081,0.16670638,0.47736938,1.20563863,3.24847866,5.78244340,2.42018864,0.00000000
-5.23761881,8.41446284,0.02278688,0.15745555,0.44916530,1.16657207,3.06354101,5.56509643,2.32780354,0.00000000
-5.23161581,8.08218016,0.02092557,0.14892483,0.42342175,1.13060186,2.88873635,5.34870459,2.23953934,0.00000000
-5.22561281,7.76179686,0.01917310,0.14112896,0.40013399,1.09784123,2.72464152,5.13532997,2.15572433,0.00000000
-5.21960980,7.45532421,0.01754278,0.13407304,0.37924273,1.06833426,2.57162402,4.92689880,2.07656141,0.00000000
-5.21360680,7.16442514,0.01604509,0.12775266,0.36064045,1.04205940,2.42985569,4.72517400,2.00213524,0.00000000
-5.20760380,6.89041570,0.01468793,0.12215442,0.34417925,1.01893570,2.29933344,4.53173516,1.93242424,0.00000000
-5.20160080,6.63428006,0.01347684,0.11725692,0.32967961,0.99883184,2.17990581,4.34796609,1.86731687,0.00000000
-5.19559780,6.39669788,0.01241532,0.11303207,0.31693988,0.98157747,2.07130391,4.17504968,1.80663132,0.00000000
-5.18959480,6.17808179,0.01150522,0.10944673,0.30574586,0.96697639,1.97317506,4.01396951,1.75013757,0.00000000
-5.18359180,5.97862236,0.01074705,0.10646452,0.29588026,0.95482111,1.88511751,3.86551721,1.69758063,0.00000000
-5.17758879,5.79833764,0.01014034,0.10404769,0.28713151,0.94490794,1.80671434,3.73030449,1.64870371,0.00000000
-5.17158579,5.63712410,0.00968396,0.10215914,0.27930168,0.93705174,1.73756493,3.60877849,1.60327008,0.00000000
-5.16558279,5.49480557,0.00937635,0.10076411,0.27221319,0.93109962,1.67731239,3.50123904,1.56108239,0.00000000
-5.15957979,5.37117734,0.00921569,0.09983187,0.26571404,0.92694261,1.62566557,3.40785642,1.52199843,0.00000000
-5.15357679,5.26604258,0.00920002,0.09933693,0.25968149,0.92452459,1.58241459,3.32868849,1.48594231,0.00000000
-5.14757379,5.17923885,0.00932724,0.09925990,0.25402402,0.92384785,1.54743907,3.26369580,1.45291067,0.00000000
-5.14157079,5.11065313,0.00959504,0.09958798,0.24868162,0.92497466,1.52070869,3.21275402,1.42297328,0.00000000
-5.13556778,5.06022449,0.01000077,0.10031478,0.24362453,0.92802483,1.50227606,3.17566288,1.39626811,0.00000000
-5.12956478,5.02793425,0.01054122,0.10143978,0.23885044,0.93316893,1.49226222,3.15215140,1.37299114,0.00000000
-5.12356178,5.01378420,0.01121234,0.10296719,0.23438045,0.94061764,1.49083564,3.14187919,1.35338135,0.00000000
-5.11755878,5.01776452,0.01200893,0.10490447,0.23025408,0.95060743,1.49818569,3.14443424,1.33770178,0.00000000
-5.11155578,5.03981304,0.01292437,0.10726032,0.22652352,0.96338349,1.51449205,3.15932762,1.32621766,0.00000000
-5.10555278,5.07976888,0.01395030,0.11004259,0.22324746,0.97918057,1.53989165,3.18598576,1.31917285,0.00000000
-5.09954977,5.13732311,0.01507634,0.11325587,0.22048493,0.99820279,1.57444495,3.22374141,1.31676583,0.00000000
-5.09354677,5.21196991,0.01628993,0.11689921,0.21828931,1.02060359,1.61810325,3.27182429,1.31912669,0.00000000
-5.08754377,5.30296134,0.01757619,0.12096380,0.21670290,1.04646679,1.67067907,3.32935250,1.32629633,0.00000000
-5.08154077,5.40926912,0.01891791,0.12543106,0.21575227,1.07578986,1.73182097,3.39532599,1.33820911,0.00000000
-5.07553777,5.52955605,0.02029565,0.13027102,0.21544464,1.10847041,1.80099458,3.46862316,1.35467994,0.00000000
-5.06953477,5.66215970,0.02168797,0.13544121,0.21576535,1.14429665,1.87747073,3.54800155,1.37539665,0.00000000
-5.06353177,5.80509015,0.02307175,0.14088613,0.21667659,1.18294240,1.96032182,3.63210349,1.39991803,0.00000000
-5.05752876,5.95604277,0.02442266,0.14653732,0.21811737,1.22396705,2.04842663,3.71946733,1.42767794,0.00000000
-5.05152576,6.11242659,0.02571569,0.15231412,0.22000476,1.26682049,2.14048382,3.80854440,1.45799515,0.00000000
-5.04552276,6.27140774,0.02692582,0.15812501,0.22223615,1.31085297,2.23503360,3.89772202,1.49008881,0.00000000
-5.03951976,6.42996672,0.02802865,0.16386958,0.22469256,1.35532940,2.33048701,3.98535181,1.52309858,0.00000000
-5.03351676,6.58496751,0.02900118,0.16944095,0.22724268,1.39944748,2.42516156,4.06978307,1.55610878,0.00000000
-5.02751376,6.73323609,0.02982245,0.17472863,0.22974747,1.44235894,2.51732191,4.14939987,1.58817531,0.00000000
-5.02151076,6.87164505,0.03047426,0.17962165,0.23206504,1.48319289,2.60522397,4.22266088,1.61835418,0.00000000
-5.01550775,6.99720100,0.03094173,0.18401181,0.23405572,1.52108038,2.68716069,4.28814020,1.64573044,0.00000000
-5.00950475,7.10713098,0.03121381,0.18779691,0.23558681,1.55517908,2.76150773,4.34456767,1.66944617,0.00000000
-5.00350175,7.19896433,0.03128363,0.19088390,0.23653707,1.58469707,2.82676714,4.39086674,1.68872643,0.00000000
-4.99749875,7.27060636,0.03114877,0.19319166,0.23680064,1.60891497,2.88160750,4.42618820,1.70290202,0.00000000
-4.99149575,7.32040070,0.03081133,0.19465343,0.23629022,1.62720550,2.92489894,4.44993797,1.71142829,0.00000000
-4.98549275,7.34717762,0.03027784,0.19521878,0.23493950,1.63904984,2.95574186,4.46179744,1.71389925,0.00000000
-4.97948974,7.35028615,0.02955904,0.19485493,0.23270475,1.64405038,2.97348830,4.46173508,1.71005655,0.00000000
-4.97348674,7.32960865,0.02866956,0.19354759,0.22956542,1.64193949,2.97775537,4.45000827,1.69979321,0.00000000
-4.96748374,7.28555697,0.02762741,0.19130111,0.22552411,1.63258423,2.96843046,4.42715493,1.68315204,0.00000000
-4.96148074,7.21905059,0.02645342,0.18813802,0.22060554,1.61598696,2.94566820,4.39397475,1.66031914,0.00000000
-4.95547774,7.13147735,0.02517061,0.18409809,0.21485500,1.59228216,2.90987951,4.35150041,1.63161281,0.00000000
-4.94947474,7.02463848,0.02380355,0.17923680,0.20833611,1.56172961,2.86171342,4.30095963,1.59746862,0.00000000
-4.94347174,6.90068017,0.02237761,0.17362348,0.20112822,1.52470450,2.80203248,4.24372941,1.55842130,0.00000000
-4.93746873,6.76201445,0.02091836,0.16733904,0.19332347,1.48168482,2.73188282,4.18128401,1.51508432,0.00000000
-4.93146573,6.61123256,0.01945092,0.16047351,0.18502362,1.43323664,2.65246016,4.11513890,1.46812806,0.00000000
-4.92546273,6.45101427,0.01799940,0.15312345,0.17633689,1.37999785,2.56507296,4.04679283,1.41825732,0.00000000
-4.91945973,6.28403691,0.01658644,0.14538927,0.16737484,1.32266084,2.47110419,3.97767049,1.36618924,0.00000000
-4.91345673,6.11288747,0.01523279,0.13737270,0.15824937,1.26195483,2.37197290,3.90906826,1.31263213,0.00000000
-4.90745373,5.93998130,0.01395701,0.12917431,0.14907001,1.19862823,2.26909702,3.84210536,1.25826612,0.00000000
-4.90145073,5.76749052,0.01277526,0.12089129,0.13994144,1.13343158,2.16385845,3.77768255,1.20372609,0.00000000
-4.89544772,5.59728458,0.01170115,0.11261545,0.13096140,1.06710161,2.05757141,3.71645035,1.14958738,0.00000000
