energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-1.39569785,0.54029083,0.00697475,0.02773825,0.11850632,0.25142294,0.02175129,0.16601399,0.29647152,0.00009751
-1.38969485,0.57550559,0.00805386,0.02920637,0.12448243,0.26904665,0.02376434,0.17504317,0.31708393,0.00010793
-1.38369185,0.61663719,0.00925359,0.03093588,0.13201975,0.28973452,0.02617537,0.18652946,0.33851151,0.00011951
-1.37768884,0.66353467,0.01057325,0.03291595,0.14109674,0.31339636,0.02898807,0.20041656,0.36068448,0.00013230
-1.37168584,0.71600304,0.01200948,0.03513276,0.15167742,0.33993027,0.03220334,0.21661345,0.38352991,0.00014635
-1.36568284,0.77380310,0.01355593,0.03756971,0.16371118,0.36922270,0.03581928,0.23499397,0.40697081,0.00016168
-1.35967984,0.83665140,0.01520309,0.04020756,0.17713249,0.40114853,0.03983119,0.25539699,0.43092495,0.00017833
-1.35367684,0.90422063,0.01693809,0.04302475,0.19186083,0.43557113,0.04423152,0.27762733,0.45530363,0.00019634
-1.34767384,0.97614047,0.01874476,0.04599767,0.20780059,0.47234257,0.04900981,0.30145737,0.48001031,0.00021572
-1.34167084,1.05199932,0.02060360,0.04910114,0.22484120,0.51130403,0.05415268,0.32662956,0.50493948,0.00023649
-1.33566783,1.13134675,0.02249212,0.05230884,0.24285756,0.55228647,0.05964373,0.35285976,0.52997586,0.00025865
-1.32966483,1.21369700,0.02438510,0.05559383,0.26171064,0.59511143,0.06546351,0.37984139,0.55499399,0.00028220
-1.32366183,1.29853323,0.02625512,0.05892918,0.28124840,0.63959208,0.07158937,0.40725050,0.57985836,0.00030712
-1.31765883,1.38531264,0.02807315,0.06228858,0.30130706,0.68553428,0.07799539,0.43475137,0.60442423,0.00033337
-1.31165583,1.47347214,0.02980928,0.06564696,0.32171266,0.73273766,0.08465226,0.46200283,0.62853903,0.00036092
-1.30565283,1.56243451,0.03143348,0.06898115,0.34228284,0.78099659,0.09152708,0.48866483,0.65204441,0.00038969
-1.29964982,1.65161478,0.03291651,0.07227046,0.36282894,0.83010089,0.09858332,0.51440525,0.67477888,0.00041962
-1.29364682,1.74042662,0.03423075,0.07549718,0.38315829,0.87983638,0.10578063,0.53890663,0.69658087,0.00045059
-1.28764382,1.82828854,0.03535106,0.07864707,0.40307661,0.92998507,0.11307482,0.56187264,0.71729215,0.00048248
-1.28164082,1.91462994,0.03625562,0.08170966,0.42239056,0.98032517,0.12041790,0.58303398,0.73676140,0.00051516
-1.27563782,1.99889674,0.03692662,0.08467845,0.44091034,1.03063097,0.12775816,0.60215369,0.75484791,0.00054845
