energy_ev,total_up,Mo_p_up,Mo_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
5.79589795,1.94889129,2.81406509,0.56224143,1.32227602,0.00054151,0.52969181,0.00000000
5.80190095,1.97100005,2.88897974,0.57236516,1.37953228,0.00055501,0.55485770,0.00000000
5.80790395,1.99452871,2.95569897,0.58352225,1.43104482,0.00056840,0.57908844,0.00000000
5.81390695,2.01849429,3.01308329,0.59542035,1.47603809,0.00058137,0.60197985,0.00000000
5.81990995,2.04190863,3.06015311,0.60775087,1.51383947,0.00059359,0.62314349,0.00000000
5.82591296,2.06379930,3.09610711,0.62019375,1.54389719,0.00060473,0.64221502,0.00000000
5.83191596,2.08322931,3.12033521,0.63242248,1.56579489,0.00061451,0.65886190,0.00000000
5.83791896,2.09931559,3.13242626,0.64410943,1.57926212,0.00062263,0.67279028,0.00000000
5.84392196,2.11124602,3.13217060,0.65493154,1.58418055,0.00062886,0.68375095,0.00000000
5.84992496,2.11829514,3.11955785,0.66457638,1.58058585,0.00063297,0.69154434,0.00000000
5.85592796,2.11983835,3.09477063,0.67274854,1.56866500,0.00063477,0.69602440,0.00000000
5.86193097,2.11536464,3.05817453,0.67917625,1.54874957,0.00063415,0.69710144,0.00000000
5.86793397,2.10448764,3.01030530,0.68361818,1.52130512,0.00063099,0.69474386,0.00000000
5.87393697,2.08695482,2.95185354,0.68587002,1.48691732,0.00062525,0.68897888,0.00000000
5.87993997,2.06265473,2.88364782,0.68577089,1.44627533,0.00061694,0.67989216,0.00000000
5.88594297,2.03162189,2.80663638,0.68320909,1.40015319,0.00060609,0.66762654,0.00000000
5.89194597,1.99403912,2.72186813,0.67812693,1.34938971,0.00059282,0.65237975,0.00000000
5.89794897,1.95023707,2.63047305,0.67052451,1.29486783,0.00057727,0.63440130,0.00000000
5.90395198,1.90069067,2.53364237,0.66046202,1.23749380,0.00055962,0.61398856,0.00000000
5.90995498,1.84601241,2.43260870,0.64806050,1.17817704,0.00054012,0.59148204,0.00000000
5.91595798,1.78694240,2.32862627,0.63350084,1.11781105,0.00051903,0.56726002,0.00000000
5.92196098,1.72433521,2.22295151,0.61702102,1.05725592,0.00049667,0.54173255,0.00000000
5.92796398,1.65914378,2.11682404,0.59891153,0.99732284,0.00047337,0.51533496,0.00000000
5.93396698,1.59240073,2.01144847,0.57950922,0.93876077,0.00044951,0.48852094,0.00000000
5.93996998,1.52519742,1.90797716,0.55918968,0.88224564,0.00042548,0.46175530,0.00000000
5.94597299,1.45866150,1.80749426,0.53835837,0.82837213,0.00040166,0.43550652,0.00000000
5.95197599,1.39393340,1.71100147,0.51744099,0.77764801,0.00037847,0.41023927,0.00000000
5.95797899,1.33214253,1.61940570,0.49687324,0.73049107,0.00035631,0.38640687,0.00000000
5.96398199,1.27438387,1.53350909,0.47709044,0.68722853,0.00033559,0.36444396,0.00000000
5.96998499,1.22169542,1.45400154,0.45851737,0.64809864,0.00031669,0.34475942,0.00000000
5.97598799,1.17503729,1.38145598,0.44155855,0.61325437,0.00029996,0.32772964,0.00000000
5.98199100,1.13527266,1.31632639,0.42658933,0.58276873,0.00028576,0.31369222,0.00000000
5.98799400,1.10315105,1.25894846,0.41394792,0.55664151,0.00027438,0.30294024,0.00000000
5.99399700,1.07929419,1.20954285,0.40392857,0.53480704,0.00026608,0.29571718,0.00000000
6.00000000,1.06418444,1.16822043,0.39677595,0.51714248,0.00026108,0.29221241,0.00000000
