energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-2.19409705,3.15214095,0.00897680,0.36343680,0.16518818,0.02745260,2.04502068,0.92050710,0.92314923
-2.18809405,3.18247613,0.00891016,0.36015407,0.17114122,0.02836023,2.07547063,0.93435868,0.93145612
-2.18209105,3.21692862,0.00888732,0.35735755,0.17755223,0.02924752,2.10833401,0.95014735,0.94049106
-2.17608804,3.25499563,0.00890882,0.35519762,0.18433211,0.03010887,2.14306079,0.96763527,0.95005256
-2.17008504,3.29614055,0.00897450,0.35382078,0.19138363,0.03093986,2.17909683,0.98657177,0.95993143
-2.16408204,3.33981759,0.00908350,0.35336644,0.19860417,0.03173733,2.21590502,1.00670209,0.96992128
-2.15807904,3.38549494,0.00923439,0.35396390,0.20588870,0.03249943,2.25298446,1.02777572,0.97982836
-2.15207604,3.43267482,0.00942520,0.35572947,0.21313273,0.03322562,2.28988659,1.04955375,0.98948002
-2.14607304,3.48090913,0.00965359,0.35876366,0.22023530,0.03391651,2.32622736,1.07181481,0.99873142
-2.14007004,3.52980951,0.00991680,0.36314840,0.22710163,0.03457370,2.36169461,1.09435942,1.00746985
-2.13406703,3.57905103,0.01021182,0.36894440,0.23364545,0.03519957,2.39605032,1.11701225,1.01561661
-2.12806403,3.62836903,0.01053534,0.37618844,0.23979086,0.03579691,2.42912754,1.13962241,1.02312619
-2.12206103,3.67754934,0.01088383,0.38489088,0.24547354,0.03636865,2.46082214,1.16206158,1.02998281
-2.11605803,3.72641228,0.01125351,0.39503311,0.25064133,0.03691742,2.49107995,1.18422017,1.03619470
-2.11005503,3.77479167,0.01164033,0.40656534,0.25525428,0.03744526,2.51988006,1.20600186,1.04178632
-2.10405203,3.82251021,0.01204000,0.41940464,0.25928390,0.03795322,2.54721548,1.22731675,1.04678932
-2.09804902,3.86935309,0.01244790,0.43343357,0.26271201,0.03844106,2.57307243,1.24807382,1.05123269
-2.09204602,3.91504203,0.01285909,0.44849933,0.26552912,0.03890706,2.59740966,1.26817311,1.05513294
-2.08604302,3.95921169,0.01326829,0.46441393,0.26773248,0.03934781,2.62013944,1.28749842,1.05848500
-2.08004002,4.00139076,0.01366986,0.48095526,0.26932406,0.03975816,2.64111150,1.30591093,1.06125462
-2.07403702,4.04098946,0.01405786,0.49786942,0.27030848,0.04013128,2.66010132,1.32324453,1.06337274
-2.06803402,4.07729504,0.01442604,0.51487432,0.27069120,0.04045882,2.67680360,1.33930314,1.06473249
-2.06203102,4.10947623,0.01476794,0.53166460,0.27047694,0.04073111,2.69083185,1.35386049,1.06518902
-2.05602801,4.13659714,0.01507701,0.54791786,0.26966861,0.04093754,2.70172413,1.36666245,1.06456232
-2.05002501,4.15764033,0.01534671,0.56330206,0.26826666,0.04106696,2.70895502,1.37743198,1.06264300
-2.04402201,4.17153822,0.01557068,0.57748390,0.26626905,0.04110816,2.71195320,1.38587646,1.05920069
-2.03801901,4.17721136,0.01574292,0.59013790,0.26367167,0.04105036,2.71012380,1.39169713,1.05399464
-2.03201601,4.17361165,0.01585795,0.60095583,0.26046924,0.04088372,2.70287417,1.39460001,1.04678593
-2.02601301,4.15976810,0.01591101,0.60965612,0.25665665,0.04059978,2.68964182,1.39430781,1.03735053
-2.02001001,4.13483255,0.01589824,0.61599272,0.25223049,0.04019196,2.66992268,1.39057215,1.02549249
-2.01400700,4.09812277,0.01581684,0.61976319,0.24719079,0.03965585,2.64329830,1.38318519,1.01105641
-2.00800400,4.04916039,0.01566518,0.62081535,0.24154270,0.03898952,2.60946016,1.37199029,0.99393849
-2.00200100,3.98770146,0.01544293,0.61905242,0.23529806,0.03819365,2.56823001,1.35689080,0.97409553
-1.99599800,3.91375795,0.01515107,0.61443618,0.22847670,0.03727163,2.51957485,1.33785667,0.95155128
-1.98999500,3.82760880,0.01479197,0.60698810,0.22110735,0.03622947,2.46361596,1.31492843,0.92639987
-1.98399200,3.72980020,0.01436927,0.59678828,0.21322817,0.03507566,2.40063155,1.28821845,0.89880610
-1.97798899,3.62113489,0.01388788,0.58397239,0.20488674,0.03382092,2.33105290,1.25790928,0.86900263
-1.97198599,3.50265136,0.01335377,0.56872659,0.19613961,0.03247787,2.25545447,1.22424949,0.83728425
-1.96598299,3.37559409,0.01277390,0.55128083,0.18705140,0.03106067,2.17453860,1.18754697,0.80399960
-1.95997999,3.24137659,0.01215595,0.53190086,0.17769349,0.02958455,2.08911574,1.14816046,0.76954079
-1.95397699,3.10153930,0.01150815,0.51087921,0.16814237,0.02806543,2.00008140,1.10648948,0.73433155
-1.94797399,2.95770448,0.01083904,0.48852580,0.15847785,0.02651945,1.90839106,1.06296345,0.69881447
-1.94197099,2.81153045,0.01015728,0.46515845,0.14878109,0.02496259,1.81503424,1.01803042,0.66343809
-1.93596798,2.66466734,0.00947137,0.44109373,0.13913264,0.02341030,1.72100910,0.97214605,0.62864433
-1.92996498,2.51871624,0.00878952,0.41663871,0.12961060,0.02187720,1.62729851,0.92576317,0.59485692
-1.92396198,2.37519343,0.00811944,0.39208362,0.12028893,0.02037682,1.53484863,0.87932249,0.56247124
