energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
1.18559280,1.37821875,-1.37821866,0.05898096,-0.05898096,0.20005093,-0.20005091,0.23629452,-0.23629448,0.09959662,-0.09959662,0.47416927,-0.47416919,0.65866695,-0.65866687,0.01125556,-0.01125556,0.27651948,-0.27651948
1.19159580,1.40629395,-1.40629384,0.05693424,-0.05693425,0.20638415,-0.20638413,0.25198321,-0.25198317,0.10012498,-0.10012498,0.48276394,-0.48276386,0.68057276,-0.68057268,0.01089821,-0.01089821,0.27782815,-0.27782814
1.19759880,1.43601962,-1.43601950,0.05478201,-0.05478202,0.21338012,-0.21338010,0.26843681,-0.26843676,0.10103962,-0.10103962,0.49242451,-0.49242441,0.70275928,-0.70275919,0.01068595,-0.01068595,0.27901827,-0.27901826
1.20360180,1.46737805,-1.46737791,0.05254038,-0.05254038,0.22102508,-0.22102505,0.28550020,-0.28550015,0.10232816,-0.10232816,0.50338833,-0.50338823,0.72516535,-0.72516526,0.01061969,-0.01061970,0.28016429,-0.28016428
1.20960480,1.50040940,-1.50040924,0.05022941,-0.05022941,0.22930347,-0.22930344,0.30299947,-0.30299942,0.10398056,-0.10398055,0.51589749,-0.51589738,0.74776214,-0.74776204,0.01070153,-0.01070153,0.28136646,-0.28136645
1.21560780,1.53520102,-1.53520085,0.04787242,-0.04787242,0.23819610,-0.23819607,0.32074346,-0.32074342,0.10598833,-0.10598832,0.53019046,-0.53019035,0.77054983,-0.77054973,0.01093454,-0.01093454,0.28274696,-0.28274694
1.22161081,1.57187511,-1.57187493,0.04549514,-0.04549514,0.24767841,-0.24767838,0.33852626,-0.33852622,0.10834369,-0.10834368,0.54649385,-0.54649373,0.79355347,-0.79355335,0.01132250,-0.01132250,0.28444505,-0.28444503
1.22761381,1.61057554,-1.61057535,0.04312481,-0.04312482,0.25771903,-0.25771900,0.35613064,-0.35613060,0.11103861,-0.11103859,0.56501417,-0.56501403,0.81681831,-0.81681819,0.01186960,-0.01186960,0.28661154,-0.28661152
1.23361681,1.65145445,-1.65145423,0.04078928,-0.04078929,0.26827873,-0.26827869,0.37333247,-0.37333242,0.11406385,-0.11406384,0.58593024,-0.58593009,0.84040496,-0.84040483,0.01258010,-0.01258010,0.28940270,-0.28940267
1.23961981,1.69465943,-1.69465920,0.03851610,-0.03851611,0.27930973,-0.27930969,0.38990590,-0.38990586,0.11740819,-0.11740818,0.60938638,-0.60938623,0.86438452,-0.86438439,0.01345790,-0.01345790,0.29297383,-0.29297380
1.24562281,1.74032183,-1.74032158,0.03633172,-0.03633173,0.29075561,-0.29075557,0.40562936,-0.40562931,0.12105762,-0.12105761,0.63548659,-0.63548642,0.88883407,-0.88883393,0.01450618,-0.01450618,0.29747288,-0.29747284
1.25162581,1.78854659,-1.78854633,0.03426074,-0.03426075,0.30255153,-0.30255149,0.42029187,-0.42029183,0.12499478,-0.12499476,0.66428988,-0.66428970,0.91383258,-0.91383243,0.01572700,-0.01572699,0.30303414,-0.30303409
