energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-4.91345673,8.38444569,0.07370551,0.77926785,0.47262390,2.31997441,5.19147371,2.91067959,0.00000000
-4.90745373,8.38224504,0.07710962,0.77130790,0.47987717,2.34025749,5.21222739,2.90630016,0.00000000
-4.90145073,8.39098349,0.08029560,0.76392215,0.48710684,2.36536072,5.23936468,2.90898991,0.00000000
-4.89544772,8.40984737,0.08321375,0.75695066,0.49414662,2.39445520,5.27261282,2.91834567,0.00000000
-4.88944472,8.43756212,0.08581701,0.75019408,0.50080819,2.42655651,5.31141444,2.93376491,0.00000000
-4.88344172,8.47243589,0.08806220,0.74342151,0.50688677,2.46055176,5.35494485,2.95446549,0.00000000
-4.87743872,8.51241707,0.08991110,0.73637973,0.51216764,2.49523143,5.40213793,2.97951071,0.00000000
-4.87143572,8.55516295,0.09133153,0.72880336,0.51643334,2.52932501,5.45171913,3.00783829,0.00000000
-4.86543272,8.59811647,0.09229819,0.72042553,0.51947144,2.56153868,5.50224395,3.03829203,0.00000000
-4.85942971,8.63858742,0.09279336,0.71098879,0.52108229,2.59059392,5.55214011,3.06965462,0.00000000
-4.85342671,8.67383483,0.09280748,0.70025566,0.52108655,2.61526521,5.59975167,3.10068034,0.00000000
-4.84742371,8.70114709,0.09233936,0.68801851,0.51933227,2.63441553,5.64338326,3.13012644,0.00000000
-4.84142071,8.71791713,0.09139636,0.67410818,0.51570092,2.64702829,5.68134304,3.15678215,0.00000000
-4.83541771,8.72170993,0.08999416,0.65840118,0.51011239,2.65223447,5.71198305,3.17949462,0.00000000
-4.82941471,8.71032099,0.08815650,0.64082492,0.50252861,2.64933426,5.73373605,3.19719136,0.00000000
-4.82341171,8.68182440,0.08591457,0.62136099,0.49295563,2.63781248,5.74514841,3.20889889,0.00000000
-4.81740870,8.63461025,0.08330629,0.60004620,0.48144410,2.61734758,5.74490860,3.21375774,0.00000000
-4.81140570,8.56741159,0.08037547,0.57697138,0.46808826,2.58781429,5.73187167,3.21103408,0.00000000
