energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.43571786,2.84765654,0.02404538,0.26110103,0.70284135,1.11428996,0.47249026,0.23646402,0.04593004,1.16407339
-5.42971486,2.91996811,0.02438419,0.26709487,0.71889072,1.15701690,0.48153605,0.24115196,0.04477659,1.18937395
-5.42371186,3.00089891,0.02467949,0.27371868,0.73704782,1.20354541,0.49185755,0.24675424,0.04366885,1.21848843
-5.41770885,3.09000582,0.02492631,0.28096157,0.75727252,1.25361316,0.50347371,0.25322126,0.04262266,1.25121514
-5.41170585,3.18677672,0.02512175,0.28881256,0.77950680,1.30692312,0.51640393,0.26049894,0.04165520,1.28731537
-5.40570285,3.29062902,0.02526496,0.29726003,0.80367125,1.36314695,0.53066458,0.26852822,0.04078440,1.32651193
-5.39969985,3.40091038,0.02535709,0.30629137,0.82966210,1.42192916,0.54626543,0.27724463,0.04002841,1.36848880
-5.39369685,3.51690236,0.02540120,0.31589244,0.85734884,1.48289248,0.56320618,0.28657795,0.03940508,1.41289239
-5.38769385,3.63782741,0.02540209,0.32604732,0.88657280,1.54564444,0.58147354,0.29645217,0.03893151,1.45933433
-5.38169085,3.76285963,0.02536620,0.33673805,0.91714698,1.60978503,0.60103860,0.30678559,0.03862373,1.50739622
-5.37568784,3.89113910,0.02530135,0.34794476,0.94885707,1.67491545,0.62185510,0.31749136,0.03849634,1.55663618
-5.36968484,4.02178955,0.02521655,0.35964583,0.98146398,1.74064763,0.64385823,0.32847830,0.03856238,1.60659702
-5.36368184,4.15393872,0.02512179,0.37181842,1.01470770,1.80661414,0.66696443,0.33965209,0.03883313,1.65681594
-5.35767884,4.28674032,0.02502776,0.38443908,1.04831233,1.87247803,0.69107181,0.35091686,0.03931809,1.70683507
-5.35167584,4.41939656,0.02494559,0.39748451,1.08199229,1.93794208,0.71606149,0.36217691,0.04002491,1.75621273
-5.34567284,4.55117985,0.02488661,0.41093237,1.11545915,2.00275696,0.74179942,0.37333881,0.04095941,1.80453440
-5.33966983,4.68145222,0.02486205,0.42476198,1.14842900,2.06672748,0.76813890,0.38431346,0.04212554,1.85142319
