energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-4.72736368,1.39633347,0.00009053,0.24512536,0.30605249,0.44417751,0.00934029,0.55015960,0.23193562,0.25308746
-4.72136068,1.43029264,0.00009033,0.25647773,0.31032388,0.45038162,0.00979501,0.56306296,0.24144223,0.25777031
-4.71535768,1.46722694,0.00009081,0.26904664,0.31479577,0.45734256,0.01030736,0.57645678,0.25195474,0.26313507
-4.70935468,1.50673395,0.00009191,0.28272857,0.31943750,0.46493346,0.01087413,0.59018868,0.26333383,0.26913409
-4.70335168,1.54842003,0.00009359,0.29739895,0.32422466,0.47304179,0.01149220,0.60413792,0.27543549,0.27571193
-4.69734867,1.59190308,0.00009583,0.31291233,0.32913744,0.48157163,0.01215864,0.61821751,0.28811161,0.28280475
-4.69134567,1.63681567,0.00009864,0.32910336,0.33415927,0.49044578,0.01287060,0.63237544,0.30121085,0.29034018
-4.68534267,1.68280899,0.00010206,0.34578883,0.33927570,0.49960741,0.01362539,0.64659513,0.31457994,0.29823769
-4.67933967,1.72955755,0.00010615,0.36277069,0.34447374,0.50902151,0.01442034,0.66089509,0.32806532,0.30640968
-4.67333667,1.77676490,0.00011099,0.37984007,0.34974170,0.51867605,0.01525283,0.67532777,0.34151515,0.31476323
-4.66733367,1.82416991,0.00011668,0.39678220,0.35506941,0.52858275,0.01612012,0.68997768,0.35478187,0.32320234
-4.66133067,1.87155362,0.00012335,0.41338210,0.36044897,0.53877746,0.01701934,0.70495875,0.36772494,0.33163075
-4.65532766,1.91874605,0.00013113,0.42943080,0.36587579,0.54932007,0.01794730,0.72041098,0.38021401,0.33995513
