energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-1.98399200,1.91103193,0.05056211,0.17259071,0.44048978,1.33087182,0.00000000,1.11592883,0.45397671
-1.97798899,1.91365858,0.05072833,0.16874072,0.44233510,1.33308916,0.00000000,1.10469930,0.45496706
-1.97198599,1.90931629,0.05063349,0.16423277,0.44242530,1.33065819,0.00000000,1.08891352,0.45458716
-1.96598299,1.89801134,0.05028677,0.15911382,0.44077323,1.32354802,0.00000000,1.06878497,0.45281982
-1.95997999,1.87983856,0.04970116,0.15344216,0.43741578,1.31178363,0.00000000,1.04458863,0.44966210
-1.95397699,1.85497681,0.04889293,0.14728546,0.43241121,1.29544516,0.00000000,1.01665312,0.44512473
-1.94797399,1.82368324,0.04788100,0.14071866,0.42583621,1.27466643,0.00000000,0.98535184,0.43923145
-1.94197099,1.78628658,0.04668632,0.13382164,0.41778273,1.24963275,0.00000000,0.95109321,0.43201828
-1.93596798,1.74317987,0.04533120,0.12667693,0.40835496,1.22057821,0.00000000,0.91431082,0.42353292
-1.92996498,1.69481303,0.04383878,0.11936749,0.39766646,1.18778263,0.00000000,0.87545355,0.41383415
-1.92396198,1.64168540,0.04223246,0.11197457,0.38583752,1.15156807,0.00000000,0.83497631,0.40299133
-1.91795898,1.58433856,0.04053550,0.10457582,0.37299300,1.11229514,0.00000000,0.79333161,0.39108405
-1.91195598,1.52334953,0.03877063,0.09724374,0.35926052,1.07035910,0.00000000,0.75096221,0.37820174
-1.90595298,1.45932431,0.03695981,0.09004441,0.34476904,1.02618568,0.00000000,0.70829496,0.36444338
-1.89994997,1.39289181,0.03512405,0.08303655,0.32964782,0.98022669,0.00000000,0.66573610,0.34991715
-1.89394697,1.32469805,0.03328332,0.07627104,0.31402570,0.93295532,0.00000000,0.62366762,0.33473994
-1.88794397,1.25540046,0.03145651,0.06979063,0.29803055,0.88486118,0.00000000,0.58244503,0.31903683
-1.88194097,1.18566213,0.02966143,0.06363017,0.28178887,0.83644483,0.00000000,0.54239600,0.30294021
-1.87593797,1.11614600,0.02791488,0.05781694,0.26542541,0.78821206,0.00000000,0.50381996,0.28658877
