energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
0.22511256,7.46645999,0.21073464,0.50891295,4.76484553,1.99474111,0.08468342,3.01770392,0.68537889,0.00007886
0.23111556,7.20431507,0.21139157,0.48987128,4.65527013,1.92712686,0.08190026,2.91680587,0.64829608,0.00007775
0.23711856,6.93097405,0.21168595,0.46992082,4.53439516,1.85693083,0.07928291,2.81028448,0.61104814,0.00007640
0.24312156,6.64914917,0.21155008,0.44928067,4.40341156,1.78481551,0.07684559,2.69930768,0.57406261,0.00007484
0.24912456,6.36156969,0.21093043,0.42816860,4.26361823,1.71144368,0.07460248,2.58506632,0.53774046,0.00007309
0.25512756,6.07092968,0.20978923,0.40679614,4.11639904,1.63746630,0.07256697,2.46875209,0.50244785,0.00007119
0.26113057,5.77984129,0.20810528,0.38536455,3.96320059,1.56351175,0.07075094,2.35153783,0.46850942,0.00006916
0.26713357,5.49079470,0.20587407,0.36406139,3.80551071,1.49017676,0.06916392,2.23456082,0.43620328,0.00006704
0.27313657,5.20612507,0.20310710,0.34305798,3.64483805,1.41801896,0.06781243,2.11890928,0.40575774,0.00006485
0.27913957,4.92798655,0.19983059,0.32250746,3.48269251,1.34755117,0.06669921,2.00561213,0.37734969,0.00006263
0.28514257,4.65833324,0.19608352,0.30254355,3.32056669,1.27923718,0.06582259,1.89563183,0.35110456,0.00006041
0.29114557,4.39890653,0.19191521,0.28327986,3.15991826,1.21348904,0.06517604,1.78986005,0.32709773,0.00005821
0.29714857,4.15122813,0.18738258,0.26480966,3.00215324,1.15066562,0.06474769,1.68911570,0.30535714,0.00005605
0.30315158,3.91659821,0.18254716,0.24720609,2.84861038,1.09107231,0.06452021,1.59414484,0.28586699,0.00005398
0.30915458,3.69609778,0.17747210,0.23052271,2.70054665,1.03496157,0.06447074,1.50562188,0.26857217,0.00005200
0.31515758,3.49059475,0.17221942,0.21479441,2.55912410,0.98253449,0.06457110,1.42415168,0.25338340,0.00005014
0.32116058,3.30075284,0.16684741,0.20003852,2.42539841,0.93394285,0.06478824,1.35027178,0.24018275,0.00004843
0.32716358,3.12704300,0.16140862,0.18625622,2.30030920,0.88929188,0.06508485,1.28445459,0.22882935,0.00004688
0.33316658,2.96975648,0.15594828,0.17343418,2.18467239,0.84864343,0.06542029,1.22710893,0.21916525,0.00004552
0.33916958,2.82901939,0.15050343,0.16154642,2.07917484,0.81201959,0.06575158,1.17858066,0.21102116,0.00004435
0.34517259,2.70480804,0.14510263,0.15055636,1.98437112,0.77940655,0.06603471,1.13915231,0.20422192,0.00004341
0.35117559,2.59696465,0.13976633,0.14041902,1.90068262,0.75075863,0.06622593,1.10904146,0.19859175,0.00004269
0.35717859,2.50521306,0.13450782,0.13108343,1.82839864,0.72600241,0.06628318,1.08839787,0.19395896,0.00004221
0.36318159,2.42917397,0.12933468,0.12249505,1.76767944,0.70504080,0.06616747,1.07729957,0.19016020,0.00004200
0.36918459,2.36837924,0.12425061,0.11459827,1.71856078,0.68775689,0.06584429,1.07574805,0.18704404,0.00004204
0.37518759,2.32228512,0.11925751,0.10733891,1.68095977,0.67401754,0.06528477,1.08366279,0.18447400,0.00004237
0.38119060,2.29028395,0.11435767,0.10066659,1.65468166,0.66367661,0.06446675,1.10087573,0.18233074,0.00004298
0.38719360,2.27171440,0.10955593,0.09453696,1.63942725,0.65657767,0.06337558,1.12712590,0.18051369,0.00004389
0.39319660,2.26587014,0.10486167,0.08891375,1.63480081,0.65255627,0.06200468,1.16205498,0.17894185,0.00004510
0.39919960,2.27200722,0.10029044,0.08377048,1.64031823,0.65144171,0.06035576,1.20520429,0.17755395,0.00004663
0.40520260,2.28935022,0.09586533,0.07909190,1.65541547,0.65305839,0.05843879,1.25601370,0.17630800,0.00004848
0.41120560,2.31709789,0.09161771,0.07487512,1.67945730,0.65722678,0.05627163,1.31382304,0.17518028,0.00005065
0.41720860,2.35442837,0.08758752,0.07113026,1.71174629,0.66376421,0.05387941,1.37787653,0.17416377,0.00005316
0.42321161,2.40050475,0.08382305,0.06788085,1.75153243,0.67248547,0.05129371,1.44733032,0.17326631,0.00005602
0.42921461,2.45448119,0.08038011,0.06516382,1.79802314,0.68320346,0.04855150,1.52126360,0.17250840,0.00005922
