energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-5.30965483,1.33678891,-1.33678893,0.00067652,-0.00067652,0.12718532,-0.12718533,0.25517968,-0.25517968,0.37901837,-0.37901840,0.01464744,-0.01464744,0.65367764,-0.65367763,0.28964647,-0.28964647,0.19328018,-0.19328019
-5.30365183,1.33822594,-1.33822596,0.00076355,-0.00076355,0.13309965,-0.13309966,0.25329174,-0.25329174,0.39047007,-0.39047010,0.01435111,-0.01435111,0.64401887,-0.64401886,0.28290135,-0.28290134,0.19487095,-0.19487095
-5.29764882,1.33983187,-1.33983189,0.00086015,-0.00086015,0.13920478,-0.13920479,0.25115015,-0.25115015,0.40240616,-0.40240619,0.01401596,-0.01401596,0.63429314,-0.63429313,0.27644065,-0.27644065,0.19635174,-0.19635174
-5.29164582,1.34281167,-1.34281169,0.00096666,-0.00096666,0.14555934,-0.14555935,0.24897790,-0.24897789,0.41503132,-0.41503135,0.01365599,-0.01365599,0.62521408,-0.62521407,0.27062920,-0.27062919,0.19789009,-0.19789009
-5.28564282,1.34840345,-1.34840347,0.00108323,-0.00108323,0.15222656,-0.15222657,0.24700672,-0.24700672,0.42855181,-0.42855183,0.01328619,-0.01328619,0.61750796,-0.61750796,0.26582831,-0.26582831,0.19966591,-0.19966591
-5.27963982,1.35784480,-1.35784482,0.00120984,-0.00120984,0.15927256,-0.15927257,0.24547100,-0.24547100,0.44316913,-0.44316916,0.01292220,-0.01292220,0.61189426,-0.61189425,0.26238622,-0.26238622,0.20186626,-0.20186626
-5.27363682,1.37233881,-1.37233884,0.00134619,-0.00134619,0.16676446,-0.16676447,0.24460163,-0.24460163,0.45907407,-0.45907410,0.01257989,-0.01257989,0.60906628,-0.60906628,0.26062881,-0.26062881,0.20467973,-0.20467973
-5.26763382,1.39302112,-1.39302116,0.00149172,-0.00149172,0.17476853,-0.17476854,0.24462016,-0.24462017,0.47644123,-0.47644126,0.01227493,-0.01227493,0.60967249,-0.60967250,0.26085106,-0.26085107,0.20829048,-0.20829048
-5.26163082,1.42092865,-1.42092870,0.00164557,-0.00164557,0.18334844,-0.18334845,0.24573334,-0.24573334,0.49542427,-0.49542430,0.01202238,-0.01202238,0.61429878,-0.61429879,0.26330944,-0.26330945,0.21287217,-0.21287217
-5.25562781,1.45697117,-1.45697123,0.00180659,-0.00180659,0.19256360,-0.19256362,0.24812832,-0.24812833,0.51615218,-0.51615221,0.01183625,-0.01183625,0.62345238,-0.62345239,0.26821523,-0.26821524,0.21858200,-0.21858201
-5.24962481,1.50190625,-1.50190631,0.00197330,-0.00197330,0.20246777,-0.20246779,0.25196860,-0.25196861,0.53872646,-0.53872650,0.01172913,-0.01172913,0.63754767,-0.63754769,0.27572908,-0.27572909,0.22555505,-0.22555506
-5.24362181,1.55631830,-1.55631837,0.00214392,-0.00214392,0.21310789,-0.21310790,0.25739081,-0.25739082,0.56321941,-0.56321945,0.01171176,-0.01171176,0.65689426,-0.65689428,0.28595677,-0.28595678,0.23389909,-0.23389910
-5.23761881,1.62060218,-1.62060226,0.00231640,-0.00231640,0.22452314,-0.22452316,0.26450242,-0.26450243,0.58967336,-0.58967341,0.01179275,-0.01179275,0.68168754,-0.68168757,0.29894633,-0.29894634,0.24369003,-0.24369005
-5.23161581,1.69495157,-1.69495167,0.00248845,-0.00248845,0.23674435,-0.23674437,0.27338035,-0.27338036,0.61810093,-0.61810097,0.01197822,-0.01197822,0.71200208,-0.71200211,0.31468647,-0.31468649,0.25496827,-0.25496829
-5.22561281,1.77935241,-1.77935252,0.00265758,-0.00265758,0.24979351,-0.24979353,0.28407058,-0.28407060,0.64848586,-0.64848591,0.01227164,-0.01227164,0.74778785,-0.74778789,0.33310637,-0.33310639,0.26773593,-0.26773594
-5.21960980,1.87358122,-1.87358134,0.00282116,-0.00282116,0.26368355,-0.26368357,0.29658853,-0.29658855,0.68078464,-0.68078469,0.01267362,-0.01267362,0.78886946,-0.78886951,0.35407679,-0.35407681,0.28195516,-0.28195518
-5.21360680,1.97720842,-1.97720855,0.00297650,-0.00297650,0.27841823,-0.27841825,0.31092023,-0.31092025,0.71492824,-0.71492829,0.01318181,-0.01318181,0.83494843,-0.83494848,0.37741253,-0.37741256,0.29754765,-0.29754767
-5.20760380,2.08960624,-2.08960638,0.00312093,-0.00312093,0.29399210,-0.29399212,0.32702421,-0.32702423,0.75082422,-0.75082427,0.01379089,-0.01379089,0.88560842,-0.88560848,0.40287609,-0.40287612,0.31439522,-0.31439524
-5.20160080,2.20996101,-2.20996116,0.00325185,-0.00325185,0.31039045,-0.31039047,0.34483385,-0.34483387,0.78835855,-0.78835860,0.01449268,-0.01449268,0.94032335,-0.94032341,0.43018251,-0.43018254,0.33234168,-0.33234171
-5.19559780,2.33728936,-2.33728951,0.00336684,-0.00336684,0.32758926,-0.32758928,0.36426014,-0.36426016,0.82739739,-0.82739744,0.01527621,-0.01527621,0.99846829,-0.99846835,0.45900533,-0.45900536,0.35119577,-0.35119579
-5.18959480,2.47045796,-2.47045812,0.00346373,-0.00346373,0.34555509,-0.34555511,0.38519476,-0.38519478,0.86778838,-0.86778844,0.01612806,-0.01612806,1.05933274,-1.05933281,0.48898343,-0.48898346,0.37073517,-0.37073519
-5.18359180,2.60820621,-2.60820638,0.00354066,-0.00354066,0.36424485,-0.36424487,0.40751313,-0.40751316,0.90936164,-0.90936170,0.01703261,-0.01703261,1.12213618,-1.12213625,0.51972876,-0.51972879,0.39071158,-0.39071160
-5.17758879,2.74917140,-2.74917157,0.00359616,-0.00359616,0.38360553,-0.38360556,0.43107763,-0.43107765,0.95193026,-0.95193032,0.01797248,-0.01797248,1.18604534,-1.18604541,0.55083464,-0.55083467,0.41085649,-0.41085651
-5.17158579,2.89191570,-2.89191587,0.00362917,-0.00362917,0.40357395,-0.40357398,0.45574053,-0.45574056,0.99529064,-0.99529070,0.01892899,-0.01892899,1.25019290,-1.25019297,0.58188454,-0.58188457,0.43088771,-0.43088774
-5.16558279,3.03495452,-3.03495468,0.00363910,-0.00363910,0.42407645,-0.42407647,0.48134689,-0.48134692,1.03922252,-1.03922258,0.01988270,-0.01988271,1.31369700,-1.31369706,0.61246110,-0.61246113,0.45051636,-0.45051638
-5.15957979,3.17678550,-3.17678566,0.00362587,-0.00362587,0.44502871,-0.44502874,0.50773705,-0.50773708,1.08348912,-1.08348918,0.02081397,-0.02081397,1.37568112,-1.37568118,0.64215512,-0.64215515,0.46945407,-0.46945409
-5.15357679,3.31591768,-3.31591784,0.00358984,-0.00358984,0.46633586,-0.46633589,0.53474900,-0.53474903,1.12783754,-1.12783760,0.02170353,-0.02170353,1.43529381,-1.43529387,0.67057435,-0.67057437,0.48742033,-0.48742035
-5.14757379,3.45090018,-3.45090034,0.00353188,-0.00353188,0.48789270,-0.48789273,0.56222033,-0.56222036,1.17199965,-1.17199971,0.02253311,-0.02253312,1.49172752,-1.49172758,0.69735178,-0.69735181,0.50414954,-0.50414955
-5.14157079,3.58034988,-3.58035002,0.00345329,-0.00345329,0.50958445,-0.50958447,0.58999002,-0.58999005,1.21569367,-1.21569373,0.02328601,-0.02328601,1.54423629,-1.54423634,0.72215329,-0.72215331,0.51939777,-0.51939779
-5.13556778,3.70297749,-3.70297762,0.00335577,-0.00335577,0.53128781,-0.53128784,0.61789995,-0.61789998,1.25862674,-1.25862680,0.02394758,-0.02394758,1.59215151,-1.59215155,0.74468429,-0.74468431,0.53294888,-0.53294890
-5.12956478,3.81761171,-3.81761184,0.00324135,-0.00324135,0.55287265,-0.55287267,0.64579627,-0.64579630,1.30049847,-1.30049853,0.02450577,-0.02450577,1.63489556,-1.63489559,0.76469541,-0.76469543,0.54461981,-0.54461982
-5.12356178,3.92322077,-3.92322089,0.00311239,-0.00311239,0.57420405,-0.57420408,0.67353068,-0.67353071,1.34100571,-1.34100577,0.02495151,-0.02495151,1.67199282,-1.67199285,0.78198691,-0.78198692,0.55426499,-0.55426500
-5.11755878,4.01893115,-4.01893125,0.00297143,-0.00297143,0.59514499,-0.59514502,0.70096165,-0.70096168,1.37984833,-1.37984838,0.02527895,-0.02527895,1.70307793,-1.70307795,0.79641176,-0.79641177,0.56177966,-0.56177967
-5.11155578,4.10404304,-4.10404313,0.00282116,-0.00282116,0.61555936,-0.61555939,0.72795567,-0.72795569,1.41673599,-1.41673604,0.02548578,-0.02548578,1.72790099,-1.72790100,0.80787745,-0.80787746,0.56710205,-0.56710205
