energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
4.89544772,1.43088020,2.90408536,0.00903075,0.00717674,0.06185408,0.28522010,0.06872122,0.06253476,0.18396512
4.90145073,1.47604325,2.98775501,0.00919333,0.00736386,0.06693162,0.31063656,0.07181478,0.06556760,0.19323246
4.90745373,1.52521798,3.07698972,0.00937047,0.00764342,0.07221645,0.33940265,0.07505165,0.06882029,0.20321531
4.91345673,1.57820687,3.17124193,0.00956036,0.00801884,0.07770302,0.37163492,0.07842046,0.07228447,0.21390223
4.91945973,1.63474645,3.26987497,0.00976097,0.00849196,0.08338318,0.40739624,0.08190797,0.07594788,0.22527087
4.92546273,1.69450647,3.37216891,0.00997006,0.00906288,0.08924505,0.44668539,0.08549875,0.07979399,0.23728636
4.93146573,1.75708671,3.47732101,0.01018525,0.00972984,0.09527191,0.48942663,0.08917484,0.08380158,0.24989940
4.93746873,1.82201187,3.58444109,0.01040401,0.01048908,0.10144095,0.53546003,0.09291525,0.08794427,0.26304425
4.94347174,1.88872524,3.69254305,0.01062368,0.01133471,0.10772213,0.58453309,0.09669541,0.09219003,0.27663664
4.94947474,1.95658209,3.80053423,0.01084143,0.01225870,0.11407717,0.63629427,0.10048663,0.09650086,0.29057205
4.95547774,2.02484424,3.90720483,0.01105427,0.01325077,0.12045877,0.69028932,0.10425562,0.10083255,0.30472425
4.96148074,2.09267687,4.01121989,0.01125899,0.01429849,0.12681023,0.74596087,0.10796413,0.10513470,0.31894473
4.96748374,2.15914913,4.11111619,0.01145215,0.01538733,0.13306540,0.80265186,0.11156888,0.10935094,0.33306285
4.97348674,2.22323958,4.20530662,0.01163011,0.01650086,0.13914925,0.85961329,0.11502164,0.11341959,0.34688712
4.97948974,2.28384737,4.29209359,0.01178898,0.01762099,0.14497885,0.91601630,0.11826979,0.11727453,0.36020776
4.98549275,2.33980973,4.36969288,0.01192472,0.01872833,0.15046501,0.97096866,0.12125711,0.12084653,0.37280034
4.99149575,2.38992576,4.43626820,0.01203318,0.01980257,0.15551432,1.02353542,0.12392495,0.12406485,0.38443076
4.99749875,2.43298610,4.48997608,0.01211018,0.02082298,0.16003178,1.07276288,0.12621379,0.12685913,0.39486123
5.00350175,2.46780756,4.52901951,0.01215164,0.02176896,0.16392370,1.11770548,0.12806496,0.12916157,0.40385723
5.00950475,2.49327133,4.55170837,0.01215370,0.02262060,0.16710085,1.15745415,0.12942268,0.13090914,0.41119501
5.01550775,2.50836284,4.55652338,0.01211288,0.02335928,0.16948175,1.19116536,0.13023616,0.13204587,0.41666937
5.02151076,2.51221148,4.54218041,0.01202625,0.02396821,0.17099587,1.21808917,0.13046164,0.13252506,0.42010137
5.02751376,2.50412777,4.50769119,0.01189152,0.02443303,0.17158656,1.23759535,0.13006439,0.13231124,0.42134545
5.03351676,2.48363602,4.45241693,0.01170724,0.02474220,0.17121365,1.24919596,0.12902049,0.13138182,0.42029576
5.03951976,2.45050032,4.37611125,0.01147286,0.02488749,0.16985544,1.25256354,0.12731815,0.12972834,0.41689117
5.04552276,2.40474244,4.27894959,0.01118884,0.02486416,0.16751009,1.24754382,0.12495877,0.12735722,0.41111871
