energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-3.85692846,0.55487557,0.26652059,0.24410027,0.00000195,0.05737009,0.00000033,0.33251262,0.12613867,0.01973961
-3.85092546,0.56742627,0.27775554,0.25339161,0.00000261,0.05597620,0.00000044,0.33980588,0.12062642,0.02061100
-3.84492246,0.58045058,0.28894237,0.26226281,0.00000348,0.05477660,0.00000058,0.34767570,0.11577796,0.02156670
-3.83891946,0.59341652,0.29978226,0.27048507,0.00000460,0.05374205,0.00000077,0.35576115,0.11153817,0.02258240
-3.83291646,0.60579527,0.30998069,0.27784023,0.00000604,0.05283893,0.00000101,0.36369867,0.10784111,0.02363527
-3.82691346,0.61707580,0.31925499,0.28412691,0.00000787,0.05203070,0.00000132,0.37113107,0.10461284,0.02470465
-3.82091046,0.62677965,0.32734193,0.28916627,0.00001019,0.05127923,0.00000171,0.37771673,0.10177453,0.02577290
-3.81490745,0.63447520,0.33400497,0.29280737,0.00001309,0.05054630,0.00000219,0.38313869,0.09924568,0.02682614
-3.80890445,0.63979088,0.33904106,0.29493171,0.00001670,0.04979505,0.00000280,0.38711322,0.09694727,0.02785493
-3.80290145,0.64242670,0.34228654,0.29545690,0.00002115,0.04899129,0.00000354,0.38939764,0.09480483,0.02885492
-3.79689845,0.64216361,0.34362188,0.29433913,0.00002660,0.04810469,0.00000446,0.38979687,0.09275111,0.02982735
-3.79089545,0.63887015,0.34297514,0.29157451,0.00003320,0.04710981,0.00000556,0.38816852,0.09072845,0.03077932
-3.78489245,0.63250616,0.34032380,0.28719895,0.00004115,0.04598684,0.00000689,0.38442625,0.08869056,0.03172396
-3.77888944,0.62312320,0.33569502,0.28128688,0.00005064,0.04472212,0.00000848,0.37854128,0.08660380,0.03268027
-3.77288644,0.61086176,0.32916421,0.27394851,0.00006186,0.04330836,0.00001036,0.37054185,0.08444776,0.03367271
-3.76688344,0.59594521,0.32085192,0.26532608,0.00007503,0.04174464,0.00001257,0.36051089,0.08221533,0.03473057
-3.76088044,0.57867085,0.31091926,0.25558896,0.00009035,0.04003608,0.00001513,0.34858169,0.07991203,0.03588697
-3.75487744,0.55939829,0.29956202,0.24492798,0.00010801,0.03819339,0.00001809,0.33493217,0.07755484,0.03717771
-3.74887444,0.53853575,0.28700370,0.23354920,0.00012821,0.03623212,0.00002147,0.31977762,0.07517059,0.03863977
-3.74287144,0.51652490,0.27348778,0.22166729,0.00015108,0.03417184,0.00002531,0.30336257,0.07279384,0.04030965
-3.73686843,0.49382468,0.25926954,0.20949890,0.00017676,0.03203517,0.00002961,0.28595195,0.07046452,0.04222163
-3.73086543,0.47089504,0.24460781,0.19725613,0.00020532,0.02984681,0.00003439,0.26782207,0.06822544,0.04440583
