energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-4.49924962,1.17628421,0.00451447,0.05871466,0.33258441,0.56392523,0.50067177,0.00000000
-4.49324662,1.13253215,0.00441454,0.05724366,0.32186602,0.53799954,0.48488573,0.00000000
-4.48724362,1.08704079,0.00429516,0.05551248,0.31033158,0.51204927,0.46799974,0.00000000
-4.48124062,1.04039921,0.00416054,0.05355409,0.29818679,0.48623058,0.45035400,0.00000000
-4.47523762,0.99328403,0.00401529,0.05140641,0.28565624,0.46074807,0.43232086,0.00000000
-4.46923462,0.94643717,0.00386434,0.04911103,0.27297733,0.43584491,0.41429486,0.00000000
-4.46323162,0.90064148,0.00371280,0.04671188,0.26039396,0.41179184,0.39668199,0.00000000
-4.45722861,0.85669516,0.00356576,0.04425393,0.24814996,0.38887528,0.37988852,0.00000000
-4.45122561,0.81538594,0.00342822,0.04178179,0.23648254,0.36738530,0.36430974,0.00000000
-4.44522261,0.77746564,0.00330489,0.03933853,0.22561593,0.34760366,0.35031877,0.00000000
-4.43921961,0.74362609,0.00320006,0.03696450,0.21575539,0.32979252,0.33825597,0.00000000
-4.43321661,0.71447687,0.00311754,0.03469634,0.20708169,0.31418401,0.32841900,0.00000000
-4.42721361,0.69052554,0.00306045,0.03256615,0.19974622,0.30097102,0.32105384,0.00000000
-4.42121061,0.67216072,0.00303123,0.03060079,0.19386686,0.29029938,0.31634705,0.00000000
-4.41520760,0.65963858,0.00303148,0.02882146,0.18952462,0.28226161,0.31441936,0.00000000
-4.40920460,0.65307278,0.00306200,0.02724337,0.18676123,0.27689238,0.31532087,0.00000000
-4.40320160,0.65242837,0.00312265,0.02587566,0.18557768,0.27416574,0.31902792,0.00000000
-4.39719860,0.65751967,0.00321246,0.02472144,0.18593378,0.27399415,0.32544186,0.00000000
-4.39119560,0.66801225,0.00332957,0.02377799,0.18774879,0.27622932,0.33438976,0.00000000
-4.38519260,0.68342911,0.00347130,0.02303719,0.19090307,0.28066491,0.34562715,0.00000000
-4.37918959,0.70316095,0.00363419,0.02248595,0.19524090,0.28704085,0.35884289,0.00000000
-4.37318659,0.72648039,0.00381415,0.02210682,0.20057421,0.29504945,0.37366594,0.00000000
-4.36718359,0.75255997,0.00400647,0.02187870,0.20668740,0.30434290,0.38967424,0.00000000
-4.36118059,0.78049341,0.00420606,0.02177759,0.21334300,0.31454218,0.40640527,0.00000000
-4.35517759,0.80931975,0.00440748,0.02177737,0.22028809,0.32524707,0.42336818,0.00000000
-4.34917459,0.83804964,0.00460519,0.02185066,0.22726133,0.33604700,0.44005714,0.00000000
-4.34317159,0.86569311,0.00479362,0.02196965,0.23400037,0.34653240,0.45596554,0.00000000
-4.33716858,0.89128786,0.00496743,0.02210692,0.24024943,0.35630630,0.47060053,0.00000000
-4.33116558,0.91392718,0.00512160,0.02223621,0.24576678,0.36499573,0.48349747,0.00000000
-4.32516258,0.93278655,0.00525160,0.02233316,0.25033192,0.37226247,0.49423372,0.00000000
-4.31915958,0.94714788,0.00535356,0.02237593,0.25375211,0.37781304,0.50244121,0.00000000
