energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
1.07153577,3.35780957,0.74680422,1.56273782,0.01413753,0.22320960,0.29037426,0.00000000,0.44818078,1.26724647
1.07753877,3.28078002,0.74039976,1.49050270,0.01344192,0.22352670,0.29436637,0.00000000,0.45536487,1.26635882
1.08354177,3.20904354,0.73538323,1.42088059,0.01289000,0.22323394,0.29733352,0.00000000,0.46355275,1.26954650
1.08954477,3.14333743,0.73188922,1.35464620,0.01248224,0.22229763,0.29918015,0.00000000,0.47276008,1.27676401
1.09554777,3.08422212,0.72999894,1.29246643,0.01221628,0.22069506,0.29983142,0.00000000,0.48297996,1.28787871
1.10155078,3.03207049,0.72973684,1.23488678,0.01208711,0.21841552,0.29923578,0.00000000,0.49418036,1.30267335
1.10755378,2.98706172,0.73106867,1.18232140,0.01208717,0.21546100,0.29736681,0.00000000,0.50630188,1.32084996
1.11355678,2.94917985,0.73390114,1.13504710,0.01220663,0.21184628,0.29422421,0.00000000,0.51925626,1.34203509
1.11955978,2.91821694,0.73808326,1.09320117,0.01243370,0.20759856,0.28983386,0.00000000,0.53292553,1.36578629
1.12556278,2.89378095,0.74340926,1.05678339,0.01275500,0.20275655,0.28424697,0.00000000,0.54716202,1.39159980
1.13156578,2.87530819,0.74962322,1.02566167,0.01315600,0.19736911,0.27753842,0.00000000,0.56178939,1.41891955
1.13756878,2.86208036,0.75642534,0.99958149,0.01362152,0.19149357,0.26980424,0.00000000,0.57660470,1.44714747
1.14357179,2.85324603,0.76347982,0.97817850,0.01413627,0.18519372,0.26115855,0.00000000,0.59138163,1.47565508
1.14957479,2.84784611,0.77042416,0.96099417,0.01468544,0.17853773,0.25172996,0.00000000,0.60587481,1.50379649
1.15557779,2.84484314,0.77687979,0.94749371,0.01525524,0.17159597,0.24165769,0.00000000,0.61982522,1.53092260
1.16158079,2.84315357,0.78246378,0.93708593,0.01583356,0.16443893,0.23108756,0.00000000,0.63296660,1.55639624
1.16758379,2.84168228,0.78680116,0.92914435,0.01641050,0.15713542,0.22016805,0.00000000,0.64503265,1.57960812
1.17358679,2.83935853,0.78953777,0.92302884,0.01697895,0.14975089,0.20904655,0.00000000,0.65576470,1.59999304
1.17958979,2.83517204,0.79035296,0.91810722,0.01753498,0.14234625,0.19786597,0.00000000,0.66491976,1.61704586
1.18559280,2.82820800,0.78897180,0.91377616,0.01807831,0.13497695,0.18676185,0.00000000,0.67227845,1.63033661
1.19159580,2.81767985,0.78517632,0.90948060,0.01861254,0.12769250,0.17585992,0.00000000,0.67765259,1.63952422
1.19759880,2.80295837,0.77881534,0.90473132,0.01914529,0.12053637,0.16527431,0.00000000,0.68089201,1.64436804
1.20360180,2.78359603,0.76981237,0.89911989,0.01968821,0.11354615,0.15510629,0.00000000,0.68189038,1.64473670
