energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-3.96498249,10.15409974,0.02548507,0.16939806,0.68673720,1.30097156,2.79983799,7.09123380,0.04576323,1.79549116
-3.95897949,10.24586216,0.02628535,0.17265487,0.68752409,1.30124533,2.85803540,7.17721897,0.04507245,1.78983421
-3.95297649,10.32432849,0.02707002,0.17574305,0.68675393,1.29998804,2.91190954,7.25510025,0.04431122,1.78009250
-3.94697349,10.39038007,0.02783612,0.17866179,0.68459968,1.29761473,2.96125537,7.32491146,0.04349873,1.76687277
-3.94097049,10.44508725,0.02858029,0.18141445,0.68125911,1.29457133,3.00594385,7.38678195,0.04265489,1.75085290
-3.93496748,10.48964705,0.02929874,0.18400806,0.67694629,1.29131599,3.04591698,7.44091347,0.04179969,1.73275642
-3.92896448,10.52531920,0.02998716,0.18645275,0.67188293,1.28830032,3.08118154,7.48755606,0.04095266,1.71332652
-3.92296148,10.55336376,0.03064079,0.18876105,0.66628999,1.28595141,3.11180176,7.52698435,0.04013231,1.69330038
-3.91695848,10.57498294,0.03125441,0.19094720,0.66037982,1.28465528,3.13789146,7.55947562,0.03935569,1.67338497
-3.91095548,10.59126998,0.03182251,0.19302641,0.65434911,1.28474243,3.15960603,7.58529088,0.03863790,1.65423497
-3.90495248,10.60316685,0.03233943,0.19501421,0.64837301,1.28647603,3.17713468,7.60465971,0.03799189,1.63643366
-3.89894947,10.61143252,0.03279950,0.19692577,0.64260041,1.29004306,3.19069303,7.61776970,0.03742812,1.62047736
-3.89294647,10.61662239,0.03319734,0.19877531,0.63715065,1.29554878,3.20051650,7.62476072,0.03695452,1.60676362
-3.88694347,10.61907937,0.03352805,0.20057563,0.63211161,1.30301448,3.20685428,7.62572394,0.03657638,1.59558356
-3.88094047,10.61893584,0.03378745,0.20233764,0.62753914,1.31237855,3.20996417,7.62070532,0.03629646,1.58711814
-3.87493747,10.61612577,0.03397239,0.20407001,0.62345782,1.32350057,3.21010804,7.60971294,0.03611511,1.58143850
-3.86893447,10.61040528,0.03408087,0.20577896,0.61986289,1.33616817,3.20754786,7.59272707,0.03603048,1.57850985
-3.86293147,10.60138000,0.03411228,0.20746801,0.61672311,1.35010619,3.20254216,7.56971225,0.03603874,1.57819863
-3.85692846,10.58853706,0.03406749,0.20913794,0.61398454,1.36498770,3.19534275,7.54063002,0.03613444,1.58028251
-3.85092546,10.57127976,0.03394892,0.21078674,0.61157488,1.38044629,3.18619157,7.50545136,0.03631079,1.58446262
-3.84492246,10.54896287,0.03376054,0.21240962,0.60940826,1.39608908,3.17531767,7.46416779,0.03655996,1.59037752
-3.83891946,10.52092671,0.03350775,0.21399912,0.60739026,1.41151007,3.16293415,7.41680042,0.03687349,1.59761841
-3.83291646,10.48652870,0.03319730,0.21554525,0.60542298,1.42630308,3.14923526,7.36340630,0.03724248,1.60574489
-3.82691346,10.44517115,0.03283704,0.21703567,0.60341008,1.44007414,3.13439370,7.30408191,0.03765796,1.61430094
-3.82091046,10.39632464,0.03243566,0.21845596,0.60126152,1.45245272,3.11855827,7.23896371,0.03811107,1.62283059
-3.81490745,10.33954665,0.03200240,0.21978992,0.59889794,1.46310175,3.10185216,7.16822607,0.03859330,1.63089282
-3.80890445,10.27449561,0.03154674,0.22101990,0.59625470,1.47172601,3.08437208,7.09207707,0.03909661,1.63807539
-3.80290145,10.20094054,0.03107804,0.22212723,0.59328524,1.47807893,3.06618850,7.01075279,0.03961358,1.64400731
-3.79689845,10.11876709,0.03060522,0.22309270,0.58996398,1.48196770,3.04734711,6.92451106,0.04013749,1.64836957
-3.79089545,10.02798044,0.03013651,0.22389708,0.58628844,1.48325663,3.02787188,6.83362516,0.04066231,1.65090405
-3.78489245,9.92870607,0.02967912,0.22452170,0.58228076,1.48186894,3.00776947,6.73837852,0.04118280,1.65142036
-3.77888944,9.82118871,0.02923912,0.22494913,0.57798838,1.47778700,2.98703523,6.63906082,0.04169439,1.64980052
-3.77288644,9.70579044,0.02882121,0.22516384,0.57348399,1.47105111,2.96566047,6.53596608,0.04219323,1.64600143
-3.76688344,9.58298786,0.02842874,0.22515292,0.56886464,1.46175708,2.94364085,6.42939286,0.04267605,1.64005502
-3.76088044,9.45336881,0.02806362,0.22490682,0.56425009,1.45005254,2.92098535,6.31964652,0.04314019,1.63206623
-3.75487744,9.31762830,0.02772645,0.22442007,0.55978021,1.43613237,2.89772557,6.20704335,0.04358342,1.62220878
-3.74887444,9.17656354,0.02741660,0.22369190,0.55561170,1.42023322,2.87392458,6.09191605,0.04400393,1.61071891
-3.74287144,9.03106756,0.02713243,0.22272693,0.55191396,1.40262727,2.84968498,5.97461986,0.04440022,1.59788732
-3.73686843,8.88212096,0.02687148,0.22153557,0.54886429,1.38361542,2.82515536,5.85553854,0.04477105,1.58404942
-3.73086543,8.73078114,0.02663073,0.22013443,0.54664249,1.36351999,2.80053488,5.73508961,0.04511532,1.56957424
-3.72486243,8.57816887,0.02640686,0.21854649,0.54542495,1.34267710,2.77607525,5.61372775,0.04543206,1.55485243
-3.71885943,8.42545152,0.02619654,0.21680107,0.54537843,1.32142878,2.75208002,5.49194601,0.04572033,1.54028345
-3.71285643,8.27382322,0.02599663,0.21493361,0.54665374,1.30011504,2.72890080,5.37027412,0.04597921,1.52626264
-3.70685343,8.12448190,0.02580447,0.21298521,0.54937937,1.27906606,2.70693052,5.24927387,0.04620775,1.51316834
-3.70085043,7.97860391,0.02561800,0.21100197,0.55365558,1.25859453,2.68659369,5.12953128,0.04640495,1.50134961
-3.69484742,7.83731670,0.02543597,0.20903404,0.55954887,1.23898841,2.66833418,5.01164615,0.04656976,1.49111485
-3.68884442,7.70167083,0.02525797,0.20713455,0.56708731,1.22050436,2.65260085,4.89621920,0.04670110,1.48272176
-3.68284142,7.57261239,0.02508450,0.20535832,0.57625678,1.20336176,2.63983158,4.78383775,0.04679788,1.47636891
-3.67683842,7.45095723,0.02491694,0.20376047,0.58699848,1.18773779,2.63043653,4.67506077,0.04685903,1.47218926
-3.67083542,7.33736833,0.02475748,0.20239495,0.59920768,1.17376346,2.62478128,4.57040423,0.04688358,1.47024575
-3.66483242,7.23233772,0.02460901,0.20131301,0.61273399,1.16152091,2.62317065,4.47032786,0.04687068,1.47052919
-3.65882941,7.13617400,0.02447497,0.20056171,0.62738316,1.15104202,2.62583390,4.37522422,0.04681975,1.47295843
-3.65282641,7.04899657,0.02435913,0.20018254,0.64292033,1.14230832,2.63291208,4.28541090,0.04673048,1.47738287
-3.64682341,6.97073701,0.02426544,0.20021012,0.65907484,1.13525239,2.64444800,4.20112641,0.04660298,1.48358713
-3.64082041,6.90114791,0.02419779,0.20067114,0.67554630,1.12976061,2.66037937,4.12253028,0.04643783,1.49129775
-3.63481741,6.83981895,0.02415978,0.20158340,0.69201185,1.12567722,2.68053540,4.04970722,0.04623619,1.50019176
-3.62881441,6.78619971,0.02415456,0.20295529,0.70813435,1.12280962,2.70463691,3.98267529,0.04599984,1.50990659
-3.62281141,6.73962811,0.02418462,0.20478532,0.72357125,1.12093470,2.73230024,3.92139750,0.04573128,1.52005130
-3.61680840,6.69936323,0.02425165,0.20706210,0.73798373,1.11980604,2.76304448,3.86579610,0.04543372,1.53021843
-3.61080540,6.66462102,0.02435644,0.20976456,0.75104599,1.11916172,2.79630207,3.81576859,0.04511116,1.53999635
-3.60480240,6.63461097,0.02449879,0.21286239,0.76245410,1.11873251,2.83143229,3.77120441,0.04476832,1.54898153
-3.59879940,6.60857206,0.02467749,0.21631681,0.77193437,1.11825010,2.86773712,3.73200105,0.04441066,1.55679042
-3.59279640,6.58580621,0.02489033,0.22008161,0.77925077,1.11745520,2.90447916,3.69807866,0.04404428,1.56307053
-3.58679340,6.56570752,0.02513417,0.22410431,0.78421122,1.11610507,2.94090087,3.66939189,0.04367580,1.56751043
-3.58079040,6.54778598,0.02540504,0.22832755,0.78667247,1.11398046,2.97624477,3.64593837,0.04331231,1.56984833
-3.57478739,6.53168457,0.02569828,0.23269067,0.78654360,1.11089146,3.00977384,3.62776296,0.04296113,1.56987900
