energy_ev,total_up,total_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.81990995,1.73470907,-0.70004088,0.30341384,-0.15488278,0.00000000,-0.00000000,0.73383935,-0.16652599,0.57131910,-0.18255591,0.81022800,-0.31021130,0.00000000,-0.00000000
-5.81390695,1.79306828,-0.71626250,0.32231986,-0.16040069,0.00000000,-0.00000000,0.76837882,-0.17146307,0.58693153,-0.18818761,0.82936519,-0.31488979,0.00000000,-0.00000000
-5.80790395,1.84795735,-0.73592556,0.34168621,-0.16623603,0.00000000,-0.00000000,0.80278090,-0.17852316,0.60091059,-0.19433731,0.84591811,-0.32179733,0.00000000,-0.00000000
-5.80190095,1.89925923,-0.75863546,0.36145398,-0.17226557,0.00000000,-0.00000000,0.83698757,-0.18762081,0.61323288,-0.20091838,0.85987064,-0.33080118,0.00000000,-0.00000000
-5.79589795,1.94691080,-0.78400123,0.38155244,-0.17837773,0.00000000,-0.00000000,0.87094172,-0.19867295,0.62390193,-0.20784719,0.87125115,-0.34175693,0.00000000,-0.00000000
-5.78989495,1.99089037,-0.81164806,0.40189766,-0.18447754,0.00000000,-0.00000000,0.90458163,-0.21160060,0.63294435,-0.21504667,0.88012579,-0.35451152,0.00000000,-0.00000000
-5.78389195,2.03120488,-0.84122938,0.42239161,-0.19049105,0.00000000,-0.00000000,0.93783609,-0.22633040,0.64040565,-0.22244965,0.88659109,-0.36890634,0.00000000,-0.00000000
-5.77788894,2.06787769,-0.87243793,0.44292203,-0.19636918,0.00000000,-0.00000000,0.97062015,-0.24279610,0.64634587,-0.23000206,0.89076624,-0.38478051,0.00000000,-0.00000000
-5.77188594,2.10093763,-0.90501562,0.46336307,-0.20209070,0.00000000,-0.00000000,1.00283218,-0.26093982,0.65083542,-0.23766554,0.89278549,-0.40197424,0.00000000,-0.00000000
-5.76588294,2.13041013,-0.93876140,0.48357671,-0.20766425,0.00000000,-0.00000000,1.03435204,-0.28071307,0.65395126,-0.24541961,0.89279122,-0.42033200,0.00000000,-0.00000000
