energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-2.80040020,4.73414386,0.02690083,0.12103965,0.35080690,4.51940690,0.21589222,0.00000000
-2.79439720,4.97751404,0.02900301,0.12847157,0.36889461,4.75296120,0.22419034,0.00000000
-2.78839420,5.22504867,0.03124354,0.13611526,0.38683007,4.99101450,0.23213682,0.00000000
-2.78239120,5.47416130,0.03360284,0.14390841,0.40440410,5.23108225,0.23962224,0.00000000
-2.77638819,5.72228798,0.03605918,0.15178595,0.42142105,5.47068503,0.24655485,0.00000000
-2.77038519,5.96691399,0.03858872,0.15967992,0.43770123,5.70737567,0.25286168,0.00000000
-2.76438219,6.20559946,0.04116548,0.16751944,0.45308284,5.93876565,0.25848894,0.00000000
-2.75837919,6.43600464,0.04376153,0.17523094,0.46742354,6.16255184,0.26340183,0.00000000
-2.75237619,6.65591577,0.04634721,0.18273850,0.48060164,6.37654405,0.26758371,0.00000000
-2.74637319,6.86327198,0.04889148,0.18996457,0.49251693,6.57869387,0.27103480,0.00000000
-2.74037019,7.05619364,0.05136245,0.19683092,0.50309133,6.76712501,0.27377053,0.00000000
-2.73436718,7.23301201,0.05372797,0.20325996,0.51226926,6.94016485,0.27581951,0.00000000
-2.72836418,7.39229973,0.05595633,0.20917634,0.52001783,7.09637673,0.27722140,0.00000000
-2.72236118,7.53290121,0.05801707,0.21450880,0.52632684,7.23459171,0.27802469,0.00000000
-2.71635818,7.65396146,0.05988181,0.21919214,0.53120859,7.35393854,0.27828441,0.00000000
-2.71035518,7.75495162,0.06152512,0.22316942,0.53469742,7.45386999,0.27806009,0.00000000
-2.70435218,7.83568937,0.06292532,0.22639395,0.53684903,7.53418363,0.27741364,0.00000000
-2.69834917,7.89635197,0.06406527,0.22883130,0.53773931,7.59503503,0.27640764,0.00000000
-2.69234617,7.93748023,0.06493291,0.23046093,0.53746293,7.63694161,0.27510358,0.00000000
-2.68634317,7.95997160,0.06552181,0.23127753,0.53613131,7.66077555,0.27356048,0.00000000
-2.68034017,7.96506143,0.06583138,0.23129180,0.53387016,7.66774475,0.27183353,0.00000000
-2.67433717,7.95429168,0.06586696,0.23053076,0.53081652,7.65936134,0.26997304,0.00000000
