energy_ev,total_up,Hg_p_up,Hg_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-3.02251126,0.88470314,1.17381401,0.04709585,0.22573889,0.00000000,0.55888997,0.00000000
-3.01650825,0.92351900,1.22143421,0.04890483,0.23579606,0.00000000,0.58338873,0.00000000
-3.01050525,0.95932997,1.26402142,0.05051800,0.24500988,0.00000000,0.60590585,0.00000000
-3.00450225,0.99182070,1.30099953,0.05192393,0.25325737,0.00000000,0.62621418,0.00000000
-2.99849925,1.02080379,1.33196290,0.05311855,0.26044756,0.00000000,0.64416590,0.00000000
-2.99249625,1.04622688,1.35669035,0.05410544,0.26652456,0.00000000,0.65969774,0.00000000
-2.98649325,1.06817427,1.37515238,0.05489580,0.27146942,0.00000000,0.67283266,0.00000000
-2.98049025,1.08686257,1.38751106,0.05550809,0.27530053,0.00000000,0.68367797,0.00000000
-2.97448724,1.10263043,1.39411241,0.05596740,0.27807260,0.00000000,0.69241963,0.00000000
-2.96848424,1.11592248,1.39547128,0.05630448,0.27987408,0.00000000,0.69931303,0.00000000
-2.96248124,1.12726815,1.39224934,0.05655455,0.28082327,0.00000000,0.70467033,0.00000000
-2.95647824,1.13725608,1.38522696,0.05675580,0.28106305,0.00000000,0.70884512,0.00000000
-2.95047524,1.14650535,1.37527035,0.05694789,0.28075464,0.00000000,0.71221489,0.00000000
-2.94447224,1.15563494,1.36329522,0.05717021,0.28007061,0.00000000,0.71516226,0.00000000
-2.93846923,1.16523268,1.35022890,0.05746022,0.27918739,0.00000000,0.71805570,0.00000000
-2.93246623,1.17582558,1.33697247,0.05785188,0.27827778,0.00000000,0.72123095,0.00000000
-2.92646323,1.18785271,1.32436482,0.05837418,0.27750369,0.00000000,0.72497382,0.00000000
-2.92046023,1.20164242,1.31315029,0.05904993,0.27700958,0.00000000,0.72950538,0.00000000
-2.91445723,1.21739480,1.30395138,0.05989483,0.27691681,0.00000000,0.73497038,0.00000000
-2.90845423,1.23517065,1.29724781,0.06091684,0.27731923,0.00000000,0.74142927,0.00000000
-2.90245123,1.25488738,1.29336288,0.06211601,0.27828030,0.00000000,0.74885450,0.00000000
-2.89644822,1.27632223,1.29245751,0.06348460,0.27983165,0.00000000,0.75713112,0.00000000
-2.89044522,1.29912283,1.29453238,0.06500761,0.28197342,0.00000000,0.76606172,0.00000000
-2.88444222,1.32282438,1.29943772,0.06666372,0.28467610,0.00000000,0.77537544,0.00000000
-2.87843922,1.34687294,1.30689017,0.06842651,0.28788392,0.00000000,0.78474067,0.00000000
-2.87243622,1.37065350,1.31649586,0.07026592,0.29151949,0.00000000,0.79378064,0.00000000
-2.86643322,1.39352164,1.32777841,0.07215003,0.29548959,0.00000000,0.80209130,0.00000000
-2.86043022,1.41483701,1.34021038,0.07404685,0.29969156,0.00000000,0.80926048,0.00000000
-2.85442721,1.43399734,1.35324668,0.07592624,0.30402027,0.00000000,0.81488752,0.00000000
-2.84842421,1.45047105,1.36635824,0.07776172,0.30837505,0.00000000,0.81860226,0.00000000
-2.84242121,1.46382698,1.37906433,0.07953227,0.31266633,0.00000000,0.82008276,0.00000000
-2.83641821,1.47375988,1.39096202,0.08122377,0.31682172,0.00000000,0.81907073,0.00000000
