energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.65182591,4.50673919,-2.70453857,0.03332095,-0.04998418,0.69458205,-0.19730812,0.97659348,-0.80228259,0.00000000,-0.00000000,1.31585102,-0.95053873,1.65100583,-0.32692161,1.82983289,-1.63717985,0.00000000,-0.00000000
-5.64582291,4.51721717,-2.65272497,0.03133625,-0.05062744,0.73294192,-0.19062765,0.93972332,-0.78319127,0.00000000,-0.00000000,1.32586404,-0.90751987,1.71454381,-0.31988281,1.77530844,-1.60956268,0.00000000,-0.00000000
-5.63981991,4.53141295,-2.59954553,0.02933709,-0.05096065,0.77458970,-0.18412360,0.90116002,-0.76498732,0.00000000,-0.00000000,1.33839722,-0.86683308,1.78347497,-0.31355689,1.71839977,-1.58036863,0.00000000,-0.00000000
-5.63381691,4.54937443,-2.54535154,0.02734582,-0.05097464,0.81917033,-0.17783209,0.86127642,-0.74784864,0.00000000,-0.00000000,1.35375729,-0.82878493,1.85707687,-0.30799009,1.65974145,-1.54979630,0.00000000,-0.00000000
-5.62781391,4.57091187,-2.49056734,0.02538258,-0.05066685,0.86623626,-0.17178886,0.82043813,-0.73194432,0.00000000,-0.00000000,1.37218747,-0.79363060,1.93444592,-0.30323390,1.59995249,-1.51810040,0.00000000,-0.00000000
-5.62181091,4.59560156,-2.43570141,0.02346506,-0.05004149,0.91525038,-0.16603220,0.77900190,-0.71743573,0.00000000,-0.00000000,1.39385803,-0.76158382,2.01450772,-0.29934631,1.53963289,-1.48559543,0.00000000,-0.00000000
-5.61580790,4.62279791,-2.38135180,0.02160843,-0.04910942,0.96559182,-0.16060572,0.73731497,-0.70447627,0.00000000,-0.00000000,1.41885906,-0.73282712,2.09603318,-0.29639228,1.47936159,-1.45265570,0.00000000,-0.00000000
-5.60980490,4.65165371,-2.32820553,0.01982533,-0.04788774,1.01656469,-0.15556077,0.69571510,-0.69321007,0.00000000,-0.00000000,1.44719585,-0.70752172,2.17766042,-0.29444341,1.41969522,-1.41971146,0.00000000,-0.00000000
-5.60380190,4.68114814,-2.27703173,0.01812596,-0.04639931,1.06740994,-0.15095838,0.65453086,-0.68376942,0.00000000,-0.00000000,1.47878706,-0.68581648,2.25792252,-0.29357683,1.36116731,-1.38724129,0.00000000,-0.00000000
-5.59779890,4.71012185,-2.22866899,0.01651818,-0.04467200,1.11732013,-0.14687066,0.61408213,-0.67627122,0.00000000,-0.00000000,1.51346574,-0.66785538,2.33528061,-0.29387342,1.30428765,-1.35576115,0.00000000,-0.00000000
-5.59179590,4.73731841,-2.18400751,0.01500773,-0.04273784,1.16545717,-0.14338151,0.57468030,-0.67081263,0.00000000,-0.00000000,1.55098348,-0.65378337,2.40816198,-0.29541543,1.24954156,-1.32581068,0.00000000,-0.00000000
-5.58579290,4.76143092,-2.14396693,0.01359838,-0.04063200,1.21097240,-0.14058663,0.53662828,-0.66746630,0.00000000,-0.00000000,1.59101762,-0.64375021,2.47500197,-0.29828365,1.19738895,-1.29793744,0.00000000,-0.00000000
-5.57978989,4.78115259,-2.10947117,0.01229221,-0.03839181,1.25302861,-0.13859281,0.50021993,-0.66627560,0.00000000,-0.00000000,1.63318140,-0.63791240,2.53428874,-0.30255439,1.14826321,-1.27267990,0.00000000,-0.00000000
-5.57378689,4.79522956,-2.08142139,0.01108981,-0.03605564,1.29082322,-0.13751647,0.46573915,-0.66725014,0.00000000,-0.00000000,1.67703709,-0.63643309,2.58460910,-0.30829634,1.10256990,-1.25055012,0.00000000,-0.00000000
-5.56778389,4.80251437,-2.06066839,0.00999054,-0.03366188,1.32361190,-0.13748160,0.43345848,-0.67036201,0.00000000,-0.00000000,1.72211144,-0.63948022,2.62469397,-0.31556747,1.06068548,-1.23201690,0.00000000,-0.00000000
-5.56178089,4.80201780,-2.04798575,0.00899274,-0.03124792,1.35073149,-0.13861708,0.40363722,-0.67554319,0.00000000,-0.00000000,1.76791323,-0.64722296,2.65346144,-0.32441222,1.02295608,-1.21749015,0.00000000,-0.00000000
-5.55577789,4.79295723,-2.04404466,0.00809393,-0.02884928,1.37162148,-0.14105342,0.37651936,-0.68268415,0.00000000,-0.00000000,1.81395216,-0.65982671,2.67005553,-0.33485902,0.98969657,-1.20730716,0.00000000,-0.00000000
-5.54977489,4.77479909,-2.04939147,0.00729105,-0.02649876,1.38584287,-0.14491919,0.35233115,-0.69163403,0.00000000,-0.00000000,1.85975823,-0.67744684,2.67387892,-0.34691828,0.96118981,-1.20172126,0.00000000,-0.00000000
-5.54377189,4.74729337,-2.06442853,0.00658057,-0.02422582,1.39309365,-0.15033706,0.33127854,-0.70220228,0.00000000,-0.00000000,1.90490084,-0.70022146,2.66461788,-0.36058086,0.93768624,-1.20089320,0.00000000,-0.00000000
-5.53776888,4.71049830,-2.08939895,0.00595873,-0.02205607,1.39322004,-0.15741977,0.31354448,-0.71416193,0.00000000,-0.00000000,1.94900640,-0.72826341,2.64225799,-0.37581719,0.91940367,-1.20488538,0.00000000,-0.00000000
-5.53176588,4.66479337,-2.12437534,0.00542160,-0.02001088,1.38622285,-0.16626596,0.29928619,-0.72725409,0.00000000,-0.00000000,1.99177363,-0.76165174,2.60708980,-0.39257687,0.90652696,-1.21365901,0.00000000,-0.00000000
-5.52576288,4.61087974,-2.16925280,0.00496528,-0.01810721,1.37225864,-0.17695621,0.28863232,-0.74119368,0.00000000,-0.00000000,2.03298542,-0.80042288,2.55970373,-0.41078898,0.89920770,-1.22707400,0.00000000,-0.00000000
-5.51975988,4.54976709,-2.22374608,0.00458594,-0.01635753,1.35163554,-0.18954929,0.28168007,-0.75567604,0.00000000,-0.00000000,2.07251641,-0.84456185,2.50097431,-0.43036278,0.89756325,-1.24489145,0.00000000,-0.00000000
-5.51375688,4.48274709,-2.28739075,0.00427999,-0.01476991,1.32480376,-0.20407881,0.27849225,-0.77038412,0.00000000,-0.00000000,2.11033565,-0.89399377,2.43203419,-0.45118912,0.90167518,-1.26677842,0.00000000,-0.00000000
-5.50775388,4.41135412,-2.35954832,0.00404408,-0.01334822,1.29234120,-0.22055050,0.27909438,-0.78499586,0.00000000,-0.00000000,2.14650384,-0.94857599,2.35423897,-0.47314224,0.91158678,-1.29231473,0.00000000,-0.00000000
-5.50175088,4.33731437,-2.43941496,0.00387525,-0.01209242,1.25493487,-0.23894007,0.28347164,-0.79919163,0.00000000,-0.00000000,2.18116497,-1.00809120,2.26912432,-0.49608205,0.92729948,-1.32100142,0.00000000,-0.00000000
-5.49574787,4.26248566,-2.52603398,0.00377091,-0.01099892,1.21335882,-0.25919200,0.29156606,-0.81266127,0.00000000,-0.00000000,2.21453273,-1.07224203,2.17835730,-0.51985687,0.94876832,-1.35227075,0.00000000,-0.00000000
-5.48974487,4.18879032,-2.61831153,0.00372896,-0.01006106,1.16844971,-0.28121911,0.30327373,-0.82511070,0.00000000,-0.00000000,2.24687218,-1.14064731,2.08368403,-0.54430645,0.97589644,-1.38549734,0.00000000,-0.00000000
-5.48374187,4.11814427,-2.71503574,0.00374776,-0.00926953,1.12108095,-0.30490323,0.31844250,-0.83626778,0.00000000,-0.00000000,2.27847752,-1.21284068,1.98687596,-0.56926544,1.00852897,-1.42001045,0.00000000,-0.00000000
-5.47773887,4.05238569,-2.81489885,0.00382620,-0.00861293,1.07213674,-0.33009671,0.33687005,-0.84588736,0.00000000,-0.00000000,2.30964744,-1.28827162,1.88967718,-0.59456695,1.04644676,-1.45510708,0.00000000,-0.00000000
-5.47173587,3.99320675,-2.91652226,0.00396367,-0.00807821,1.02248705,-0.35662501,0.35830287,-0.85375562,0.00000000,-0.00000000,2.34065937,-1.36630944,1.79375496,-0.62004633,1.08936048,-1.49006591,0.00000000,-0.00000000
-5.46573287,3.94209180,-3.01848409,0.00416008,-0.00765122,0.97296455,-0.38429011,0.38243620,-0.85969339,0.00000000,-0.00000000,2.37174435,-1.44625015,1.70065559,-0.64554491,1.13690578,-1.52416185,0.00000000,-0.00000000
-5.45972986,3.90026516,-3.11934873,0.00441586,-0.00731712,0.92434445,-0.41287467,0.40891517,-0.86355880,0.00000000,-0.00000000,2.40306431,-1.52732644,1.61176713,-0.67091361,1.18864010,-1.55668104,0.00000000,-0.00000000
-5.45372686,3.86865117,-3.21769782,0.00473188,-0.00706088,0.87732801,-0.44214682,0.43733756,-0.86524904,0.00000000,-0.00000000,2.43469325,-1.60872064,1.52829043,-0.69601621,1.24404200,-1.58693614,0.00000000,-0.00000000
-5.44772386,3.84784837,-3.31216173,0.00510947,-0.00686764,0.83253013,-0.47186523,0.46725812,-0.86470144,0.00000000,-0.00000000,2.46660398,-1.68958017,1.45121922,-0.72073211,1.30251336,-1.61428152,0.00000000,-0.00000000
-5.44172086,3.83811929,-3.40145069,0.00555031,-0.00672306,0.79047136,-0.50178437,0.49819465,-0.86189375,0.00000000,-0.00000000,2.49866140,-1.76903525,1.38132956,-0.74495833,1.36338502,-1.63812820,0.00000000,-0.00000000
-5.43571786,3.83939587,-3.48438432,0.00605638,-0.00661365,0.75157436,-0.53165955,0.52963595,-0.85684387,0.00000000,-0.00000000,2.53062315,-1.84621815,1.31917849,-0.76861066,1.42592608,-1.65795789,0.00000000,-0.00000000
-5.42971486,3.85130021,-3.55991857,0.00662984,-0.00652700,0.71616463,-0.56125160,0.56105131,-0.84960878,0.00000000,-0.00000000,2.56214789,-1.92028323,1.26511131,-0.79162366,1.48935678,-1.67333583,0.00000000,-0.00000000
-5.42371186,3.87317916,-3.62716874,0.00727297,-0.00645201,0.68447500,-0.59033088,0.59190153,-0.84028284,0.00000000,-0.00000000,2.59281084,-1.99042688,1.21927639,-0.81394952,1.55286477,-1.68392195,0.00000000,-0.00000000
-5.41770885,3.90415040,-3.68542780,0.00798802,-0.00637899,0.65665344,-0.61868045,0.62165107,-0.82899543,0.00000000,-0.00000000,2.62212603,-2.05590670,1.18164626,-0.83555572,1.61562413,-1.68947983,0.00000000,-0.00000000
-5.41170585,3.94315747,-3.73417887,0.00877705,-0.00629981,0.63277339,-0.64609829,0.64978084,-0.81590790,0.00000000,-0.00000000,2.64957367,-2.11605890,1.15204337,-0.85642147,1.67681642,-1.68988300,0.00000000,-0.00000000
-5.40570285,3.98903012,-3.77310161,0.00964181,-0.00620791,0.61284583,-0.67239852,0.67580123,-0.80120991,0.00000000,-0.00000000,2.67463126,-2.17031331,1.13016890,-0.87653317,1.73565284,-1.68511848,0.00000000,-0.00000000
-5.39969985,4.04054661,-3.80207201,0.01058357,-0.00609832,0.59683225,-0.69741159,0.69926476,-0.78511509,0.00000000,-0.00000000,2.69680632,-2.21820535,1.11563292,-0.89587910,1.79139621,-1.67528701,0.00000000,-0.00000000
-5.39369685,4.09649442,-3.82115607,0.01160297,-0.00596762,0.58465772,-0.72098366,0.71977780,-0.76785631,0.00000000,-0.00000000,2.71566855,-2.25938460,1.10798419,-0.91444365,1.84338185,-1.66060028,0.00000000,-0.00000000
-5.38769385,4.15572584,-3.83059762,0.01269985,-0.00581385,0.57622332,-0.74297531,0.73701076,-0.74968051,0.00000000,-0.00000000,2.73087944,-2.29361977,1.10673829,-0.93220162,1.89103603,-1.64137504,0.00000000,-0.00000000
