energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-3.94097049,7.15156799,0.01334315,0.26809591,0.48073083,0.93500876,2.06331142,4.91380614,1.37717525,0.00000000
-3.93496748,7.11234193,0.01277526,0.27000722,0.48056826,0.92493138,2.06532568,4.88755040,1.36766676,0.00000000
-3.92896448,7.06334429,0.01221484,0.27166163,0.48008652,0.91468633,2.06668015,4.85195182,1.35796058,0.00000000
-3.92296148,7.00398714,0.01166218,0.27299990,0.47915405,0.90415261,2.06686601,4.80683462,1.34777316,0.00000000
-3.91695848,6.93390828,0.01111773,0.27397069,0.47764468,0.89322972,2.06542420,4.75220146,1.33685284,0.00000000
-3.91095548,6.85299923,0.01058205,0.27453302,0.47544273,0.88184296,2.06196462,4.68824480,1.32499028,0.00000000
-3.90495248,6.76142673,0.01005589,0.27465847,0.47244795,0.86994787,2.05618286,4.61535382,1.31202751,0.00000000
-3.89894947,6.65964645,0.00954015,0.27433304,0.46858008,0.85753380,2.04787385,4.53411619,1.29786514,0.00000000
-3.89294647,6.54840808,0.00903593,0.27355847,0.46378281,0.84462633,2.03694155,4.44531439,1.28246744,0.00000000
-3.88694347,6.42875092,0.00854449,0.27235289,0.45802690,0.83128837,2.02340423,4.34991652,1.26586492,0.00000000
-3.88094047,6.30198969,0.00806726,0.27075084,0.45131226,0.81761991,2.00739498,4.24906143,1.24815445,0.00000000
-3.87493747,6.16969055,0.00760581,0.26880254,0.44366890,0.80375633,1.98915718,4.14403839,1.22949661,0.00000000
-3.86893447,6.03363778,0.00716187,0.26657239,0.43515665,0.78986522,1.96903516,4.03626187,1.21011050,0.00000000
-3.86293147,5.89579194,0.00673724,0.26413676,0.42586364,0.77614185,1.94746033,3.92724188,1.19026611,0.00000000
-3.85692846,5.75824094,0.00633382,0.26158124,0.41590355,0.76280335,1.92493341,3.81855097,1.17027456,0.00000000
-3.85092546,5.62314558,0.00595354,0.25899727,0.40541186,0.75008186,1.90200353,3.71178862,1.15047662,0.00000000
-3.84492246,5.49268166,0.00559836,0.25647858,0.39454115,0.73821682,1.87924531,3.60854450,1.13123003,0.00000000
-3.83891946,5.36898083,0.00527023,0.25411732,0.38345579,0.72744688,1.85723485,3.51036170,1.11289620,0.00000000
-3.83291646,5.25407271,0.00497105,0.25200038,0.37232623,0.71800155,1.83652609,3.41870124,1.09582683,0.00000000
-3.82691346,5.14983045,0.00470270,0.25020579,0.36132319,0.71009315,1.81762860,3.33490929,1.08035125,0.00000000
-3.82091046,5.05792221,0.00446694,0.24879968,0.35061203,0.70390938,1.80098791,3.26018816,1.06676488,0.00000000
-3.81490745,4.97977056,0.00426548,0.24783379,0.34034766,0.69960673,1.78696956,3.19557213,1.05531956,0.00000000
-3.80890445,4.91652133,0.00409991,0.24734367,0.33067010,0.69730534,1.77584755,3.14190920,1.04621602,0.00000000
-3.80290145,4.86902348,0.00397173,0.24734785,0.32170104,0.69708524,1.76779782,3.09984902,1.03959896,0.00000000
-3.79689845,4.83782042,0.00388233,0.24784773,0.31354141,0.69898438,1.76289707,3.06983771,1.03555486,0.00000000
-3.79089545,4.82315317,0.00383300,0.24882849,0.30627012,0.70299843,1.76112689,3.05211946,1.03411263,0.00000000
-3.78489245,4.82497491,0.00382490,0.25026080,0.29994393,0.70908245,1.76238293,3.04674458,1.03524691,0.00000000
-3.77888944,4.84297593,0.00385907,0.25210324,0.29459843,0.71715423,1.76648852,3.05358375,1.03888383,0.00000000
-3.77288644,4.87661757,0.00393641,0.25430535,0.29024993,0.72709917,1.77321187,3.07234737,1.04490880,0.00000000
-3.76688344,4.92517325,0.00405767,0.25681109,0.28689812,0.73877653,1.78228586,3.10260914,1.05317585,0.00000000
-3.76088044,4.98777423,0.00422341,0.25956248,0.28452929,0.75202651,1.79342921,3.14383272,1.06351789,0.00000000
-3.75487744,5.06345782,0.00443396,0.26250329,0.28311979,0.76667796,1.80636773,3.19539986,1.07575730,0.00000000
-3.74887444,5.15121516,0.00468941,0.26558245,0.28263955,0.78255619,1.82085458,3.25663888,1.08971618,0.00000000
-3.74287144,5.25003636,0.00498952,0.26875711,0.28305537,0.79949055,1.83668804,3.32685192,1.10522563,0.00000000
-3.73686843,5.35895026,0.00533368,0.27199501,0.28433376,0.81732122,1.85372612,3.40533956,1.12213353,0.00000000
-3.73086543,5.47705706,0.00572089,0.27527620,0.28644314,0.83590504,1.87189678,3.49142182,1.14031039,0.00000000
-3.72486243,5.60355181,0.00614965,0.27859391,0.28935528,0.85511981,1.89120349,3.58445427,1.15965276,0.00000000
-3.71885943,5.73773787,0.00661795,0.28195450,0.29304592,0.87486710,1.91172549,3.68383867,1.18008428,0.00000000
-3.71285643,5.87902953,0.00712323,0.28537660,0.29749448,0.89507311,1.93361295,3.78902772,1.20155408,0.00000000
-3.70685343,6.02694399,0.00766233,0.28888942,0.30268303,0.91568784,1.95707708,3.89952371,1.22403276,0.00000000
-3.70085043,6.18108317,0.00823152,0.29253031,0.30859449,0.93668233,1.98237577,4.01487142,1.24750619,0.00000000
-3.69484742,6.34110674,0.00882646,0.29634184,0.31521035,0.95804436,2.00979551,4.13464589,1.27196746,0.00000000
-3.68884442,6.50669816,0.00944229,0.30036839,0.32250790,0.97977263,2.03963045,4.25843599,1.29740762,0.00000000
-3.68284142,6.67752587,0.01007364,0.30465262,0.33045745,1.00187000,2.07215986,4.38582502,1.32380560,0.00000000
-3.67683842,6.85320234,0.01071472,0.30923191,0.33901949,1.02433590,2.10762488,4.51636990,1.35111811,0.00000000
-3.67083542,7.03324369,0.01135943,0.31413496,0.34814217,1.04715863,2.14620602,4.64958039,1.37927005,0.00000000
-3.66483242,7.21703264,0.01200147,0.31937886,0.35775927,1.07030773,2.18800244,4.78490017,1.40814615,0.00000000
-3.65882941,7.40378759,0.01263446,0.32496660,0.36778879,1.09372715,2.23301404,4.92169124,1.43758424,0.00000000
-3.65282641,7.59254001,0.01325209,0.33088529,0.37813229,1.11732944,2.28112740,5.05922315,1.46737080,0.00000000
-3.64682341,7.78212223,0.01384828,0.33710516,0.38867513,1.14099141,2.33210624,5.19666815,1.49723909,0.00000000
-3.64082041,7.97116681,0.01441728,0.34357925,0.39928752,1.16455165,2.38558685,5.33310310,1.52686997,0.00000000
-3.63481741,8.15811828,0.01495386,0.35024404,0.40982649,1.18780995,2.44107896,5.46751852,1.55589563,0.00000000
-3.62881441,8.34125713,0.01545336,0.35702070,0.42013863,1.21052895,2.49797190,5.59883463,1.58390610,0.00000000
-3.62281141,8.51873510,0.01591184,0.36381711,0.43006353,1.23243782,2.55554591,5.72592388,1.61045833,0.00000000
-3.61680840,8.68862052,0.01632615,0.37053041,0.43943768,1.25323800,2.61298819,5.84763878,1.63508739,0.00000000
-3.61080540,8.84895122,0.01669393,0.37705002,0.44809888,1.27261075,2.66941301,5.96284381,1.65731945,0.00000000
-3.60480240,8.99779252,0.01701367,0.38326096,0.45589063,1.29022616,2.72388498,6.07044933,1.67668594,0.00000000
-3.59879940,9.13329730,0.01728468,0.38904726,0.46266667,1.30575332,2.77544475,6.16944575,1.69273817,0.00000000
-3.59279640,9.25376475,0.01750702,0.39429550,0.46829521,1.31887107,2.82313578,6.25893581,1.70506191,0.00000000
-3.58679340,9.35769495,0.01768144,0.39889803,0.47266272,1.32927898,2.86603142,6.33816292,1.71329108,0.00000000
-3.58079040,9.44383610,0.01780932,0.40275603,0.47567729,1.33670799,2.90326106,6.40653380,1.71712021,0.00000000
-3.57478739,9.51122215,0.01789247,0.40578220,0.47727119,1.34093025,2.93403440,6.46363405,1.71631491,0.00000000
