energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
1.65982991,1.27742140,0.55095295,0.02256299,0.10427957,0.09510336,0.23609989,0.56803052,0.04523767,0.23239245
1.66583292,1.21540844,0.53234528,0.02073253,0.10320500,0.08583333,0.23111764,0.54313014,0.04289894,0.21986329
1.67183592,1.15723980,0.51571929,0.01902069,0.10206803,0.07724765,0.22687746,0.51964316,0.04054601,0.20849089
1.67783892,1.10321944,0.50128720,0.01743690,0.10088831,0.06936778,0.22343467,0.49766034,0.03820305,0.19830020
1.68384192,1.05355381,0.48920403,0.01598827,0.09968365,0.06220058,0.22082461,0.47723633,0.03589325,0.18929323
1.68984492,1.00835522,0.47956670,0.01467974,0.09846927,0.05573975,0.21906188,0.45839094,0.03363861,0.18145104
1.69584792,0.96764688,0.47241434,0.01351435,0.09725712,0.04996757,0.21814005,0.44111091,0.03145987,0.17473602
1.70185093,0.93136891,0.46772979,0.01249347,0.09605524,0.04485669,0.21803176,0.42535198,0.02937636,0.16909409
1.70785393,0.89938525,0.46544207,0.01161699,0.09486734,0.04037207,0.21868940,0.41104136,0.02740589,0.16445701
1.71385693,0.87149112,0.46542997,0.01088354,0.09369244,0.03647278,0.22004614,0.39808054,0.02556461,0.16074455
1.71985993,0.84742113,0.46752626,0.01029065,0.09252475,0.03311379,0.22201748,0.38634839,0.02386687,0.15786665
1.72586293,0.82685773,0.47152292,0.00983486,0.09135380,0.03024757,0.22450327,0.37570464,0.02232510,0.15572552
1.73186593,0.80944020,0.47717682,0.00951184,0.09016471,0.02782554,0.22739013,0.36599377,0.02094960,0.15421764
1.73786893,0.79477400,0.48421614,0.00931637,0.08893886,0.02579932,0.23055432,0.35704922,0.01974844,0.15323581
1.74387194,0.78244053,0.49234716,0.00924239,0.08765459,0.02412181,0.23386494,0.34869801,0.01872729,0.15267106
1.74987494,0.77200721,0.50126145,0.00928299,0.08628827,0.02274805,0.23718740,0.34076562,0.01788936,0.15241465
1.75587794,0.76303778,0.51064318,0.00943035,0.08481540,0.02163595,0.24038708,0.33308106,0.01723526,0.15235991
1.76188094,0.75510255,0.52017656,0.00967574,0.08321190,0.02074681,0.24333302,0.32548196,0.01676306,0.15240415
1.76788394,0.74778863,0.52955312,0.01000950,0.08145536,0.02004578,0.24590162,0.31781964,0.01646834,0.15245041
1.77388694,0.74070963,0.53847865,0.01042101,0.07952631,0.01950216,0.24798010,0.30996381,0.01634426,0.15240913
1.77988994,0.73351477,0.54667987,0.01089877,0.07740935,0.01908959,0.24946967,0.30180682,0.01638188,0.15219965
1.78589295,0.72589708,0.55391034,0.01143047,0.07509414,0.01878625,0.25028829,0.29326726,0.01657037,0.15175154
1.79189595,0.71760047,0.55995581,0.01200310,0.07257615,0.01857494,0.25037300,0.28429278,0.01689748,0.15100570
1.79789895,0.70842549,0.56463871,0.01260315,0.06985716,0.01844311,0.24968152,0.27486193,0.01734992,0.14991519
1.80390195,0.69823360,0.56782177,0.01321683,0.06694546,0.01838292,0.24819343,0.26498513,0.01791397,0.14844586
1.80990495,0.68694993,0.56941075,0.01383035,0.06385577,0.01839122,0.24591058,0.25470452,0.01857598,0.14657660
1.81590795,0.67456451,0.56935615,0.01443020,0.06060886,0.01846952,0.24285698,0.24409289,0.01932304,0.14429943
1.82191096,0.66113187,0.56765402,0.01500354,0.05723092,0.01862399,0.23907802,0.23325173,0.02014353,0.14161928
1.82791396,0.64676935,0.56434574,0.01553849,0.05375270,0.01886532,0.23463924,0.22230846,0.02102771,0.13855357
1.83391696,0.63165397,0.55951689,0.01602450,0.05020850,0.01920869,0.22962459,0.21141310,0.02196826,0.13513160
1.83991996,0.61601818,0.55329509,0.01645268,0.04663501,0.01967359,0.22413431,0.20073445,0.02296071,0.13139378
1.84592296,0.60014457,0.54584705,0.01681605,0.04307018,0.02028361,0.21828253,0.19045598,0.02400374,0.12739066
