energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
1.14957479,5.16541889,0.06084036,0.90185623,1.13388291,0.80000616,0.84807865,0.00000000,0.18350838,2.62927897
1.15557779,5.22165131,0.05960345,0.96068401,1.18171962,0.81730524,0.87293960,0.00000000,0.18719350,2.61215919
1.16158079,5.31151634,0.05944198,1.02349443,1.23718428,0.84099146,0.90000145,0.00000000,0.19242181,2.61389083
1.16758379,5.43318565,0.06038445,1.08954909,1.29951145,0.87071504,0.92877805,0.00000000,0.19922925,2.63392325
1.17358679,5.58427076,0.06245820,1.15804216,1.36780650,0.90606187,0.95877074,0.00000000,0.20765288,2.67130857
1.17958979,5.76191093,0.06568867,1.22811976,1.44106550,0.94656604,0.98948554,0.00000000,0.21773126,2.72474327
1.18559280,5.96287034,0.07009830,1.29890067,1.51819762,0.99172254,1.02044920,0.00000000,0.22950460,2.79261878
1.19159580,6.18364031,0.07570513,1.36949756,1.59804902,1.04099935,1.05122340,0.00000000,0.24301410,2.87307862
1.19759880,6.42054200,0.08252088,1.43903807,1.67942783,1.09384843,1.08141628,0.00000000,0.25830077,2.96407980
1.20360180,6.66982550,0.09054884,1.50668495,1.76112932,1.14971528,1.11069107,0.00000000,0.27540323,3.06345588
1.20960480,6.92776158,0.09978139,1.57165448,1.84196069,1.20804662,1.13877131,0.00000000,0.29435474,3.16897953
1.21560780,7.19072307,0.11019739,1.63323265,1.92076477,1.26829613,1.16544273,0.00000000,0.31517938,3.27842222
1.22161081,7.45525340,0.12175950,1.69078838,1.99644199,1.32992806,1.19055179,0.00000000,0.33788747,3.38960939
1.22761381,7.71812084,0.13441162,1.74378344,2.06797024,1.39241892,1.21400121,0.00000000,0.36247044,3.50046941
1.23361681,7.97635765,0.14807662,1.79177859,2.13442191,1.45525747,1.23574299,0.00000000,0.38889542,3.60907531
1.23961981,8.22728445,0.16265448,1.83443600,2.19497818,1.51794318,1.25576944,0.00000000,0.41709978,3.71367851
1.24562281,8.46852053,0.17802107,1.87151786,2.24893989,1.57998390,1.27410294,0.00000000,0.44698610,3.81273414
1.25162581,8.69798197,0.19402771,1.90288142,2.29573526,1.64089293,1.29078524,0.00000000,0.47841773,3.90491820
1.25762881,8.91386951,0.21050167,1.92847090,2.33492431,1.70018622,1.30586692,0.00000000,0.51121545,3.98913672
1.26363182,9.11464884,0.22724765,1.94830673,2.36620001,1.75738016,1.31939775,0.00000000,0.54515549,4.06452777
1.26963482,9.29902610,0.24405035,1.96247295,2.38938660,1.81199054,1.33141863,0.00000000,0.57996924,4.13045716
1.27563782,9.46592113,0.26067810,1.97110336,2.40443509,1.86353288,1.34195539,0.00000000,0.61534471,4.18650880
1.28164082,9.61444120,0.27688754,1.97436734,2.41141648,1.91152470,1.35101496,0.00000000,0.65093008,4.23247087
1.28764382,9.74385729,0.29242913,1.97245620,2.41051297,1.95548975,1.35858386,0.00000000,0.68633907,4.26831886
