energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.18959480,0.50783124,0.03954501,0.00000000,0.33730613,0.07224214,0.00117442,0.32116231
-5.18359180,0.53918765,0.04290301,0.00000000,0.35962178,0.07642036,0.00111893,0.33806448
-5.17758879,0.57515630,0.04677065,0.00000000,0.38532836,0.08137590,0.00111684,0.35707247
-5.17158579,0.61566813,0.05116849,0.00000000,0.41436985,0.08711689,0.00116931,0.37802960
-5.16558279,0.66075445,0.05612400,0.00000000,0.44674263,0.09367079,0.00127850,0.40083858
-5.15957979,0.71055134,0.06167126,0.00000000,0.48249502,0.10108559,0.00144757,0.42546669
-5.15357679,0.76529972,0.06785013,0.00000000,0.52172410,0.10943019,0.00168065,0.45194853
-5.14757379,0.82534063,0.07470504,0.00000000,0.56456972,0.11879402,0.00198279,0.48038608
-5.14157079,0.89110539,0.08228342,0.00000000,0.61120562,0.12928570,0.00235974,0.51094581
-5.13556778,0.96310060,0.09063365,0.00000000,0.66182786,0.14103079,0.00281789,0.54385277
-5.12956478,1.04188804,0.09980263,0.00000000,0.71664077,0.15416850,0.00336394,0.57938155
-5.12356178,1.12805960,0.10983312,0.00000000,0.77584088,0.16884743,0.00400469,0.61784424
-5.11755878,1.22220802,0.12076070,0.00000000,0.83959920,0.18522038,0.00474671,0.65957557
-5.11155578,1.32489399,0.13261075,0.00000000,0.90804261,0.20343829,0.00559598,0.70491576
-5.10555278,1.43661074,0.14539528,0.00000000,0.98123505,0.22364350,0.00655749,0.75419133
-5.09954977,1.55774730,0.15910990,0.00000000,1.05915940,0.24596250,0.00763488,0.80769480
-5.09354677,1.68855195,0.17373107,0.00000000,1.14170069,0.27049840,0.00883000,0.86566385
-5.08754377,1.82909711,0.18921370,0.00000000,1.22863177,0.29732335,0.01014251,0.92826081
-5.08154077,1.97924764,0.20548927,0.00000000,1.31960206,0.32647133,0.01156953,0.99555345
-5.07553777,2.13863372,0.22246466,0.00000000,1.41413016,0.35793144,0.01310534,1.06749782
-5.06953477,2.30663016,0.24002164,0.00000000,1.51160089,0.39164218,0.01474109,1.14392414
