energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
1.60580290,4.12280239,0.01671124,0.06813378,0.28147398,0.18674340,0.10967135,1.23865565,2.82739348,3.13374180
1.61180590,3.91616589,0.01536784,0.06451060,0.26809535,0.17488717,0.10301110,1.17222207,2.73907519,2.96923451
1.61780890,3.70542214,0.01410821,0.06088270,0.25473404,0.16313290,0.09631959,1.10482678,2.64175529,2.80306283
1.62381191,3.49295967,0.01293932,0.05727717,0.24149911,0.15160186,0.08969181,1.03717819,2.53662026,2.63704114
1.62981491,3.28123769,0.01186797,0.05372034,0.22850080,0.14041176,0.08321898,0.97000914,2.42503271,2.47301545
1.63581791,3.07274489,0.01090075,0.05023779,0.21585067,0.12967518,0.07698721,0.90406278,2.30850311,2.31283533
1.64182091,2.86995672,0.01004391,0.04685427,0.20366133,0.11949809,0.07107626,0.84007782,2.18865634,2.15832529
1.64782391,2.67529247,0.00930323,0.04359364,0.19204591,0.10997849,0.06555857,0.77877367,2.06719419,2.01125641
1.65382691,2.49107337,0.00868396,0.04047875,0.18111691,0.10120520,0.06049849,0.72083609,1.94585520,1.87331882
1.65982991,2.31948275,0.00819060,0.03753129,0.17098475,0.09325687,0.05595168,0.66690372,1.82637324,1.74609574
1.66583292,2.16252916,0.00782681,0.03477156,0.16175587,0.08620110,0.05196476,0.61755600,1.71043619,1.63103942
1.67183592,2.02201333,0.00759526,0.03221830,0.15353050,0.08009376,0.04857507,0.57330267,1.59964627,1.52944946
1.67783892,1.89949935,0.00749747,0.02988845,0.14640022,0.07497846,0.04581061,0.53457508,1.49548305,1.44245379
1.68384192,1.79629081,0.00753369,0.02779694,0.14044541,0.07088621,0.04369010,0.50171939,1.39927049,1.37099262
1.68984492,1.71341195,0.00770277,0.02595652,0.13573275,0.06783514,0.04222315,0.47499177,1.31214885,1.31580545
1.69584792,1.65159416,0.00800201,0.02437762,0.13231284,0.06583045,0.04141054,0.45455533,1.23505224,1.27742146
1.70185093,1.61126799,0.00842708,0.02306828,0.13021817,0.06486439,0.04124458,0.44047904,1.16869237,1.25615334
1.70785393,1.59256069,0.00897196,0.02203414,0.12946154,0.06491643,0.04170954,0.43273827,1.11354872,1.25209473
1.71385693,1.59529929,0.00962885,0.02127856,0.13003499,0.06595348,0.04278224,0.43121690,1.06986541,1.26512146
1.71985993,1.61901931,0.01038819,0.02080272,0.13190944,0.06793033,0.04443263,0.43571105,1.03765444,1.29489665
1.72586293,1.66297899,0.01123870,0.02060593,0.13503502,0.07079015,0.04662460,0.44593416,1.01670523,1.34087982
1.73186593,1.72617872,0.01216745,0.02068591,0.13934213,0.07446527,0.04931674,0.46152339,1.00659977,1.40233988
1.73786893,1.80738573,0.01316006,0.02103917,0.14474329,0.07887801,0.05246334,0.48204731,1.00673297,1.47837209
1.74387194,1.90516331,0.01420087,0.02166144,0.15113562,0.08394182,0.05601542,0.50701480,1.01633720,1.56791845
1.74987494,2.01790409,0.01527324,0.02254811,0.15840393,0.08956258,0.05992182,0.53588492,1.03451040,1.66979138
1.75587794,2.14386665,0.01635985,0.02369461,0.16642433,0.09564013,0.06413040,0.56807780,1.06024649,1.78269990
1.76188094,2.28121418,0.01744314,0.02509680,0.17506807,0.10206994,0.06858917,0.60298617,1.09246725,1.90527747
1.76788394,2.42805427,0.01850566,0.02675127,0.18420559,0.10874502,0.07324750,0.63998748,1.13005436,2.03611057
1.77388694,2.58247814,0.01953055,0.02865548,0.19371038,0.11555792,0.07805715,0.67845616,1.17188062,2.17376685
1.77988994,2.74259792,0.02050197,0.03080783,0.20346265,0.12240271,0.08297320,0.71777571,1.21683917,2.31682149
1.78589295,2.90658035,0.02140549,0.03320752,0.21335243,0.12917711,0.08795478,0.75735030,1.26386964,2.46388067
1.79189595,3.07267546,0.02222850,0.03585422,0.22328199,0.13578439,0.09296555,0.79661539,1.31198040,2.61360077
1.79789895,3.23923873,0.02296053,0.03874761,0.23316744,0.14213516,0.09797388,0.83504702,1.36026614,2.76470240
1.80390195,3.40474584,0.02359349,0.04188671,0.24293934,0.14814896,0.10295276,0.87216935,1.40792012,2.91597843
1.80990495,3.56779932,0.02412180,0.04526898,0.25254241,0.15375541,0.10787927,0.90756021,1.45424096,3.06629562
1.81590795,3.72712681,0.02454247,0.04888944,0.26193409,0.15889512,0.11273391,0.94085439,1.49863387,3.21458985
