energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-3.65882941,6.29008655,0.78297118,0.00000000,2.04282851,0.00000000,5.11209246,3.06958203
-3.65282641,6.68417229,0.83639685,0.00000000,2.17922007,0.00000000,5.47443776,3.23553415
-3.64682341,7.06841458,0.88863490,0.00000000,2.31338672,0.00000000,5.83047673,3.39453487
-3.64082041,7.43860043,0.93900584,0.00000000,2.44377852,0.00000000,6.17577019,3.54509678
-3.63481741,7.79061566,0.98682842,0.00000000,2.56882201,0.00000000,6.50584364,3.68589928
-3.62881441,8.12055657,1.03143841,0.00000000,2.68695857,0.00000000,6.81630441,3.81583258
-3.62281141,8.42484266,1.07220836,0.00000000,2.79668528,0.00000000,7.10296406,3.93403777
-3.61680840,8.70032605,1.10856731,0.00000000,2.89659694,0.00000000,7.36196142,4.03994095
-3.61080540,8.94439323,1.14001976,0.00000000,2.98542765,0.00000000,7.58988151,4.13328004
-3.60480240,9.15505454,1.16616316,0.00000000,3.06209028,0.00000000,7.78386561,4.21412262
-3.59879940,9.33101752,1.18670290,0.00000000,3.12571222,0.00000000,7.94170759,4.28287361
-3.59279640,9.47174037,1.20146436,0.00000000,3.17566591,0.00000000,8.06193250,4.34027205
-3.58679340,9.57746253,1.21040112,0.00000000,3.21159267,0.00000000,8.14385375,4.38737635
-3.58079040,9.64921051,1.21359914,0.00000000,3.23341882,0.00000000,8.18760600,4.42553799
-3.57478739,9.68877753,1.21127648,0.00000000,3.24136318,0.00000000,8.19415224,4.45636399
-3.56878439,9.69867715,1.20377850,0.00000000,3.23593548,0.00000000,8.16526410,4.48166897
-3.56278139,9.68207183,1.19156866,0.00000000,3.21792561,0.00000000,8.10347590,4.50341807
-3.55677839,9.64267835,1.17521523,0.00000000,3.18838387,0.00000000,8.01201395,4.52366225
-3.55077539,9.58465340,1.15537441,0.00000000,3.14859296,0.00000000,7.89470359,4.54446816
-3.54477239,9.51246308,1.13277038,0.00000000,3.10003259,0.00000000,7.75585733,4.56784486
-3.53876938,9.43074122,1.10817331,0.00000000,3.04433808,0.00000000,7.60014828,4.59566992
-3.53276638,9.34414154,1.08237580,0.00000000,2.98325432,0.00000000,7.43247365,4.62961774
-3.52676338,9.25718945,1.05616906,0.00000000,2.91858687,0.00000000,7.25781315,4.67109290
-3.52076038,9.17413897,1.03031937,0.00000000,2.85215199,0.00000000,7.08108760,4.72117122
-3.51475738,9.09884050,1.00554602,0.00000000,2.78572730,0.00000000,6.90702277,4.78055123
-3.50875438,9.03462442,0.98250125,0.00000000,2.72100492,0.00000000,6.74002312,4.84951817
-3.50275138,8.98420515,0.96175310,0.00000000,2.65954877,0.00000000,6.58405964,4.92792263
-3.49674837,8.94960931,0.94377166,0.00000000,2.60275733,0.00000000,6.44257550,5.01517491
-3.49074537,8.93213079,0.92891919,0.00000000,2.55183314,0.00000000,6.31841214,5.11025601
-3.48474237,8.93231408,0.91744424,0.00000000,2.50776002,0.00000000,6.21375776,5.21174514
-3.47873937,8.94996639,0.90948012,0.00000000,2.47128846,0.00000000,6.13011917,5.31786310
-3.47273637,8.98419748,0.90504736,0.00000000,2.44292950,0.00000000,6.06831699,5.42653005
-3.46673337,9.03348501,0.90406009,0.00000000,2.42295687,0.00000000,6.02850341,5.53543547
-3.46073037,9.09576218,0.90633593,0.00000000,2.41141704,0.00000000,6.01020050,5.64211758
-3.45472736,9.16852319,0.91160876,0.00000000,2.40814631,0.00000000,6.01235693,5.74404883
-3.44872436,9.24894156,0.91954389,0.00000000,2.41279378,0.00000000,6.03341957,5.83872398
-3.44272136,9.33399556,0.92975476,0.00000000,2.42484905,0.00000000,6.07141675,5.92374677
-3.43671836,9.42059493,0.94182055,0.00000000,2.44367301,0.00000000,6.12404893,5.99691149
-3.43071536,9.50570301,0.95530382,0.00000000,2.46853033,0.00000000,6.18878312,6.05627599
-3.42471236,9.58644900,0.96976744,0.00000000,2.49862189,0.00000000,6.26294676,6.10022282
