energy_ev,total_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.24962481,1.31067630,0.28576283,0.94076571,0.12360266,0.15780146,0.00071418,0.02748456,0.26075510,0.00000000
-5.24362181,1.33313740,0.27827436,0.97041552,0.11659019,0.15444094,0.00073600,0.02568390,0.26015127,0.00000000
-5.23761881,1.36475198,0.27326276,1.00595769,0.11120898,0.15248797,0.00076295,0.02440549,0.26097217,0.00000000
-5.23161581,1.40461959,0.27051632,1.04677454,0.10734195,0.15181531,0.00079448,0.02362638,0.26301985,0.00000000
-5.22561281,1.45176342,0.26981004,1.09219314,0.10485886,0.15228270,0.00082998,0.02332261,0.26608821,0.00000000
-5.21960980,1.50515868,0.27091226,1.14150321,0.10362038,0.15374225,0.00086879,0.02346969,0.26996943,0.00000000
-5.21360680,1.56376082,0.27359086,1.19397515,0.10348196,0.15604371,0.00091024,0.02404306,0.27446003,0.00000000
-5.20760380,1.62653246,0.27761879,1.24887794,0.10429757,0.15903932,0.00095364,0.02501841,0.27936633,0.00000000
-5.20160080,1.69246830,0.28277887,1.30549604,0.10592316,0.16258829,0.00099838,0.02637188,0.28450929,0.00000000
-5.19559780,1.76061725,0.28886767,1.36314491,0.10821975,0.16656061,0.00104388,0.02808014,0.28972842,0.00000000
-5.18959480,1.83010103,0.29569838,1.42118459,0.11105623,0.17084021,0.00108965,0.03012037,0.29488486,0.00000000
-5.18359180,1.90012878,0.30310267,1.47903086,0.11431171,0.17532744,0.00113532,0.03247009,0.29986332,0.00000000
-5.17758879,1.97000722,0.31093157,1.53616359,0.11787739,0.17994065,0.00118063,0.03510690,0.30457311,0.00000000
-5.17158579,2.03914619,0.31905536,1.59213213,0.12165802,0.18461708,0.00122542,0.03800820,0.30894812,0.00000000
-5.16558279,2.10705946,0.32736256,1.64655752,0.12557288,0.18931288,0.00126969,0.04115074,0.31294578,0.00000000
-5.15957979,2.17336107,0.33575824,1.69913167,0.12955624,0.19400246,0.00131356,0.04451021,0.31654527,0.00000000
-5.15357679,2.23775750,0.34416169,1.74961346,0.13355743,0.19867706,0.00135724,0.04806077,0.31974487,0.00000000
-5.14757379,2.30003628,0.35250362,1.79782238,0.13754039,0.20334281,0.00140105,0.05177461,0.32255882,0.00000000
-5.14157079,2.36005177,0.36072325,1.84362988,0.14148291,0.20801828,0.00144541,0.05562156,0.32501365,0.00000000
-5.13556778,2.41770901,0.36876526,1.88694916,0.14537540,0.21273171,0.00149078,0.05956876,0.32714437,0.00000000
-5.12956478,2.47294659,0.37657696,1.92772403,0.14921944,0.21751800,0.00153765,0.06358045,0.32899056,0.00000000
-5.12356178,2.52571960,0.38410570,1.96591745,0.15302609,0.22241575,0.00158651,0.06761787,0.33059259,0.00000000
-5.11755878,2.57598373,0.39129693,2.00150059,0.15681395,0.22746438,0.00163786,0.07163937,0.33198821,0.00000000
-5.11155578,2.62368146,0.39809269,2.03444305,0.16060720,0.23270149,0.00169210,0.07560064,0.33320951,0.00000000
-5.10555278,2.66873116,0.40443087,2.06470481,0.16443358,0.23816075,0.00174961,0.07945512,0.33428057,0.00000000
-5.09954977,2.71101990,0.41024525,2.09223053,0.16832244,0.24387018,0.00181066,0.08315468,0.33521572,0.00000000
-5.09354677,2.75040039,0.41546622,2.11694649,0.17230285,0.24985117,0.00187542,0.08665037,0.33601858,0.00000000
-5.08754377,2.78669227,0.42002214,2.13876046,0.17640199,0.25611811,0.00194394,0.08989335,0.33668181,0.00000000
-5.08154077,2.81968780,0.42384145,2.15756453,0.18064364,0.26267867,0.00201616,0.09283604,0.33718765,0.00000000
