energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
1.17358679,1.10721884,0.81885911,0.06358135,0.00268049,0.03556514,0.09978745,0.36475511,0.08492324,0.44969492
1.17958979,1.09952598,0.82410698,0.06290829,0.00271238,0.03446381,0.10096430,0.36406233,0.08436460,0.44147114
1.18559280,1.08673737,0.82398000,0.06192684,0.00272514,0.03327070,0.10143256,0.36143183,0.08333564,0.43207008
1.19159580,1.06886223,0.81844109,0.06064173,0.00271850,0.03199234,0.10118190,0.35684511,0.08184373,0.42152524
1.19759880,1.04601150,0.80756820,0.05906354,0.00269260,0.03063631,0.10021726,0.35032223,0.07990573,0.40989236
1.20360180,1.01840068,0.79155272,0.05720871,0.00264799,0.02921133,0.09855875,0.34192258,0.07754769,0.39725250
1.20960480,0.98634838,0.77069382,0.05509925,0.00258562,0.02772726,0.09624088,0.33174419,0.07480422,0.38371381
1.21560780,0.95027069,0.74538898,0.05276225,0.00250677,0.02619511,0.09331139,0.31992144,0.07171758,0.36941188
1.22161081,0.91067140,0.71612110,0.05022920,0.00241306,0.02462687,0.08982963,0.30662148,0.06833648,0.35450845
1.22761381,0.86812868,0.68344289,0.04753507,0.00230635,0.02303533,0.08586449,0.29203939,0.06471459,0.33918868
1.23361681,0.82327868,0.64795916,0.04471741,0.00218872,0.02143384,0.08149219,0.27639232,0.06090904,0.32365687
1.23961981,0.77679696,0.61030792,0.04181517,0.00206235,0.01983599,0.07679382,0.25991302,0.05697867,0.30813110
1.24562281,0.72937850,0.57114106,0.03886766,0.00192950,0.01825533,0.07185285,0.24284290,0.05298242,0.29283675
1.25162581,0.68171745,0.53110553,0.03591348,0.00179243,0.01670500,0.06675272,0.22542505,0.04897773,0.27799954
1.25762881,0.63448727,0.49082559,0.03298943,0.00165334,0.01519741,0.06157452,0.20789754,0.04501903,0.26383827
1.26363182,0.58832231,0.45088707,0.03012968,0.00151430,0.01374398,0.05639495,0.19048724,0.04115653,0.25055762
1.26963482,0.54380163,0.41182393,0.02736498,0.00137725,0.01235487,0.05128460,0.17340435,0.03743519,0.23834156
1.27563782,0.50143549,0.37410763,0.02472203,0.00124389,0.01103876,0.04630653,0.15683799,0.03389394,0.22734749
1.28164082,0.46165521,0.33813954,0.02222314,0.00111573,0.00980278,0.04151524,0.14095282,0.03056523,0.21770155
1.28764382,0.42480645,0.30424638,0.01988593,0.00099403,0.00865239,0.03695605,0.12588677,0.02747486,0.20949532
1.29364682,0.39114624,0.27267873,0.01772335,0.00087981,0.00759141,0.03266487,0.11175002,0.02464203,0.20278395
1.29964982,0.36084345,0.24361225,0.01574374,0.00077383,0.00662206,0.02866822,0.09862500,0.02207977,0.19758603
1.30565283,0.33398276,0.21715153,0.01395120,0.00067667,0.00574510,0.02498373,0.08656741,0.01979541,0.19388494
1.31165583,0.31057143,0.19333585,0.01234590,0.00058867,0.00496001,0.02162071,0.07560809,0.01779140,0.19163185
1.31765883,0.29054871,0.17214679,0.01092463,0.00051000,0.00426514,0.01858106,0.06575560,0.01606618,0.19075010
1.32366183,0.27379717,0.15351685,0.00968136,0.00044068,0.00365799,0.01586024,0.05699929,0.01461512,0.19114074
1.32966483,0.26015535,0.13733888,0.00860783,0.00038062,0.00313542,0.01344841,0.04931272,0.01343157,0.19268907
1.33566783,0.24943123,0.12347582,0.00769420,0.00032964,0.00269389,0.01133153,0.04265721,0.01250786,0.19527173
1.34167084,0.24141583,0.11177015,0.00692962,0.00028751,0.00232969,0.00949248,0.03698538,0.01183627,0.19876412
1.34767384,0.23589631,0.10205305,0.00630283,0.00025398,0.00203917,0.00791213,0.03224457,0.01140993,0.20304766
1.35367684,0.23266812,0.09415261,0.00580265,0.00022879,0.00181888,0.00657037,0.02837992,0.01122357,0.20801670
1.35967984,0.23154571,0.08790111,0.00541845,0.00021172,0.00166577,0.00544696,0.02533709,0.01127417,0.21358448
1.36568284,0.23237138,0.08314116,0.00514055,0.00020258,0.00157729,0.00452235,0.02306462,0.01156145,0.21968809
1.37168584,0.23502198,0.07973045,0.00496049,0.00020126,0.00155145,0.00377834,0.02151568,0.01208810,0.22629195
1.37768884,0.23941321,0.07754532,0.00487125,0.00020767,0.00158687,0.00319861,0.02064941,0.01285992,0.23338968
1.38369185,0.24550147,0.07648292,0.00486740,0.00022183,0.00168279,0.00276920,0.02043170,0.01388571,0.24100424
1.38969485,0.25328327,0.07646215,0.00494520,0.00024379,0.00183900,0.00247878,0.02083553,0.01517697,0.24918621
1.39569785,0.26279219,0.07742349,0.00510252,0.00027367,0.00205579,0.00231892,0.02184085,0.01674743,0.25801037
1.40170085,0.27409371,0.07932770,0.00533883,0.00031163,0.00233382,0.00228424,0.02343401,0.01861239,0.26757051
1.40770385,0.28727808,0.08215375,0.00565507,0.00035785,0.00267401,0.00237241,0.02560692,0.02078795,0.27797300
1.41370685,0.30245173,0.08589599,0.00605344,0.00041252,0.00307735,0.00258420,0.02835586,0.02329008,0.28932909
1.41970985,0.31972756,0.09056078,0.00653725,0.00047583,0.00354477,0.00292331,0.03168009,0.02613359,0.30174659
1.42571286,0.33921457,0.09616285,0.00711061,0.00054792,0.00407691,0.00339625,0.03558036,0.02933115,0.31532122
1.43171586,0.36100747,0.10272146,0.00777825,0.00062887,0.00467398,0.00401206,0.04005723,0.03289214,0.33012816
1.43771886,0.38517666,0.11025665,0.00854515,0.00071870,0.00533556,0.00478202,0.04510948,0.03682171,0.34621428
1.44372186,0.41175911,0.11878559,0.00941633,0.00081730,0.00606047,0.00571917,0.05073258,0.04111977,0.36359144
1.44972486,0.44075059,0.12831947,0.01039653,0.00092447,0.00684658,0.00683789,0.05691713,0.04578023,0.38223138
1.45572786,0.47209965,0.13886067,0.01148990,0.00103988,0.00769075,0.00815325,0.06364768,0.05079029,0.40206248
