energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.72986493,2.05303083,-1.54183090,0.00993806,-0.01187466,0.42111769,-0.31155023,0.23368953,-0.18918422,0.21901735,-0.16184339,0.55478539,-0.41006461,1.13873065,-0.86827686,0.51567447,-0.42012775,0.00000000,-0.00000000
-5.72386193,2.07048492,-1.59498605,0.01000662,-0.01196916,0.41911082,-0.32590048,0.23970218,-0.19023970,0.22102490,-0.16444234,0.56520189,-0.41887070,1.13231310,-0.90923163,0.52725008,-0.42659467,0.00000000,-0.00000000
-5.71785893,2.08639038,-1.65283664,0.01008091,-0.01203607,0.41662367,-0.34044601,0.24576395,-0.19265940,0.22308860,-0.16758286,0.57596800,-0.42992030,1.12372723,-0.95085035,0.53892474,-0.43560595,0.00000000,-0.00000000
-5.71185593,2.10134849,-1.71403475,0.01016012,-0.01207765,0.41395253,-0.35490847,0.25179392,-0.19629790,0.22527527,-0.17113005,0.58716538,-0.44288554,1.11361705,-0.99230632,0.55063090,-0.44680180,0.00000000,-0.00000000
-5.70585293,2.11602663,-1.77717131,0.01024319,-0.01209617,0.41141949,-0.36900566,0.25771444,-0.20099564,0.22765146,-0.17494614,0.59890689,-0.45740981,1.10267716,-1.03275999,0.56230438,-0.45979322,0.00000000,-0.00000000
-5.69984992,2.13113547,-1.84081830,0.01032873,-0.01209392,0.40936525,-0.38246151,0.26345166,-0.20658209,0.23027895,-0.17889480,0.61133533,-0.47311806,1.09163397,-1.07138578,0.57388172,-0.47417192,0.00000000,-0.00000000
-5.69384692,2.14740641,-1.90357189,0.01041503,-0.01207308,0.40814147,-0.39501613,0.26893635,-0.21287917,0.23321050,-0.18284559,0.62462137,-0.48962758,1.08122690,-1.10739888,0.58529818,-0.48952073,0.00000000,-0.00000000
-5.68784392,2.16556974,-1.96409502,0.01049996,-0.01203573,0.40810273,-0.40643543,0.27410481,-0.21970491,0.23648619,-0.18667821,0.63896041,-0.50655914,1.07218992,-1.14008110,0.59648632,-0.50542415,0.00000000,-0.00000000
-5.68184092,2.18633369,-2.02115820,0.01058103,-0.01198386,0.40959820,-0.41652007,0.27889985,-0.22687714,0.24013046,-0.19028636,0.65456823,-0.52354810,1.06523369,-1.16880479,0.60737525,-0.52147900,0.00000000,-0.00000000
-5.67583792,2.21036453,-2.07367720,0.01065538,-0.01191932,0.41296308,-0.42511345,0.28327176,-0.23421730,0.24414992,-0.19358132,0.67167532,-0.54025542,1.06102850,-1.19305403,0.61789061,-0.53730460,0.00000000,-0.00000000
-5.66983492,2.23826762,-2.12074644,0.01071982,-0.01184387,0.41850975,-0.43210834,0.28717936,-0.24155413,0.24853220,-0.19649483,0.69051963,-0.55637806,1.06018811,-1.21244231,0.62795514,-0.55255237,0.00000000,-0.00000000
-5.66383192,2.27056930,-2.16166720,0.01077095,-0.01175922,0.42651884,-0.43745216,0.29059077,-0.24872726,0.25324561,-0.19898122,0.71133775,-0.57165878,1.06325437,-1.22672623,0.63748978,-0.56691450,0.00000000,-0.00000000
-5.65782891,2.30769949,-2.19596962,0.01080520,-0.01166703,0.43723017,-0.44115052,0.29348407,-0.25559062,0.25823995,-0.20101881,0.73435447,-0.58589493,1.07068288,-1.23581472,0.64641515,-0.58013141,0.00000000,-0.00000000
-5.65182591,2.34997494,-2.22342784,0.01081900,-0.01156896,0.45083378,-0.44326910,0.29584765,-0.26201537,0.26344805,-0.20261033,0.75977098,-0.59894601,1.08282963,-1.23977355,0.65465317,-0.59199770,0.00000000,-0.00000000
-5.64582291,2.39758328,-2.24406795,0.01080889,-0.01146667,0.46746120,-0.44393382,0.29768019,-0.26789261,0.26878820,-0.20378238,0.78775188,-0.61073987,1.09993880,-1.23882510,0.66212886,-0.60236645,0.00000000,-0.00000000
-5.63981991,2.45056802,-2.25816830,0.01077169,-0.01136183,0.48717727,-0.44332915,0.29899039,-0.27313539,0.27416724,-0.20458401,0.81841151,-0.62127707,1.12213193,-1.23334336,0.66877188,-0.61115160,0.00000000,-0.00000000
