energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-5.36968484,1.73482377,0.63626245,1.21239383,0.02455218,0.00930537,0.34461720,0.00000000
-5.36368184,1.67464485,0.60479569,1.17538270,0.02310587,0.00890038,0.32905943,0.00000000
-5.35767884,1.61061066,0.57175327,1.13544514,0.02162500,0.00849634,0.31284628,0.00000000
-5.35167584,1.54372381,0.53765453,1.09322455,0.02013143,0.00809703,0.29622270,0.00000000
-5.34567284,1.47498287,0.50300799,1.04936973,0.01864584,0.00770670,0.27942716,0.00000000
-5.33966983,1.40536205,0.46830003,1.00452125,0.01718737,0.00733009,0.26268705,0.00000000
-5.33366683,1.33579353,0.43398520,0.95929919,0.01577331,0.00697239,0.24621482,0.00000000
-5.32766383,1.26715239,0.40047854,0.91429259,0.01441890,0.00663920,0.23020496,0.00000000
-5.32166083,1.20024481,0.36814989,0.87005067,0.01313720,0.00633659,0.21483182,0.00000000
-5.31565783,1.13579919,0.33732034,0.82707597,0.01193912,0.00607096,0.20024816,0.00000000
-5.30965483,1.07446049,0.30826056,0.78581954,0.01083340,0.00584909,0.18658457,0.00000000
-5.30365183,1.01678736,0.28119101,0.74667791,0.00982676,0.00567808,0.17394955,0.00000000
-5.29764882,0.96325193,0.25628379,0.70999188,0.00892409,0.00556528,0.16243010,0.00000000
-5.29164582,0.91424185,0.23366575,0.67604685,0.00812860,0.00551829,0.15209282,0.00000000
-5.28564282,0.87006428,0.21342277,0.64507463,0.00744215,0.00554488,0.14298543,0.00000000
-5.27963982,0.83095126,0.19560479,0.61725617,0.00686539,0.00565300,0.13513837,0.00000000
-5.27363682,0.79706633,0.18023141,0.59272540,0.00639812,0.00585080,0.12856664,0.00000000
-5.26763382,0.76851174,0.16729776,0.57157354,0.00603947,0.00614658,0.12327165,0.00000000
-5.26163082,0.74533621,0.15678044,0.55385391,0.00578814,0.00654887,0.11924309,0.00000000
-5.25562781,0.72754290,0.14864340,0.53958704,0.00564265,0.00706656,0.11646063,0.00000000
-5.24962481,0.71509736,0.14284355,0.52876585,0.00560144,0.00770893,0.11489570,0.00000000
-5.24362181,0.70793558,0.13933613,0.52136091,0.00566309,0.00848592,0.11451308,0.00000000
-5.23761881,0.70597190,0.13807956,0.51732569,0.00582641,0.00940827,0.11527249,0.00000000
-5.23161581,0.70910690,0.13903997,0.51660179,0.00609049,0.01048780,0.11713014,0.00000000
-5.22561281,0.71723536,0.14219521,0.51912418,0.00645479,0.01173772,0.12004032,0.00000000
-5.21960980,0.73025415,0.14753835,0.52482638,0.00691916,0.01317293,0.12395699,0.00000000
-5.21360680,0.74807030,0.15508070,0.53364565,0.00748376,0.01481038,0.12883548,0.00000000
-5.20760380,0.77060889,0.16485417,0.54552812,0.00814908,0.01666938,0.13463426,0.00000000
-5.20160080,0.79782089,0.17691307,0.56043375,0.00891583,0.01877194,0.14131671,0.00000000
-5.19559780,0.82969044,0.19133514,0.57834095,0.00978484,0.02114297,0.14885289,0.00000000
