energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-2.86043022,4.43067200,0.50845962,1.95005310,0.02478889,0.03117770,0.36181834,2.41830474,0.19624138,0.00000000
-2.85442721,4.44483100,0.51232649,1.96874504,0.02467927,0.03168137,0.36400801,2.41398765,0.19514479,0.00000000
-2.84842421,4.45760083,0.51729754,1.98980236,0.02451870,0.03213078,0.36587331,2.40638933,0.19394217,0.00000000
-2.84242121,4.46810354,0.52320418,2.01253015,0.02430880,0.03250677,0.36733934,2.39529311,0.19263370,0.00000000
-2.83641821,4.47552713,0.52986444,2.03620838,0.02405121,0.03279246,0.36834790,2.38055695,0.19122508,0.00000000
-2.83041521,4.47916214,0.53709084,2.06012106,0.02374756,0.03297375,0.36886009,2.36212214,0.18972838,0.00000000
-2.82441221,4.47843368,0.54469794,2.08358364,0.02339952,0.03303981,0.36885840,2.34001980,0.18816267,0.00000000
-2.81840920,4.47292708,0.55250907,2.10596723,0.02300882,0.03298344,0.36834799,2.31437436,0.18655414,0.00000000
-2.81240620,4.46240606,0.56036218,2.12671904,0.02257742,0.03280133,0.36735716,2.28540369,0.18493599,0.00000000
-2.80640320,4.44682225,0.56811448,2.14537814,0.02210755,0.03249418,0.36593694,2.25341557,0.18334773,0.00000000
-2.80040020,4.42631594,0.57564598,2.16158638,0.02160186,0.03206672,0.36415980,2.21880047,0.18183422,0.00000000
-2.79439720,4.40120805,0.58286162,2.17509423,0.02106354,0.03152755,0.36211745,2.18202067,0.18044422,0.00000000
-2.78839420,4.37198384,0.58969237,2.18576167,0.02049641,0.03088890,0.35991789,2.14359629,0.17922876,0.00000000
-2.78239120,4.33926952,0.59609497,2.19355453,0.01990498,0.03016617,0.35768180,2.10408858,0.17823919,0.00000000
-2.77638819,4.30380306,0.60205086,2.19853690,0.01929455,0.02937749,0.35553838,2.06408146,0.17752526,0.00000000
-2.77038519,4.26640095,0.60756405,2.20086008,0.01867116,0.02854311,0.35362091,2.02416196,0.17713300,0.00000000
-2.76438219,4.22792268,0.61265848,2.20074913,0.01804160,0.02768470,0.35206215,1.98490072,0.17710292,0.00000000
-2.75837919,4.18923491,0.61737474,2.19848763,0.01741335,0.02682476,0.35098988,1.94683345,0.17746821,0.00000000
-2.75237619,4.15117712,0.62176654,2.19440159,0.01679445,0.02598586,0.35052266,1.91044415,0.17825341,0.00000000
-2.74637319,4.11453045,0.62589709,2.18884331,0.01619340,0.02519000,0.35076614,1.87615113,0.17947331,0.00000000
-2.74037019,4.07999103,0.62983540,2.18217585,0.01561900,0.02445800,0.35180997,1.84429625,0.18113236,0.00000000
-2.73436718,4.04814913,0.63365290,2.17475880,0.01508019,0.02380894,0.35372544,1.81513796,0.18322444,0.00000000
-2.72836418,4.01947462,0.63742035,2.16693576,0.01458586,0.02325973,0.35656398,1.78884837,0.18573322,0.00000000
-2.72236118,3.99430918,0.64120512,2.15902405,0.01414470,0.02282472,0.36035653,1.76551419,0.18863278,0.00000000
-2.71635818,3.97286526,0.64506910,2.15130671,0.01376502,0.02251545,0.36511372,1.74514158,0.19188875,0.00000000
-2.71035518,3.95523130,0.64906708,2.14402712,0.01345457,0.02234052,0.37082687,1.72766415,0.19545971,0.00000000
-2.70435218,3.94138260,0.65324579,2.13738596,0.01322044,0.02230552,0.37746960,1.71295382,0.19929883,0.00000000
-2.69834917,3.93119677,0.65764351,2.13154078,0.01306889,0.02241308,0.38500004,1.70083356,0.20335576,0.00000000
-2.69234617,3.92447263,0.66229029,2.12660759,0.01300526,0.02266303,0.39336341,1.69109134,0.20757842,0.00000000
-2.68634317,3.92095138,0.66720862,2.12266451,0.01303386,0.02305252,0.40249474,1.68349435,0.21191489,0.00000000
-2.68034017,3.92033861,0.67241461,2.11975692,0.01315793,0.02357632,0.41232162,1.67780281,0.21631511,0.00000000
-2.67433717,3.92232586,0.67791944,2.11790392,0.01337951,0.02422705,0.42276686,1.67378238,0.22073235,0.00000000
-2.66833417,3.92661068,0.68373106,2.11710555,0.01369945,0.02499548,0.43375066,1.67121478,0.22512439,0.00000000
-2.66233117,3.93291401,0.68985595,2.11735043,0.01411733,0.02587077,0.44519252,1.66990587,0.22945438,0.00000000
-2.65632816,3.94099406,0.69630086,2.11862335,0.01463143,0.02684078,0.45701248,1.66969104,0.23369126,0.00000000
-2.65032516,3.95065615,0.70307431,2.12091250,0.01523873,0.02789224,0.46913177,1.67043761,0.23780984,0.00000000
-2.64432216,3.96175808,0.71018784,2.12421582,0.01593484,0.02901100,0.48147291,1.67204431,0.24179040,0.00000000
-2.63831916,3.97421094,0.71765677,2.12854627,0.01671408,0.03018217,0.49395923,1.67443803,0.24561804,0.00000000
