energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-4.43921961,3.58455301,1.95000704,0.00000000,0.12653541,0.94166853,1.93516643,1.55381301
-4.43321661,3.63661680,2.05001910,0.00000000,0.13041895,0.91447074,1.96764153,1.61297956
-4.42721361,3.67750265,2.14390286,0.00000000,0.13388317,0.88431591,1.99106432,1.66807572
-4.42121061,3.70618715,2.23011574,0.00000000,0.13686710,0.85151536,2.00494198,1.71810698
-4.41520760,3.72182829,2.30721597,0.00000000,0.13931369,0.81642693,2.00894429,1.76215328
-4.40920460,3.72378976,2.37389841,0.00000000,0.14117147,0.77944750,2.00291104,1.79939267
-4.40320160,3.71166048,2.42902778,0.00000000,0.14239622,0.74100435,1.98685482,1.82912303
-4.39719860,3.68526881,2.47166793,0.00000000,0.14295247,0.70154547,1.96095933,1.85078077
-4.39119560,3.64469071,2.50110617,0.00000000,0.14281487,0.66152958,1.92557318,1.86395600
-4.38519260,3.59025145,2.51687157,0.00000000,0.14196930,0.62141577,1.88119960,1.86840338
-4.37918959,3.52252065,2.51874652,0.00000000,0.14041367,0.58165356,1.82848231,1.86404828
-4.37318659,3.44230059,2.50677101,0.00000000,0.13815846,0.54267334,1.76818817,1.85098786
-4.36718359,3.35060800,2.48123943,0.00000000,0.13522671,0.50487772,1.70118723,1.82948704
-4.36118059,3.24864970,2.44269001,0.00000000,0.13165379,0.46863393,1.62843077,1.79996932
-4.35517759,3.13779284,2.39188707,0.00000000,0.12748663,0.43426731,1.55092812,1.76300289
-4.34917459,3.01953043,2.32979703,0.00000000,0.12278260,0.40205628,1.46972298,1.71928235
-4.34317159,2.89544344,2.25755885,0.00000000,0.11760809,0.37222854,1.38587000,1.66960685
-4.33716858,2.76716041,2.17645013,0.00000000,0.11203676,0.34495867,1.30041214,1.61485537
-4.33116558,2.63631620,2.08785014,0.00000000,0.10614752,0.32036708,1.21435974,1.55596001
-4.32516258,2.50451105,1.99320118,0.00000000,0.10002242,0.29852022,1.12867158,1.49387849
-4.31915958,2.37327150,1.89396964,0.00000000,0.09374450,0.27943192,1.04423848,1.42956671
